Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
DFQ16|DFQ16_000104-T1	CBM21(116-228)	N	N	N	1
DFQ16|DFQ16_000222-T1	AA11(45-186)	N	N	N	1
DFQ16|DFQ16_000255-T1	GH31(243-726)	GH31	GH31	N	3
DFQ16|DFQ16_000256-T1	GH31(243-726)	GH31	GH31	N	3
DFQ16|DFQ16_000337-T1	GT2_Chitin_synth_2(1417-1942)	GT2	GT2	N	3
DFQ16|DFQ16_000365-T1	GH18(39-422)	GH18	GH18	N	3
DFQ16|DFQ16_000470-T1	AA6(6-199)	N	N	N	1
DFQ16|DFQ16_000514-T1	GT48(902-1673)	GT48	GT48	N	3
DFQ16|DFQ16_000679-T1	GT66(16-647)	GT66	GT66	N	3
DFQ16|DFQ16_000699-T1	GT2_Chitin_synth_2(962-1461)	GT2	GT2	N	3
DFQ16|DFQ16_000742-T1	AA3_2(3-536)	N	N	N	1
DFQ16|DFQ16_000750-T1	GT2_Chitin_synth_2(422-628)	N	N	N	1
DFQ16|DFQ16_000812-T1	GH16_19(67-212)	N	N	Y(1-20)	1
DFQ16|DFQ16_000854-T1	GH16_4(4-144)+GH16_4(158-315)	N	N	N	1
DFQ16|DFQ16_000917-T1	AA7(15-215)	N	N	N	1
DFQ16|DFQ16_000951-T1	GT71(230-497)	N	N	N	1
DFQ16|DFQ16_000960-T1	GT2_Glycos_transf_2(69-247)	N	N	N	1
DFQ16|DFQ16_000982-T1	GH20(176-513)	GH20	GH20	N	3
DFQ16|DFQ16_000999-T1	GH16_3(133-403)	N	N	N	1
DFQ16|DFQ16_001014-T1	GT8(9-229)	GT8	N	N	2
DFQ16|DFQ16_001122-T1	GH20(176-513)	GH20	GH20	N	3
DFQ16|DFQ16_001130-T1	GT2_Chitin_synth_2(1152-1659)	GT2	GT2	N	3
DFQ16|DFQ16_001150-T1	GH5_12(27-559)	N	GH5_12	N	2
DFQ16|DFQ16_001151-T1	GH5_12(28-559)	GH5	GH5_12	N	3
DFQ16|DFQ16_001153-T1	GH18(27-404)	N	N	N	1
DFQ16|DFQ16_001177-T1	GH18(23-363)	GH18	N	N	2
DFQ16|DFQ16_001198-T1	GT39(58-300)	GT39	GT39	N	3
DFQ16|DFQ16_001237-T1	GH72(15-304)	N	N	N	1
DFQ16|DFQ16_001298-T1	GT2_Chitin_synth_2(615-1129)	GT2	GT2	N	3
DFQ16|DFQ16_001320-T1	GT1(235-419)	N	N	N	1
DFQ16|DFQ16_001347-T1	GT59(25-168)	N	N	N	1
DFQ16|DFQ16_001369-T1	GH18(23-404)	GH18	GH18	Y(1-21)	3
DFQ16|DFQ16_001370-T1	GH18(18-400)	GH18+CBM12+CBM5	GH18	N	3
DFQ16|DFQ16_001371-T1	GH18(35-421)	GH18+CBM12+CBM5	N	N	2
DFQ16|DFQ16_001438-T1	GH13_25(1068-1516)	GH133	GH13_25+GH133	N	3
DFQ16|DFQ16_001505-T1	CE4(44-164)	N	N	Y(1-24)	1
DFQ16|DFQ16_001634-T1	GH47(70-533)	GH47	GH47	N	3
DFQ16|DFQ16_001655-T1	GT15(67-338)	N	N	Y(1-35)	1
DFQ16|DFQ16_001723-T1	GT2_Chitin_synth_2(1161-1668)	GT2	GT2	N	3
DFQ16|DFQ16_001788-T1	GH47(20-358)	GH47	N	N	2
DFQ16|DFQ16_001835-T1	GH18(12-307)	GH18+CBM19	GH18	N	3
DFQ16|DFQ16_001874-T1	AA2(113-351)	N	AA2	Y(1-33)	2
DFQ16|DFQ16_001883-T1	GH81(72-691)	GH81	GH81	N	3
DFQ16|DFQ16_001981-T1	GH16_19(104-270)	N	N	N	1
DFQ16|DFQ16_002034-T1	AA3_2(26-594)	N	AA3	N	2
DFQ16|DFQ16_002046-T1	GT24(1120-1367)	GT24	GT24	N	3
DFQ16|DFQ16_002050-T1	GH17(39-288)	N	N	Y(1-21)	1
DFQ16|DFQ16_002061-T1	AA1_3(19-189)	N	N	N	1
DFQ16|DFQ16_002128-T1	AA11(41-180)	N	N	Y(1-19)	1
DFQ16|DFQ16_002129-T1	AA11(45-181)	N	N	Y(1-31)	1
DFQ16|DFQ16_002189-T1	GT2_Chitin_synth_2(1181-1683)	GT2	GT2	N	3
DFQ16|DFQ16_002214-T1	GT71(82-367)	N	N	N	1
DFQ16|DFQ16_002242-T1	AA11(41-180)	N	N	Y(1-19)	1
DFQ16|DFQ16_002243-T1	AA11(45-179)	N	N	N	1
DFQ16|DFQ16_002321-T1	CBM63(117-190)	N	N	N	1
DFQ16|DFQ16_002322-T1	CBM63(130-204)	N	N	N	1
DFQ16|DFQ16_002325-T1	AA6(8-201)	AA6	N	N	2
DFQ16|DFQ16_002375-T1	GT69(58-310)	N	N	N	1
