"Domain","CCO","CTH","EMA","EMU","PFO","SCA","ZRA","Method","Total"
"7TM_GPCR_Srd",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"AA9",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"AAA_29",1,NA,NA,NA,1,1,1,"Pfam",4
"AFT",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"AGL_N",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"ALG3",1,1,1,NA,1,1,1,"Pfam",6
"ATP-grasp_5",1,1,1,NA,1,1,1,"Pfam",6
"ATP-synt_A",1,NA,NA,NA,1,NA,NA,"Pfam",2
"ATP-synt_J",1,1,1,NA,NA,NA,1,"Pfam",4
"Acetyltransf_18",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Acetyltransf_8",1,NA,NA,NA,1,NA,NA,"Pfam",2
"Acetyltransf_9",1,1,NA,NA,NA,1,1,"Pfam",4
"Acetyltransf_CG",1,1,NA,NA,NA,1,NA,"Pfam",3
"AidB_N",1,1,NA,NA,NA,NA,NA,"Pfam",2
"AlaDh_PNT_C",1,1,1,NA,1,1,1,"Pfam",6
"Alkyl_sulf_C",1,1,NA,NA,1,1,NA,"Pfam",4
"Anthrone_oxy",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Apt1",1,NA,NA,NA,1,1,NA,"Pfam",3
"Arb1",1,1,NA,NA,NA,NA,NA,"Pfam",2
"B12-binding",1,1,NA,NA,NA,NA,NA,"Pfam",2
"BAAT_C",1,1,NA,NA,1,1,1,"Pfam",5
"BATS",1,1,NA,NA,NA,NA,NA,"Pfam",2
"BLM10_mid",1,NA,NA,NA,1,NA,NA,"Pfam",2
"BetaGal_dom4_5",1,NA,1,NA,1,NA,1,"Pfam",4
"Biotin_lipoyl_2",1,1,1,NA,1,1,1,"Pfam",6
"Branch",1,NA,NA,NA,1,NA,NA,"Pfam",2
"C-C_Bond_Lyase",1,1,NA,NA,NA,NA,NA,"Pfam",2
"CENP-K",1,1,1,NA,NA,1,1,"Pfam",5
"CENP-L",1,NA,1,NA,1,1,1,"Pfam",5
"CGI-121",1,1,1,NA,1,1,1,"Pfam",6
"COX1",1,1,NA,NA,1,NA,NA,"Pfam",3
"COX16",1,1,1,NA,1,1,1,"Pfam",6
"COesterase",1,1,NA,NA,1,1,NA,"Pfam",4
"CPT",1,NA,NA,NA,1,NA,NA,"Pfam",2
"CTNNBL",1,NA,NA,NA,1,1,NA,"Pfam",3
"CT_A_B",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"CT_C_D",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Carbam_trans_N",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Chlorophyllase",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Chlorophyllase2",1,1,NA,NA,NA,NA,NA,"Pfam",2
"ChpA-C",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"CoA_binding_2",1,1,NA,NA,1,1,1,"Pfam",5
"Cob_adeno_trans",1,1,NA,NA,1,NA,NA,"Pfam",3
"Cohesin_HEAT",1,1,1,NA,1,1,1,"Pfam",6
"Complex1_LYR_2",1,1,1,NA,1,1,1,"Pfam",6
"Copine",1,1,NA,NA,NA,NA,NA,"Pfam",2
"Csm1",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"Ctf8",1,NA,NA,NA,NA,1,1,"Pfam",3
"D5_N",1,1,NA,NA,NA,NA,NA,"Pfam",2
"DALR_2",1,1,NA,NA,NA,NA,NA,"Pfam",2
"DASH_Dam1",1,1,NA,NA,1,1,1,"Pfam",5
"DASH_Spc19",1,NA,NA,NA,NA,NA,1,"Pfam",2
"DDE_Tnp_4",1,NA,NA,NA,1,1,NA,"Pfam",3
"DENND11",1,1,NA,NA,1,NA,1,"Pfam",4
"DHFR_1",1,1,1,NA,1,1,1,"Pfam",6
"DHR-2_Lobe_A",1,NA,NA,NA,1,1,NA,"Pfam",3
"DNA_binding_1",1,1,1,NA,1,1,1,"Pfam",6
"DNA_pol3_delta",1,NA,NA,NA,1,NA,NA,"Pfam",2
"DNA_pol_B_2",1,1,NA,NA,1,1,NA,"Pfam",4
"DNA_pol_B_exo2",1,1,1,NA,NA,1,1,"Pfam",5
"DNase_NucA_NucB",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DPBB_1",1,NA,1,NA,1,NA,1,"Pfam",4
"DPM2",1,1,1,NA,1,1,1,"Pfam",6
"DUF1057",1,NA,NA,NA,NA,NA,1,"Pfam",2
"DUF1917",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF2358",1,NA,NA,NA,1,1,NA,"Pfam",3
"DUF2405",1,NA,NA,NA,NA,NA,NA,"Pfam",1
"DUF244",1,NA,NA,NA,NA,NA,NA,"Pfam",1
