# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Zoorad1|Zoorad1_864658	1891.9	1387
83779at2759	Complete	Zoorad1|Zoorad1_484458	204.4	241
87842at2759	Complete	Zoorad1|Zoorad1_474581	492.9	654
97116at2759	Complete	Zoorad1|Zoorad1_453189	1023.1	954
100698at2759	Duplicated	Zoorad1|Zoorad1_464081	788.3	500
100698at2759	Duplicated	Zoorad1|Zoorad1_404444	785.4	505
142542at2759	Complete	Zoorad1|Zoorad1_371658	452.1	593
156083at2759	Complete	Zoorad1|Zoorad1_468635	3634.3	1963
160593at2759	Complete	Zoorad1|Zoorad1_863250	1256.5	1322
166920at2759	Complete	Zoorad1|Zoorad1_439653	613.4	703
176625at2759	Complete	Zoorad1|Zoorad1_390621	230.1	366
179362at2759	Fragmented	Zoorad1|Zoorad1_220624	323.8	200
245208at2759	Complete	Zoorad1|Zoorad1_839347	1489.8	856
257318at2759	Duplicated	Zoorad1|Zoorad1_490749	297.4	293
257318at2759	Duplicated	Zoorad1|Zoorad1_493428	297.4	293
261328at2759	Complete	Zoorad1|Zoorad1_855756	303.9	383
261419at2759	Complete	Zoorad1|Zoorad1_468421	187.9	343
270107at2759	Complete	Zoorad1|Zoorad1_682706	480.9	566
271586at2759	Complete	Zoorad1|Zoorad1_506549	191.1	381
290630at2759	Complete	Zoorad1|Zoorad1_449952	676.8	615
293315at2759	Complete	Zoorad1|Zoorad1_522037	569.6	568
296129at2759	Complete	Zoorad1|Zoorad1_466417	1073.4	731
299766at2759	Fragmented	Zoorad1|Zoorad1_518927	125.0	269
306227at2759	Complete	Zoorad1|Zoorad1_454477	513.3	511
320059at2759	Complete	Zoorad1|Zoorad1_471277	867.3	451
324863at2759	Complete	Zoorad1|Zoorad1_481251	553.3	520
325552at2759	Complete	Zoorad1|Zoorad1_511986	376.4	388
330169at2759	Complete	Zoorad1|Zoorad1_471916	246.0	318
331411at2759	Complete	Zoorad1|Zoorad1_438818	270.0	393
341721at2759	Complete	Zoorad1|Zoorad1_475105	210.2	359
345441at2759	Complete	Zoorad1|Zoorad1_456624	465.3	380
355408at2759	Complete	Zoorad1|Zoorad1_450236	729.3	544
369837at2759	Complete	Zoorad1|Zoorad1_847819	293.9	373
375960at2759	Complete	Zoorad1|Zoorad1_481562	205.4	320
383503at2759	Complete	Zoorad1|Zoorad1_446946	348.6	340
388820at2759	Duplicated	Zoorad1|Zoorad1_416600	549.5	611
388820at2759	Duplicated	Zoorad1|Zoorad1_867793	549.5	611
390348at2759	Complete	Zoorad1|Zoorad1_865372	1158.6	728
392369at2759	Complete	Zoorad1|Zoorad1_469544	413.5	343
396755at2759	Missing
418107at2759	Complete	Zoorad1|Zoorad1_475531	434.7	371
426305at2759	Complete	Zoorad1|Zoorad1_464646	458.6	485
450058at2759	Complete	Zoorad1|Zoorad1_466267	150.7	253
453044at2759	Missing
457861at2759	Complete	Zoorad1|Zoorad1_458818	50.4	126
464990at2759	Complete	Zoorad1|Zoorad1_442686	343.6	362
491869at2759	Complete	Zoorad1|Zoorad1_469737	194.1	251
513979at2759	Complete	Zoorad1|Zoorad1_487194	79.1	195
543764at2759	Complete	Zoorad1|Zoorad1_461577	198.6	248
549762at2759	Complete	Zoorad1|Zoorad1_449265	427.1	397
551907at2759	Complete	Zoorad1|Zoorad1_469059	239.0	361
570797at2759	Complete	Zoorad1|Zoorad1_444773	94.8	390
582756at2759	Complete	Zoorad1|Zoorad1_398391	239.8	362
598949at2759	Complete	Zoorad1|Zoorad1_448978	329.3	354
604979at2759	Complete	Zoorad1|Zoorad1_456472	425.1	282
621827at2759	Complete	Zoorad1|Zoorad1_456259	319.4	336
625387at2759	Complete	Zoorad1|Zoorad1_454092	272.4	330
655400at2759	Duplicated	Zoorad1|Zoorad1_480933	216.1	251
655400at2759	Duplicated	Zoorad1|Zoorad1_484228	216.1	251
664730at2759	Complete	Zoorad1|Zoorad1_494693	652.9	350
671536at2759	Complete	Zoorad1|Zoorad1_459892	494.6	366
671846at2759	Complete	Zoorad1|Zoorad1_468785	150.7	348
673132at2759	Complete	Zoorad1|Zoorad1_864808	304.9	276
674160at2759	Complete	Zoorad1|Zoorad1_471873	573.7	994
674169at2759	Complete	Zoorad1|Zoorad1_486026	98.8	202
679187at2759	Complete	Zoorad1|Zoorad1_438543	329.7	415
679771at2759	Complete	Zoorad1|Zoorad1_476112	67.9	227
687505at2759	Complete	Zoorad1|Zoorad1_459870	158.3	237
692986at2759	Fragmented	Zoorad1|Zoorad1_465144	75.8	182
708105at2759	Missing
719531at2759	Complete	Zoorad1|Zoorad1_435148	402.5	286
720340at2759	Complete	Zoorad1|Zoorad1_450326	84.7	232
721605at2759	Complete	Zoorad1|Zoorad1_444072	276.6	256
722805at2759	Complete	Zoorad1|Zoorad1_472094	324.7	380
734341at2759	Complete	Zoorad1|Zoorad1_438623	112.7	169
734666at2759	Complete	Zoorad1|Zoorad1_464242	486.7	393
736068at2759	Complete	Zoorad1|Zoorad1_461687	244.1	318
751335at2759	Duplicated	Zoorad1|Zoorad1_398693	238.0	271
751335at2759	Duplicated	Zoorad1|Zoorad1_399548	238.0	271
759498at2759	Complete	Zoorad1|Zoorad1_479311	562.6	420
761109at2759	Missing
768809at2759	Complete	Zoorad1|Zoorad1_472039	280.1	269
774318at2759	Complete	Zoorad1|Zoorad1_447699	299.8	285
777920at2759	Complete	Zoorad1|Zoorad1_450712	385.8	335
779909at2759	Complete	Zoorad1|Zoorad1_231606	265.8	226
801857at2759	Fragmented	Zoorad1|Zoorad1_451262	105.4	154
