DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
WD40	103	144	168	81	81	94	124	181	140	96	92	57	129	78	85	120	102	304	190	99
Pkinase	149	226	252	116	134	115	202	221	194	114	148	110	255	125	132	180	144	511	345	182
Pkinase_Tyr	141	214	247	113	127	113	195	217	185	110	133	102	240	122	129	170	139	485	335	177
zf-C2H2	43	80	208	53	39	30	37	72	40	31	23	22	51	24	36	57	34	205	367	49
Mito_carr	50	82	90	35	39	38	57	83	71	39	49	35	71	33	39	62	43	157	79	45
MFS_1	67	163	247	116	109	121	146	166	106	141	59	55	126	86	97	129	95	259	176	130
RRM_1	84	122	118	63	66	68	91	135	106	66	66	50	106	60	63	89	75	285	184	80
Sel1	9	21	24	13	13	12	35	25	22	12	24	17	44	18	18	18	15	26	22	20
p450	16	34	45	140	142	129	129	103	109	184	54	31	68	75	80	99	75	120	158	86
Helicase_C	71	103	107	60	52	69	95	105	117	63	64	49	103	61	66	94	71	169	143	80
Trypsin	6	13	23	76	88	85	97	42	101	111	76	58	87	57	60	120	73	72	133	204
Zn_clus	10	23	48	113	63	73	55	139	56	88	48	59	134	28	96	148	104	60	67	141
Sugar_tr	33	115	127	58	62	60	90	99	74	68	34	29	70	47	61	75	60	182	110	71
ABC_tran	43	93	95	35	53	64	63	61	57	60	43	22	57	36	44	41	30	103	91	34
Lipase_3	10	32	37	46	48	53	107	46	73	66	38	27	54	62	68	313	154	22	43	192
Ank_2	27	30	30	20	21	27	37	45	38	24	22	8	38	21	22	36	29	155	78	28
Ank	28	29	29	17	21	24	34	44	32	22	17	10	38	21	22	33	26	153	71	28
DEAD	51	78	72	48	52	52	68	82	87	51	57	37	74	43	49	66	54	126	107	59
AAA	52	74	73	39	52	41	66	80	68	41	44	33	62	39	44	60	49	99	94	52
Ank_4	26	27	25	17	18	20	32	40	29	16	16	8	29	17	17	31	26	144	71	24
Ras	59	93	102	40	46	42	54	82	52	42	32	29	71	36	40	54	45	161	105	53
PPR_3	38	55	44	10	9	9	3	16	7	8	6	3	4	0	9	17	14	13	17	15
Arf	61	111	122	43	38	42	54	91	50	41	24	21	61	37	45	50	47	142	99	51
MMR_HSR1	41	86	98	42	37	45	65	84	58	36	32	19	65	43	48	53	49	132	101	53
adh_short	28	48	62	71	84	67	43	84	48	84	32	25	52	25	29	45	36	108	103	42
Roc	53	91	101	38	35	38	50	77	46	35	23	23	62	35	40	52	42	136	100	51
PPR_2	38	55	45	6	6	7	2	14	5	6	6	0	1	0	5	16	13	9	10	12
AMP-binding	48	64	63	49	57	45	37	85	38	55	35	17	34	20	21	41	27	75	52	39
PPR	35	55	44	5	5	5	2	10	2	5	8	2	2	0	7	16	11	13	14	10
EF-hand_5	17	35	31	15	18	21	25	28	21	19	17	13	30	17	20	18	13	69	45	16
adh_short_C2	23	41	53	64	72	65	40	77	41	74	27	21	47	23	25	37	26	93	87	38
Ank_3	22	24	17	19	16	18	26	37	29	19	14	7	30	15	16	29	22	128	59	28
C2	25	41	56	32	33	22	37	36	35	19	29	17	42	21	26	37	28	94	45	25
SH3_1	30	40	54	28	29	27	45	51	51	27	30	20	46	26	28	33	28	115	63	29
Tyrosinase	17	26	33	48	62	47	53	53	73	62	33	42	65	30	32	81	50	13	28	64
ResIII	32	49	55	34	25	36	52	56	63	33	35	27	53	35	42	51	40	83	68	39
ABC_membrane	12	33	34	22	38	38	44	44	41	48	25	12	42	23	26	28	17	55	41	22
LRR_8	9	11	22	10	8	8	11	21	13	9	7	8	17	5	8	14	11	109	56	14
Peptidase_S8	13	24	72	45	63	40	60	12	56	47	41	25	60	36	31	116	50	29	30	37
Homeobox	10	23	40	27	23	18	69	47	47	19	25	24	62	39	49	100	56	71	45	79
zf-C2H2_4	22	36	138	35	18	7	10	24	7	8	5	5	14	7	20	22	9	103	192	25
PH	21	46	69	20	22	22	39	47	36	21	22	16	55	27	26	38	29	134	66	39
KR	23	45	55	48	54	51	31	65	37	55	20	13	27	19	21	24	22	77	79	36
SH3_9	27	36	46	25	25	24	36	46	38	25	25	14	40	21	24	23	23	97	54	25
EF-hand_8	20	34	26	17	19	19	23	30	19	17	18	12	27	16	18	15	12	61	43	17
SH3_2	27	36	40	24	26	21	38	41	44	23	26	19	41	23	24	27	21	103	50	24
E1-E2_ATPase	36	70	75	36	35	35	39	78	36	33	24	12	40	23	25	31	30	52	37	28
Epimerase	27	53	58	27	31	40	48	60	42	34	24	14	33	27	34	52	28	45	51	43
Hydrolase	37	54	77	33	26	36	37	72	32	33	24	11	31	21	23	29	28	57	44	30
zf-C3HC4	16	27	54	26	19	27	32	50	45	26	27	14	28	17	31	59	43	95	80	40
Ank_5	24	25	18	10	12	13	27	31	25	14	13	8	24	15	15	21	16	107	55	17
Kinase-like	24	52	68	28	24	27	35	45	48	21	20	14	34	26	30	37	30	54	56	41
