# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Complete	DSO57v2_022389-T1	2698.0	2738	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Fragmented	DSO57v2_020497-T1	530.6	1119	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Duplicated	DSO57v2_006596-T1	2987.4	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
1866at4751	Duplicated	DSO57v2_012483-T1	2802.8	1654	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Duplicated	DSO57v2_012028-T1	1645.7	1430	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
3534at4751	Duplicated	DSO57v2_020052-T1	1645.6	1430	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	DSO57v2_000070-T1	1121.8	1610	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Fragmented	DSO57v2_005979-T1	1738.5	1556	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Duplicated	DSO57v2_004954-T1	3104.5	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
4523at4751	Duplicated	DSO57v2_027363-T1	3102.7	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Duplicated	DSO57v2_020832-T1	428.1	1038	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6186at4751	Duplicated	DSO57v2_020828-T1	423.8	1032	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Duplicated	DSO57v2_036100-T1	805.7	818	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6272at4751	Duplicated	DSO57v2_036100-T2	788.2	794	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Duplicated	DSO57v2_036860-T1	1140.5	901	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6377at4751	Duplicated	DSO57v2_009365-T1	1138.4	900	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Fragmented	DSO57v2_010798-T1	1407.5	1109	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Duplicated	DSO57v2_007647-T1	726.1	1024	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7423at4751	Duplicated	DSO57v2_030772-T1	725.7	1022	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	DSO57v2_021179-T1	173.0	516	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Fragmented	DSO57v2_037224-T1	477.5	520	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	DSO57v2_019217-T1	1998.7	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	DSO57v2_024007-T1	1998.2	1403	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	DSO57v2_019217-T2	1994.7	1399	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	DSO57v2_030736-T1	768.5	733	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Duplicated	DSO57v2_031275-T1	575.2	794	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
10531at4751	Duplicated	DSO57v2_031275-T2	573.1	735	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
10531at4751	Duplicated	DSO57v2_007340-T1	495.2	697	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Duplicated	DSO57v2_002177-T1	1419.1	987	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12258at4751	Duplicated	DSO57v2_000213-T1	1415.2	1004	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Duplicated	DSO57v2_005872-T2	271.8	470	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12812at4751	Duplicated	DSO57v2_023459-T1	240.3	408	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	DSO57v2_031567-T1	192.8	577	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Duplicated	DSO57v2_031872-T1	530.1	1287	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
13605at4751	Duplicated	DSO57v2_025822-T1	528.4	1258	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	DSO57v2_026315-T1	1305.2	797	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	DSO57v2_009372-T1	1142.9	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	DSO57v2_018613-T1	1140.7	814	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Missing
14523at4751	Complete	DSO57v2_001490-T1	913.4	880	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Duplicated	DSO57v2_038896-T1	333.1	770	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14793at4751	Duplicated	DSO57v2_038387-T1	332.7	772	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	DSO57v2_037521-T1	791.7	710	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Duplicated	DSO57v2_012448-T1	761.7	622	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
17174at4751	Duplicated	DSO57v2_002784-T1	760.6	622	https://www.orthodb.org/v10?query=17174at4751	DNA polymerase gamma
18809at4751	Duplicated	DSO57v2_015907-T1	193.3	443	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
18809at4751	Duplicated	DSO57v2_028672-T1	192.4	443	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Duplicated	DSO57v2_016796-T1	1232.2	766	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20600at4751	Duplicated	DSO57v2_026478-T1	1228.4	765	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Missing
21651at4751	Duplicated	DSO57v2_013841-T1	804.4	641	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21651at4751	Duplicated	DSO57v2_019942-T1	803.9	642	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Duplicated	DSO57v2_021241-T2	559.7	648	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
21689at4751	Duplicated	DSO57v2_021241-T1	508.8	553	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
21689at4751	Duplicated	DSO57v2_029505-T1	506.9	553	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
