DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
WD40	PF00400.34	308	553	261	266	205	377	566	452	461	382	431	283	414	176	282	120	352	351	242	264	264	390	289	1344	554	278	649	488	284
Pkinase	PF00069.27	155	273	138	117	131	234	224	247	232	213	242	119	230	120	124	95	271	273	132	138	138	228	168	826	332	147	510	356	189
PK_Tyr_Ser-Thr	PF07714.19	141	256	133	113	121	222	222	226	213	201	234	118	221	103	120	87	253	256	121	129	132	216	162	770	302	141	485	342	181
Mito_carr	PF00153.29	117	253	118	100	76	182	223	145	144	175	187	109	160	85	106	79	206	206	88	113	111	177	119	570	248	114	350	214	130
RRM_1	PF00076.24	117	180	109	92	82	135	199	150	152	166	193	96	169	70	101	64	176	180	101	97	95	148	124	516	221	112	417	277	129
MFS_1	PF07690.18	71	263	83	132	105	170	193	138	139	133	129	138	178	51	86	59	165	170	126	120	115	150	98	462	169	113	275	203	155
zf-C2H2	PF00096.28	98	465	56	89	63	80	133	93	88	81	85	65	151	47	71	30	92	94	70	68	49	76	87	248	100	60	481	904	92
Sel1	PF08238.14	58	112	113	68	56	209	144	142	151	127	179	69	118	58	70	91	280	296	59	120	124	185	113	272	159	107	138	125	128
Zn_clus	PF00172.20	10	48	101	114	73	165	139	36	29	191	153	85	165	70	77	56	262	266	112	96	99	162	107	464	136	106	62	70	147
p450	PF00067.24	16	47	45	143	129	145	107	37	33	56	75	148	62	39	40	29	73	73	125	81	75	135	99	356	175	77	121	161	87
Helicase_C	PF00271.33	70	106	69	60	48	104	105	81	82	112	105	59	79	53	62	51	99	100	56	66	67	105	88	350	131	72	168	141	80
Lipase_3	PF01764.27	10	37	48	47	35	114	46	18	17	81	88	61	73	30	34	38	55	54	75	68	66	95	134	788	166	153	22	43	191
Trypsin	PF00089.28	6	23	67	76	71	97	43	1	1	64	120	76	75	51	42	42	78	80	125	64	53	74	109	394	133	73	72	133	204
AAA	PF00004.31	60	93	52	46	55	93	95	60	61	85	94	49	96	38	49	29	75	77	54	54	56	91	59	332	117	57	113	104	62
Ank_2	PF12796.9	47	40	41	25	37	67	71	82	86	75	73	40	79	24	40	23	72	73	30	26	40	65	48	304	84	56	401	171	47
Sugar_tr	PF00083.26	36	132	40	59	53	96	99	59	65	84	67	55	86	23	42	26	72	76	57	62	60	79	48	244	80	60	184	112	71
DEAD	PF00270.31	54	75	49	50	50	72	85	59	57	93	77	49	67	45	51	34	70	76	51	51	50	86	65	292	113	56	128	109	61
