# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	Conco1|scaffold_198	3039	9766	-	1897.5	1525
83779at2759	Complete	Conco1|scaffold_26	148054	150214	-	235.7	241
87842at2759	Complete	Conco1|scaffold_218	15857	19153	+	479.5	642
97116at2759	Complete	Conco1|scaffold_1	427816	431394	+	964.1	889
100698at2759	Complete	Conco1|scaffold_157	62069	65905	-	793.5	497
142542at2759	Fragmented	Conco1|scaffold_45	89550	93333	-	243.6	334
156083at2759	Complete	Conco1|scaffold_272	34745	41767	-	2730.0	1546
160593at2759	Missing
166920at2759	Complete	Conco1|scaffold_34	79100	81453	+	479.5	507
176625at2759	Complete	Conco1|scaffold_75	54963	61998	-	212.3	411
179362at2759	Missing
245208at2759	Complete	Conco1|scaffold_6	281308	284955	-	1464.4	879
257318at2759	Complete	Conco1|scaffold_47	163248	166196	+	260.4	308
261328at2759	Complete	Conco1|scaffold_3	441734	448253	+	304.1	401
261419at2759	Complete	Conco1|scaffold_171	2938	10052	+	192.0	220
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	Conco1|scaffold_133	74362	77306	+	721.9	549
293315at2759	Complete	Conco1|scaffold_245	38946	43738	+	599.7	622
296129at2759	Complete	Conco1|scaffold_389	2967	6251	-	1069.6	711
299766at2759	Missing
306227at2759	Complete	Conco1|scaffold_1	162771	165530	+	492.5	469
320059at2759	Complete	Conco1|scaffold_37	174376	176089	+	880.5	452
324863at2759	Complete	Conco1|scaffold_1	387299	389984	-	436.4	541
325552at2759	Complete	Conco1|scaffold_34	85485	89709	-	389.4	476
330169at2759	Missing
331411at2759	Complete	Conco1|scaffold_39	71889	75440	+	252.4	308
341721at2759	Complete	Conco1|scaffold_172	57322	58738	-	47.0	300
345441at2759	Complete	Conco1|scaffold_436	7850	9595	+	377.9	342
355408at2759	Complete	Conco1|scaffold_152	27536	29651	-	697.6	544
369837at2759	Complete	Conco1|scaffold_20	177285	179279	-	274.2	421
375960at2759	Complete	Conco1|scaffold_81	66684	68426	-	152.7	301
383503at2759	Complete	Conco1|scaffold_5	255738	261869	-	284.8	506
388820at2759	Complete	Conco1|scaffold_46	79538	87194	-	520.8	554
