Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
N159|N159.mRNA.14645.1	CDS05465.1|GH47|	55.4	437	195	0	1	437	1	437	2.05e-167	498
N159|N159.mRNA.14644.1	VDB83903.1|GH5_9|	43.5	377	202	9	22	395	35	403	5.22e-109	331
N159|N159.mRNA.3489.1	CDS10110.1|GT15|	54.7	311	135	3	91	398	67	374	2.17e-128	379
N159|N159.mRNA.3486.1	CDS08047.1|GT15|	54.9	319	133	4	19	330	67	381	3.56e-124	366
N159|N159.mRNA.3488.1	AAS54224.1|GT15|	50.3	358	170	4	45	397	59	413	4.45e-128	380
N159|N159.mRNA.12078.1	CDS06114.1|GT2|	43.2	1513	715	30	11	1432	437	1895	0.0	1119
N159|N159.mRNA.14691.1	AAX19735.1|GH37|	64.9	723	230	7	1	723	1	699	0.0	962
N159|N159.mRNA.2485.1	AMJ52391.1|GH47|	43.8	464	223	10	2	431	103	562	1.22e-114	352
N159|N159.mRNA.6359.1	CAB1329647.1|GT2|	73.7	236	62	0	2	237	14	249	5.78e-129	369
N159|N159.mRNA.12088.1	ADK37846.1|GH18|	67.3	294	94	1	33	326	1	292	7.12e-150	434
N159|N159.mRNA.12100.1	QKX60855.1|GT22|	71.3	293	81	1	32	324	567	856	3.72e-135	409
N159|N159.mRNA.3253.1	CDS03648.1|GT2|	30.8	1201	698	25	17	1126	22	1180	2.46e-164	538
N159|N159.mRNA.9714.1	BAA34296.1|GT4|	53.2	419	189	6	4	416	6	423	2.49e-151	442
N159|N159.mRNA.15203.1	CDS12806.1|GH31|	43.0	824	437	10	59	857	66	881	6.35e-245	712
N159|N159.mRNA.3819.1	QKX56076.1|GH51|	53.0	774	321	10	332	1075	835	1595	2.21e-247	749
N159|N159.mRNA.16131.1	APU66165.1|GH18|	55.9	286	120	4	24	309	1	280	3.35e-117	349
N159|N159.mRNA.4463.1	CDS05327.1|GT2|	31.3	1136	671	23	17	1089	23	1112	8.38e-155	511
N159|N159.mRNA.7854.1	QHO50257.1|GH47|	44.0	452	237	8	23	465	122	566	2.91e-106	332
N159|N159.mRNA.1850.1	APU66165.1|GH18|	57.0	286	117	4	24	309	1	280	7.52e-118	350
N159|N159.mRNA.687.1	CDS08031.1|GT2|	46.9	1586	742	23	7	1520	130	1687	0.0	1377
N159|N159.mRNA.4138.1	CDS07813.1|GH37|	44.7	590	277	12	20	607	32	574	4.65e-171	504
N159|N159.mRNA.4140.1	EAA65303.1|GT0|	53.0	855	387	7	32	873	727	1579	8.77e-291	854
N159|N159.mRNA.13718.1	CDS05797.1|GT24|	34.5	1505	855	43	27	1488	22	1438	8.78e-249	764
N159|N159.mRNA.916.1	CDS05746.1|GH5_9|	52.7	429	194	6	88	511	1	425	5.31e-172	496
N159|N159.mRNA.917.1	CDS05746.1|GH5_9|	53.7	428	186	7	85	505	3	425	2.00e-169	489
N159|N159.mRNA.15792.1	QGI79035.1|GH43_30|	78.1	392	85	1	6	396	459	850	6.03e-207	622
N159|N159.mRNA.12359.1	AFK25797.1|GT2|	45.4	853	364	14	631	1430	77	880	2.14e-213	656
N159|N159.mRNA.1577.1	CDS13093.1|GT57|	50.5	430	202	3	61	486	1	423	3.39e-146	430
N159|N159.mRNA.1573.1	SMR50199.1|AA3|	38.8	640	316	21	31	627	31	637	9.39e-120	374
N159|N159.mRNA.1572.1	SMR50199.1|AA3|	37.2	642	334	18	24	625	25	637	2.32e-120	375
N159|N159.mRNA.16197.1	CDS05327.1|GT2|	37.9	1668	894	36	99	1689	85	1687	0.0	1001
N159|N159.mRNA.1889.1	ADK37844.1|GH16_4|	59.9	324	128	2	66	388	1	323	3.05e-154	442
N159|N159.mRNA.1895.1	CAK42948.1|GT39|	48.3	731	345	9	52	752	44	771	2.76e-227	659
N159|N159.mRNA.7635.1	CAC9909034.1|GT8|	69.2	399	122	1	2	400	325	722	3.77e-192	553
N159|N159.mRNA.708.1	CCM02450.1|GH13_25|GH133|	44.3	1582	780	22	8	1525	57	1601	0.0	1290
N159|N159.mRNA.6917.1	CDS03648.1|GT2|	29.4	1164	692	31	31	1111	36	1152	2.99e-131	446
N159|N159.mRNA.474.1	CDS09089.1|GT41|	47.4	1248	517	17	490	1653	294	1485	0.0	995
N159|N159.mRNA.3724.1	CAC9909034.1|GT8|	63.7	377	136	1	18	394	347	722	1.20e-170	498
N159|N159.mRNA.237.1	EAA31326.1|GH71|	40.5	610	310	14	136	730	645	1216	2.68e-126	410
N159|N159.mRNA.236.1	AIE96983.1|GT7|	40.8	471	233	8	3	443	738	1192	8.53e-105	347
N159|N159.mRNA.5119.1	AMJ52391.1|GH47|	41.8	457	226	9	2	423	103	554	1.04e-105	328
N159|N159.mRNA.13569.1	CDS05274.1|GT2|	52.8	981	383	20	10	926	82	1046	0.0	936
