Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
EV402|EV402_000548-T1	GH47(1-231)	GH47	N	N	2
EV402|EV402_000667-T1	AA7(44-269)	N	N	N	1
EV402|EV402_000696-T1	GH5_9(54-335)	GH5	N	N	2
EV402|EV402_000759-T1	GT39(97-333)	GT39	GT39	N	3
EV402|EV402_000787-T1	GT48(920-1698)	GT48	GT48	N	3
EV402|EV402_001993-T1	GT32(69-144)	N	N	N	1
EV402|EV402_002007-T1	GT2_Chitin_synth_2(140-433)	N	N	N	1
EV402|EV402_002590-T1	GT1(139-349)	N	N	N	1
EV402|EV402_002763-T1	GH5_9(84-390)	GH5	GH5_9	N	3
EV402|EV402_003575-T1	GH18(37-401)	N	N	Y(1-27)	1
EV402|EV402_004425-T1	AA3_2(30-621)	N	AA3	N	2
EV402|EV402_004646-T1	GT8(58-335)	N	N	N	1
EV402|EV402_004709-T1	AA11(54-182)	N	N	N	1
EV402|EV402_005112-T1	GH13_5(32-373)	GH13	GH13_5	N	3
EV402|EV402_005263-T1	GT4(186-315)	N	N	N	1
EV402|EV402_005469-T1	CE4(61-182)	N	N	N	1
EV402|EV402_005613-T1	GH18(8-330)	GH18+CBM54	N	N	2
EV402|EV402_005653-T1	AA11(20-175)	N	N	Y(1-20)	1
EV402|EV402_005782-T1	AA11(43-176)	N	N	Y(1-24)	1
EV402|EV402_006085-T1	GT57(1-299)	GT57	N	N	2
EV402|EV402_006301-T1	AA11(20-175)	N	N	Y(1-20)	1
EV402|EV402_006352-T1	GT2_Chitin_synth_2(1122-1631)	GT2	GT2	N	3
EV402|EV402_006457-T1	GT1(268-459)	N	N	N	1
EV402|EV402_006490-T1	GH5_9(63-344)	GH5	N	N	2
EV402|EV402_006882-T1	GT1(220-398)	N	N	N	1
EV402|EV402_006969-T1	GT32(43-117)	N	N	N	1
EV402|EV402_007390-T1	GH31(232-713)	GH31	GH31	N	3
EV402|EV402_007433-T1	AA11(18-169)	N	N	N	1
EV402|EV402_007440-T1	AA3_2(27-591)	AA3	N	N	2
EV402|EV402_007466-T1	CE4(22-147)	N	N	Y(1-23)	1
EV402|EV402_007748-T1	GH18(2-362)	N	N	N	1
EV402|EV402_008196-T1	GH24(23-159)	N	N	N	1
EV402|EV402_008320-T1	AA3_2(27-591)	AA3	N	N	2
EV402|EV402_008683-T1	GT41(1241-1543)	GT41	GT41	N	3
EV402|EV402_008753-T1	GT69(80-335)	N	N	N	1
EV402|EV402_010153-T1	GH16_19(105-274)	N	N	N	1
EV402|EV402_010500-T1	CE16(31-293)	N	N	N	1
EV402|EV402_010779-T1	GT2_Chitin_synth_2(871-1373)	GT2	GT2	N	3
EV402|EV402_010976-T1	GH72(1-288)	N	CBM43+GH72	N	2
EV402|EV402_011034-T1	GH5_9(59-339)	GH5	N	N	2
EV402|EV402_011461-T1	GT3(61-344)	GT3	GT3	N	3
EV402|EV402_011462-T1	GT3(17-262)	GT3	GT3	N	3
EV402|EV402_011589-T1	GT2_Chitin_synth_2(583-1100)	GT2	GT2	N	3
EV402|EV402_011644-T1	GT4(132-244)	N	N	N	1
EV402|EV402_011710-T1	CE9(13-397)	CE9	CE9	N	3
EV402|EV402_011753-T1	GT50(141-357)	GT50	N	N	2
EV402|EV402_012046-T1	GT1(758-1165)	GT1	GT1	N	3
EV402|EV402_012102-T1	GH5_9(68-349)	GH5	N	N	2
EV402|EV402_012120-T1	GH16_3(133-401)	N	N	N	1
EV402|EV402_012406-T1	GT57(1-443)	GT57	N	N	2
EV402|EV402_012518-T1	GH16_4(42-362)	CBM39	GH16_4	N	3
EV402|EV402_012565-T1	GH16_3(30-294)	N	N	N	1
EV402|EV402_012605-T1	GT2_Chitin_synth_2(255-753)	GT2	GT2	N	3
EV402|EV402_012794-T1	GT15(1-114)	GT15	N	N	2
EV402|EV402_012927-T1	AA3_2(1-476)	AA3	AA3	N	3
EV402|EV402_013013-T1	AA7(61-477)	N	N	N	1
EV402|EV402_013033-T1	GT2_Chitin_synth_2(259-698)	N	N	N	1
EV402|EV402_013135-T1	CBM21(119-231)	N	N	N	1
EV402|EV402_013155-T1	AA7(28-267)	N	N	N	1
EV402|EV402_013254-T1	GT1(124-448)	N	N	N	1
EV402|EV402_013302-T1	GH132(27-278)	GH132	N	N	2
EV402|EV402_013354-T1	GH16_4(35-350)	N	N	N	1
EV402|EV402_013367-T1	GH16_19(94-238)	N	N	N	1
EV402|EV402_013434-T1	GT39(99-303)	N	N	N	1
EV402|EV402_013572-T1	GH18(3-342)	N	N	N	1
EV402|EV402_013976-T1	GT2_Chitin_synth_2(379-880)	GT2	GT2	N	3
EV402|EV402_014058-T1	GH72(28-294)	N	N	N	1
EV402|EV402_014067-T1	GH5_9(63-344)	GH5	N	N	2
EV402|EV402_014207-T1	GH18(25-266)	GH18+CBM1+CBM19	CBM19+GH18+3.2.1.14	N	3
EV402|EV402_014375-T1	GT2_Chitin_synth_1(148-310)	GT2	GT2+2.4.1.16	N	3
EV402|EV402_014586-T1	CE1(431-654)	N	N	N	1
EV402|EV402_014758-T1	GH47(51-368)	N	N	N	1
EV402|EV402_014803-T1	GT69(80-335)	N	N	N	1
EV402|EV402_014891-T1	GH13_5(26-365)	GH13+CBM20	GH13_5	N	3
EV402|EV402_014941-T1	GH72(18-168)	N	N	N	1
EV402|EV402_015079-T1	GH18(25-209)	GH18	N	N	2
EV402|EV402_015161-T1	GH18(9-390)	N	GH18	N	2
EV402|EV402_015224-T1	GH13_8(1-146)	GH13+CBM48	CBM48+GH13_8+2.4.1.18	N	3
EV402|EV402_015230-T1	AA3_2(26-318)	N	N	N	1
EV402|EV402_015333-T1	GT48(132-910)	GT48	GT48	N	3
EV402|EV402_015381-T1	GT1(250-438)	N	N	N	1
EV402|EV402_015741-T1	GT2_Chitin_synth_2(428-929)	GT2	GT2	N	3
EV402|EV402_015909-T1	AA3_2(25-228)	N	N	N	1
EV402|EV402_015975-T1	GT21(22-254)	N	N	N	1
EV402|EV402_015992-T1	GT59(89-227)	GT59	N	Y(1-45)	2
EV402|EV402_016029-T1	GT22(5-172)	GT22	N	N	2
EV402|EV402_016121-T1	CE1(80-307)	N	N	N	1
EV402|EV402_016280-T1	GT2_Chitin_synth_2(455-956)	GT2	GT2	N	3
EV402|EV402_016290-T1	AA3_2(21-583)	AA3	AA3	N	3
EV402|EV402_016512-T1	GT4(219-399)	GT4	GT4	N	3
