# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	EV402|EV402_002024-T1	1732.4	1339
83779at2759	Complete	EV402|EV402_015753-T1	233.4	231
87842at2759	Complete	EV402|EV402_005697-T1	445.0	599
97116at2759	Missing
100698at2759	Duplicated	EV402|EV402_009233-T1	787.9	498
100698at2759	Duplicated	EV402|EV402_009846-T1	735.4	509
142542at2759	Fragmented	EV402|EV402_004474-T1	324.2	445
156083at2759	Complete	EV402|EV402_005341-T1	3523.0	1967
160593at2759	Complete	EV402|EV402_004168-T1	1157.5	1318
166920at2759	Complete	EV402|EV402_009547-T1	585.1	683
176625at2759	Complete	EV402|EV402_019084-T1	109.8	336
179362at2759	Complete	EV402|EV402_013735-T1	482.9	1146
245208at2759	Complete	EV402|EV402_016500-T1	1480.0	900
257318at2759	Complete	EV402|EV402_003877-T1	212.6	307
261328at2759	Complete	EV402|EV402_002130-T1	285.1	398
261419at2759	Complete	EV402|EV402_003587-T1	182.5	299
270107at2759	Complete	EV402|EV402_012456-T1	458.1	663
271586at2759	Duplicated	EV402|EV402_010375-T1	137.7	222
271586at2759	Duplicated	EV402|EV402_009731-T1	134.3	260
290630at2759	Complete	EV402|EV402_001105-T1	611.0	632
293315at2759	Fragmented	EV402|EV402_010910-T1	490.0	460
296129at2759	Complete	EV402|EV402_012220-T1	1063.3	723
299766at2759	Fragmented	EV402|EV402_007447-T1	154.8	317
306227at2759	Complete	EV402|EV402_014186-T1	506.8	494
320059at2759	Complete	EV402|EV402_009472-T1	851.6	451
324863at2759	Complete	EV402|EV402_004480-T1	447.9	565
325552at2759	Missing
330169at2759	Missing
331411at2759	Complete	EV402|EV402_014105-T1	226.7	420
341721at2759	Missing
345441at2759	Complete	EV402|EV402_018145-T1	462.1	381
355408at2759	Missing
369837at2759	Complete	EV402|EV402_011125-T1	231.7	312
375960at2759	Complete	EV402|EV402_003353-T1	113.7	357
383503at2759	Complete	EV402|EV402_013766-T1	280.1	414
388820at2759	Complete	EV402|EV402_004607-T1	524.2	594
390348at2759	Complete	EV402|EV402_003243-T1	1174.4	771
392369at2759	Complete	EV402|EV402_013045-T1	407.0	343
396755at2759	Missing
418107at2759	Duplicated	EV402|EV402_003550-T1	410.9	391
418107at2759	Duplicated	EV402|EV402_011871-T1	410.9	391
426305at2759	Missing
450058at2759	Complete	EV402|EV402_013669-T1	66.5	186
453044at2759	Missing
457861at2759	Complete	EV402|EV402_016101-T1	36.4	139
464990at2759	Missing
491869at2759	Complete	EV402|EV402_001557-T1	198.1	265
513979at2759	Duplicated	EV402|EV402_005530-T1	73.4	238
513979at2759	Duplicated	EV402|EV402_010667-T1	73.4	238
543764at2759	Complete	EV402|EV402_003793-T1	169.0	260
