Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
IWY20|IWY20_000011-T1	BAA34296.1|GT4|	67.1	419	134	3	6	420	5	423	7.03e-207	583
IWY20|IWY20_000018-T1	AFA26126.1|PL38|	59.9	384	133	4	1	366	1	381	1.32e-164	469
IWY20|IWY20_000114-T1	BAO00904.1|GH3|3.2.1.21	61.0	715	253	7	45	735	4	716	2.00e-310	868
IWY20|IWY20_000125-T1	BAA11053.1|GH31|3.2.1.20	72.8	815	199	6	1	794	1	813	0.0	1252
IWY20|IWY20_000131-T1	AIT83212.1|GT4|	66.6	302	99	1	5	306	15	314	1.87e-141	422
IWY20|IWY20_000133-T1	CDS10076.1|GH36|	50.9	678	281	10	3	661	27	671	2.27e-237	679
IWY20|IWY20_000142-T1	BAO00905.1|GH3|3.2.1.21	72.3	718	190	2	8	722	5	716	0.0	1055
IWY20|IWY20_000145-T1	CDS09169.1|GH35|	58.4	1018	396	12	5	1004	3	1011	0.0	1266
IWY20|IWY20_000152-T1	CDS06162.1|CE4|	61.7	274	100	4	25	296	58	328	3.49e-120	357
IWY20|IWY20_000193-T1	QGA20343.1|AA2|	56.4	360	145	8	8	365	8	357	8.00e-127	373
IWY20|IWY20_000232-T1	CDS02760.1|GT47|	73.5	419	109	1	1	419	1	417	1.26e-247	683
IWY20|IWY20_000239-T1	CDS06124.1|GH36|	62.2	760	263	8	1	739	1	757	0.0	949
IWY20|IWY20_000244-T1	CDS12256.1|CBM50|	56.7	416	164	6	4	408	5	415	2.36e-147	429
IWY20|IWY20_000258-T1	CDS06551.1|AA1|	38.7	646	285	15	9	555	12	645	1.11e-139	424
IWY20|IWY20_000259-T1	CDS10560.1|CBM19|GH18|	52.9	590	219	11	1	552	1	569	3.18e-175	511
IWY20|IWY20_000261-T1	CDS09314.1|GT39|	55.7	635	256	5	1	612	156	788	3.18e-251	718
IWY20|IWY20_000400-T1	CDS12463.1|GH13_25|GH133|	57.6	1403	551	19	113	1503	2	1372	0.0	1641
IWY20|IWY20_000402-T1	CDS09097.1|GH15|	68.4	732	214	4	10	741	6	720	0.0	1055
IWY20|IWY20_000411-T1	CED83340.1|GT31|	38.2	990	485	22	319	1217	959	1912	3.13e-187	605
IWY20|IWY20_000412-T1	QCD84628.1|CBM43|	36.2	1109	634	17	35	1123	104	1158	2.21e-228	689
IWY20|IWY20_000414-T1	CDS05179.1|GH0|	51.5	338	163	1	27	364	30	366	4.29e-110	351
IWY20|IWY20_000496-T1	QBZ54211.1|GH47|	52.1	852	347	15	22	841	631	1453	2.94e-258	766
IWY20|IWY20_000506-T1	QCD84628.1|CBM43|	28.0	1052	712	16	38	1075	105	1125	3.39e-119	400
IWY20|IWY20_000533-T1	CDS03884.1|GT10|	47.5	345	169	6	91	429	2	340	5.03e-112	337
IWY20|IWY20_000535-T1	AIT18233.1|GT4|	75.5	482	114	2	1	478	1	482	1.78e-276	761
IWY20|IWY20_000597-T1	CDS12806.1|GH31|	42.1	828	392	24	20	777	28	838	5.97e-210	622
IWY20|IWY20_000647-T1	CDI54770.1|AA3_2|	37.2	605	350	11	26	626	57	635	1.08e-111	353
IWY20|IWY20_000676-T1	CDS03765.1|GT4|	60.3	685	260	8	1	678	1	680	2.18e-307	857
IWY20|IWY20_000685-T1	AGC24356.1|GH3|3.2.1.52	58.9	855	340	8	2	848	5	856	0.0	1004
IWY20|IWY20_000697-T1	CDS03806.1|GT48|	58.0	1664	631	21	74	1719	174	1787	0.0	1864
IWY20|IWY20_000838-T1	AWP04987.1|GT13|	48.7	857	423	10	76	925	79	925	8.26e-284	838
IWY20|IWY20_000883-T1	CDS10867.1|GT2|	83.2	322	53	1	2	323	682	1002	2.47e-189	561
IWY20|IWY20_000980-T1	CDS06162.1|CE4|	58.9	287	112	4	40	324	55	337	1.21e-120	359
IWY20|IWY20_001022-T1	CDS09089.1|GT41|	63.3	1402	384	22	85	1370	121	1508	0.0	1586
