Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
EC986|EC986_000060-T1	GT8(148-369)	GT8	N	N	2
EC986|EC986_000070-T1	GH13_25(2-236)	GH133	N	N	2
EC986|EC986_000156-T1	GH81(79-706)	GH81	CBM6+GH81	N	3
EC986|EC986_000470-T1	GH18(183-478)	GH18+CBM18	N	N	2
EC986|EC986_000486-T1	GH18(40-304)	GH18+CBM18	N	N	2
EC986|EC986_000508-T1	GT1(254-428)	N	N	N	1
EC986|EC986_000684-T1	GH18(13-379)	GH18	N	N	2
EC986|EC986_000737-T1	GH18(24-364)	GH18+CBM54	N	N	2
EC986|EC986_000738-T1	GH18(23-364)	GH18	N	Y(1-22)	2
EC986|EC986_000847-T1	GT1(241-441)	N	N	N	1
EC986|EC986_000848-T1	GT1(256-437)	N	N	N	1
EC986|EC986_000850-T1	GT69(38-289)	N	N	N	1
EC986|EC986_001061-T1	GH3(121-339)	GH3	GH3	N	3
EC986|EC986_001064-T1	AA11(44-182)	N	N	N	1
EC986|EC986_001065-T1	AA11(49-184)	N	N	Y(1-23)	1
EC986|EC986_001342-T1	GH72(17-314)	GH72+CBM43	CBM43+GH72	Y(1-18)	3
EC986|EC986_001343-T1	GH72(17-314)	GH72+CBM43	CBM43+GH72	N	3
EC986|EC986_001385-T1	GH25(25-204)	GH25	N	Y(1-20)	2
EC986|EC986_001386-T1	GH25(25-204)	GH25	N	Y(1-20)	2
EC986|EC986_001387-T1	GH25(28-212)	GH25	N	Y(1-20)	2
EC986|EC986_001499-T1	GH47(16-451)	GH47	GH47	N	3
EC986|EC986_001500-T1	GH5_9(73-376)	GH5	GH5_9	N	3
EC986|EC986_001577-T1	GT1(276-454)	N	N	Y(1-19)	1
EC986|EC986_001597-T1	GH47(54-228)	GH47	N	Y(1-21)	2
EC986|EC986_001598-T1	GH47(36-446)	GH47	N	N	2
EC986|EC986_001599-T1	GH47(51-478)	GH47	GH47	N	3
EC986|EC986_001627-T1	AA3_2(239-592)	N	AA3_2	N	2
EC986|EC986_001667-T1	GT69(2-222)	N	N	N	1
EC986|EC986_001687-T1	GH18(25-402)	N	N	Y(1-21)	1
EC986|EC986_001881-T1	AA7(54-490)	AA7	N	N	2
EC986|EC986_001882-T1	AA7(54-490)	N	N	Y(1-24)	1
EC986|EC986_002096-T1	GH18(1-162)	N	N	N	1
EC986|EC986_002134-T1	GT39(95-333)	GT39	GT39	N	3
EC986|EC986_002213-T1	GH18(13-379)	GH18	N	N	2
EC986|EC986_002247-T1	CE16(27-286)	N	N	N	1
EC986|EC986_002249-T1	CE16(27-286)	N	N	N	1
EC986|EC986_002250-T1	CE16(27-286)	N	N	N	1
EC986|EC986_002276-T1	AA3_2(239-592)	N	AA3_2	N	2
EC986|EC986_002325-T1	GH18(26-409)	GH18+CBM12+CBM5	N	N	2
EC986|EC986_002326-T1	GH18(32-416)	GH18+CBM12+CBM5	N	N	2
EC986|EC986_002419-T1	GT2_Chitin_synth_2(626-1146)	GT2	GT2	N	3
EC986|EC986_002427-T1	AA7(54-490)	N	N	Y(1-23)	1
EC986|EC986_002500-T1	GT71(221-502)	N	N	N	1
EC986|EC986_002501-T1	GH18(48-300)	CBM19	N	N	2
EC986|EC986_002545-T1	CBM21(115-227)	N	N	N	1
EC986|EC986_002563-T1	GT1(246-437)	N	N	N	1
EC986|EC986_002564-T1	GT69(67-318)	N	N	N	1
EC986|EC986_002590-T1	GT22(8-403)	GT22	N	N	2
EC986|EC986_002593-T1	GT71(221-502)	N	N	N	1
EC986|EC986_002645-T1	GT1(276-463)	N	N	N	1
EC986|EC986_002784-T1	CE4(38-159)	N	N	Y(1-28)	1
EC986|EC986_002814-T1	AA11(39-182)	N	N	N	1
EC986|EC986_002815-T1	AA11(44-186)	N	N	Y(1-22)	1
EC986|EC986_002818-T1	AA11(41-178)	N	N	N	1
EC986|EC986_002835-T1	GT1(16-196)	N	N	N	1
EC986|EC986_002908-T1	AA11(45-186)	N	N	N	1
EC986|EC986_002943-T1	GH5_9(6-219)	N	N	N	1
EC986|EC986_002991-T1	GH72(15-257)	GH72+CBM43	N	N	2
EC986|EC986_003027-T1	GH18(196-571)	GH18+CBM12	GH18	N	3
EC986|EC986_003041-T1	GH72(27-308)	N	N	Y(1-45)	1
EC986|EC986_003045-T1	GT2_Chitin_synth_2(372-870)	GT2	GT2	N	3
EC986|EC986_003113-T1	GH16_19(81-220)	N	N	N	1
EC986|EC986_003114-T1	GH16_19(79-221)	N	N	N	1
EC986|EC986_003135-T1	GT1(259-440)	N	N	N	1
EC986|EC986_003136-T1	GT1(252-436)	N	N	N	1
EC986|EC986_003137-T1	GT1(259-443)	N	N	N	1
EC986|EC986_003181-T1	GT1(177-411)	N	N	N	1
EC986|EC986_003213-T1	GT58(54-406)	GT58	N	N	2
EC986|EC986_003281-T1	GH5_9(73-376)	GH5	GH5_9	N	3
EC986|EC986_003415-T1	GT15(85-354)	GT15	GT15	N	3
EC986|EC986_003417-T1	GT1(202-401)	N	N	N	1
EC986|EC986_003459-T1	GT22(9-403)	GT22	N	N	2
EC986|EC986_003482-T1	AA3_2(31-604)	N	AA3	N	2
EC986|EC986_003489-T1	GH16_19(105-272)	N	N	Y(1-34)	1
EC986|EC986_003536-T1	GT39(47-187)	GT39	N	N	2
EC986|EC986_003612-T1	AA11(41-180)	N	N	N	1
EC986|EC986_003613-T1	AA11(40-179)	N	N	Y(1-30)	1
EC986|EC986_003614-T1	AA11(44-179)	N	N	Y(1-30)	1
EC986|EC986_003832-T1	AA3_2(239-592)	N	AA3	N	2
EC986|EC986_004007-T1	GH18(24-407)	GH18+CBM12+CBM5+CBM55	GH18	Y(1-23)	3
EC986|EC986_004008-T1	GH18(24-408)	GH18+CBM12+CBM5+CBM55	GH18	N	3
EC986|EC986_004012-T1	GH16_19(103-269)	N	N	Y(1-22)	1
EC986|EC986_004023-T1	AA11(14-185)	N	N	N	1
EC986|EC986_004042-T1	GT1(251-420)	N	N	N	1
EC986|EC986_004096-T1	GH16_4(64-208)	CBM39	N	N	2
EC986|EC986_004127-T1	GH72(9-274)	GH72	CBM43+GH72	N	3
EC986|EC986_004216-T1	AA3_2(31-603)	N	N	N	1
EC986|EC986_004269-T1	GH25(28-212)	N	N	Y(1-20)	1
EC986|EC986_004270-T1	GH25(30-179)	N	N	Y(1-20)	1
EC986|EC986_004291-T1	CBM63(138-206)	N	N	N	1
EC986|EC986_004341-T1	AA3_2(20-351)	N	N	N	1
EC986|EC986_004471-T1	GT58(54-406)	GT58	N	N	2
EC986|EC986_004517-T1	GH18(184-559)	GH18+CBM12	GH18	N	3
EC986|EC986_004527-T1	AA11(36-116)	N	N	Y(1-21)	1
EC986|EC986_004566-T1	GH31(358-801)	GH31	GH31	N	3
EC986|EC986_004592-T1	GH20(157-496)	N	GH20	N	2
EC986|EC986_004593-T1	GH20(166-504)	N	GH20	N	2
EC986|EC986_004602-T1	GH5_12(425-733)	GH5	N	N	2
EC986|EC986_004741-T1	GT1(275-460)	N	N	Y(1-19)	1
EC986|EC986_004742-T1	GT1(159-332)	N	N	N	1
EC986|EC986_004770-T1	GH5_9(175-500)	GH5	GH5_9	N	3
EC986|EC986_004810-T1	GT15(80-349)	GT15	GT15	N	3
EC986|EC986_004811-T1	GT15(37-167)	N	N	N	1
EC986|EC986_004847-T1	GH16_4(82-458)	N	N	N	1
EC986|EC986_004940-T1	AA11(4-164)	N	N	N	1
EC986|EC986_004976-T1	GT1(49-229)	N	N	N	1
EC986|EC986_005024-T1	CE9(20-239)	CE9	N	N	2
EC986|EC986_005111-T1	GT22(32-482)	GT22	GT22	N	3
EC986|EC986_005129-T1	GT24(555-802)	GT24	GT24	N	3
EC986|EC986_005216-T1	GH16_19(96-246)	N	N	Y(1-22)	1
EC986|EC986_005272-T1	GT15(86-355)	GT15	GT15	N	3
EC986|EC986_005315-T1	AA11(45-187)	N	N	N	1
EC986|EC986_005391-T1	AA7(54-273)	AA7	N	N	2
EC986|EC986_005393-T1	GH16_19(121-270)	N	N	N	1
EC986|EC986_005466-T1	CE16(48-282)	N	N	N	1
EC986|EC986_005496-T1	GT15(68-336)	GT15	GT15	N	3
