# BUSCO version is: 5.4.4 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	Conco1|scaffold_354	8737	25294	+	2706.4	3173	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	Conco1|scaffold_99	42328	53945	-	1411.9	2099	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	Conco1|scaffold_9	258994	265026	+	2837.6	1741	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	Conco1|scaffold_256	3532	9627	+	1569.4	1300	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Missing
4466at4751	Missing
4523at4751	Complete	Conco1|scaffold_272	34745	41767	-	2329.8	1506	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Complete	Conco1|scaffold_86	48922	55496	-	332.2	859	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	Conco1|scaffold_40	120922	125032	-	728.1	806	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	Conco1|scaffold_1	393712	398028	+	1097.2	897	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	Conco1|scaffold_198	3039	9766	-	1820.2	1534	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	Conco1|scaffold_5	328837	334503	+	682.6	1093	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Missing
8406at4751	Missing
8818at4751	Complete	Conco1|scaffold_55	97278	102598	-	2086.4	1404	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Complete	Conco1|scaffold_370	5440	9431	-	1155.4	963	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
10531at4751	Complete	Conco1|scaffold_345	6975	11774	+	469.1	671	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
12258at4751	Complete	Conco1|scaffold_4	182223	187315	+	1419.4	973	https://www.orthodb.org/v10?query=12258at4751	Phosphoribosylformylglycinamidine synthase
12812at4751	Complete	Conco1|scaffold_6	31618	37796	-	241.8	430	https://www.orthodb.org/v10?query=12812at4751	WD40/YVTN repeat-like-containing domain superfamily
12959at4751	Missing
13224at4751	Fragmented	Conco1|scaffold_33	96571	100702	-	149.0	578	https://www.orthodb.org/v10?query=13224at4751	Nucleoporin, Nup133/Nup155-like, N-terminal
13605at4751	Complete	Conco1|scaffold_10	215470	220752	+	385.1	1012	https://www.orthodb.org/v10?query=13605at4751	clathrin-coated vesicle protein
14295at4751	Duplicated	Conco1|scaffold_82	43976	47419	+	1249.7	798	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14295at4751	Duplicated	Conco1|scaffold_35	42871	49587	-	1132.0	806	https://www.orthodb.org/v10?query=14295at4751	Carbamoyl-phosphate synthase arginine-specific large chain
14441at4751	Complete	Conco1|scaffold_84	60080	65308	-	1664.4	1335	https://www.orthodb.org/v10?query=14441at4751	DNA-directed RNA polymerase subunit
14523at4751	Complete	Conco1|scaffold_76	110985	114744	-	815.9	835	https://www.orthodb.org/v10?query=14523at4751	Exportin-1
14793at4751	Complete	Conco1|scaffold_27	37757	41796	-	297.1	672	https://www.orthodb.org/v10?query=14793at4751	Nucleoporin Pom152
14986at4751	Complete	Conco1|scaffold_83	89086	92790	+	768.5	666	https://www.orthodb.org/v10?query=14986at4751	DNA-directed RNA polymerase
17174at4751	Missing
18809at4751	Complete	Conco1|scaffold_171	2938	7736	+	197.4	410	https://www.orthodb.org/v10?query=18809at4751	RIC1-domain-containing protein
20600at4751	Complete	Conco1|scaffold_1	24373	27618	-	1264.8	806	https://www.orthodb.org/v10?query=20600at4751	glycine dehydrogenase
20952at4751	Complete	Conco1|scaffold_60	125876	130026	+	928.7	916	https://www.orthodb.org/v10?query=20952at4751	multidrug efflux transporter AcrB transmembrane domain-containing protein
21651at4751	Complete	Conco1|scaffold_2	375686	380403	-	798.4	674	https://www.orthodb.org/v10?query=21651at4751	DNA topoisomerase 2
21689at4751	Complete	Conco1|scaffold_46	79538	82346	-	573.1	602	https://www.orthodb.org/v10?query=21689at4751	WD40 repeat
22982at4751	Complete	Conco1|scaffold_10	260128	263515	+	1242.7	832	https://www.orthodb.org/v10?query=22982at4751	isoleucine-tRNA ligase
22992at4751	Missing
23198at4751	Complete	Conco1|scaffold_91	77569	82379	-	1447.5	1124	https://www.orthodb.org/v10?query=23198at4751	Glycogen debranching enzyme
23856at4751	Complete	Conco1|scaffold_45	33953	38239	-	635.8	1006	https://www.orthodb.org/v10?query=23856at4751	Transcription elongation factor Spt6
24198at4751	Complete	Conco1|scaffold_61	57929	61780	-	502.0	841	https://www.orthodb.org/v10?query=24198at4751	Armadillo-type fold
25020at4751	Complete	Conco1|scaffold_34	77797	81453	+	708.8	714	https://www.orthodb.org/v10?query=25020at4751	Condensin complex subunit 1
25161at4751	Missing
26329at4751	Complete	Conco1|scaffold_21	48199	51785	+	1338.8	919	https://www.orthodb.org/v10?query=26329at4751	DNA-directed RNA polymerase, subunit 2, hybrid-binding domain
27008at4751	Missing
29512at4751	Complete	Conco1|scaffold_45	128528	131757	+	466.7	587	https://www.orthodb.org/v10?query=29512at4751	Importin alpha re-exporter
31256at4751	Missing
31324at4751	Complete	Conco1|scaffold_75	54963	61998	-	447.1	805	https://www.orthodb.org/v10?query=31324at4751	Nrap protein
32164at4751	Complete	Conco1|scaffold_42	85731	88203	+	489.4	616	https://www.orthodb.org/v10?query=32164at4751	Importin beta-1 subunit
33984at4751	Complete	Conco1|scaffold_146	33253	36025	+	718.2	637	https://www.orthodb.org/v10?query=33984at4751	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase
34223at4751	Missing
34706at4751	Complete	Conco1|scaffold_283	9630	13754	-	413.8	616	https://www.orthodb.org/v10?query=34706at4751	MIF4G-like domain superfamily
34830at4751	Complete	Conco1|scaffold_318	13197	16766	-	749.6	771	https://www.orthodb.org/v10?query=34830at4751	Elongator complex protein 1
