DOMAIN	ACCESSION	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
WD40	PF00400.35	103	168	202	92	82	81	143	181	139	144	155	169	99	152	80	90	53	130	132	94	86	85	145	199	435	238	102	282	182	198
Pkinase	PF00069.28	147	252	325	133	115	128	225	218	228	217	203	231	115	225	117	120	93	253	256	130	132	131	216	322	688	317	141	498	343	365
PK_Tyr_Ser-Thr	PF07714.20	139	245	305	131	111	120	217	217	217	208	196	227	115	217	102	118	86	247	251	119	126	129	211	314	647	297	137	478	332	357
Mito_carr	PF00153.30	50	90	97	43	35	37	69	83	54	53	70	69	40	64	42	38	33	75	76	42	39	39	63	88	204	109	43	157	79	90
RRM_1	PF00076.25	84	117	141	73	63	63	97	132	98	99	113	124	70	130	50	67	42	120	121	83	63	63	104	169	338	165	76	285	182	163
MFS_1	PF07690.19	66	241	210	70	115	97	143	166	115	116	120	110	117	152	49	76	53	128	131	116	96	91	126	166	376	149	95	253	174	261
zf-C2H2	PF00096.29	43	208	181	31	53	40	44	72	50	44	43	51	33	87	25	39	21	58	60	45	36	25	43	101	157	50	34	197	362	97
Sel1	PF08238.15	9	24	25	19	13	14	37	25	29	28	23	36	12	23	16	14	15	42	43	15	18	20	31	34	53	27	15	26	22	41
Zn_clus	PF00172.21	9	47	51	99	112	73	165	138	34	28	189	148	83	163	69	76	56	246	248	110	96	98	161	213	451	135	102	60	67	279
p450	PF00067.25	16	45	66	44	140	125	139	103	33	32	56	70	142	59	39	36	28	71	72	121	80	74	133	198	314	170	75	120	158	178
Lipase_3	PF01764.28	10	37	39	48	46	35	112	46	18	17	80	87	59	73	29	34	38	55	54	75	67	66	95	261	774	163	151	21	43	378
Helicase_C	PF00271.34	69	105	110	69	60	48	104	105	80	81	112	104	59	79	53	61	51	97	99	56	66	67	105	171	306	128	71	168	141	160
Trypsin	PF00089.29	6	23	28	65	76	71	89	42	1	1	59	109	76	74	51	41	42	77	80	123	60	47	64	218	387	133	73	72	133	411
AAA	PF00004.32	52	73	90	43	39	51	75	80	49	49	72	80	41	87	35	40	26	65	66	46	44	45	74	97	228	104	49	99	93	106
Ank_2	PF12796.10	28	31	54	23	20	22	40	45	47	44	45	49	25	48	16	26	15	39	37	23	22	22	35	57	137	45	29	153	78	63
Sugar_tr	PF00083.27	33	127	138	40	58	53	94	100	54	57	81	65	55	86	23	42	25	69	73	57	61	59	78	97	223	78	60	182	110	144
ABC_tran	PF00005.30	43	95	121	34	34	46	60	61	40	40	55	54	45	46	27	34	27	50	54	57	43	33	54	83	147	64	30	103	91	69
DEAD	PF00270.32	51	72	83	47	48	50	70	82	57	55	90	77	47	66	44	49	34	69	73	50	49	48	84	123	247	110	54	126	107	118
Ank	PF00023.33	29	32	51	21	19	22	39	46	45	41	38	43	23	47	16	25	13	40	37	22	24	24	36	52	99	44	26	148	70	63
Ank_4	PF13637.9	26	25	46	19	17	18	36	40	46	43	35	44	17	43	13	24	10	32	29	20	17	19	32	51	108	45	26	144	71	54
Ras	PF00071.25	59	102	118	42	40	40	65	82	59	57	56	68	44	64	27	38	24	76	76	38	40	40	64	95	184	77	45	161	105	108
MMR_HSR1	PF01926.26	41	99	107	42	42	32	79	85	69	70	65	76	35	65	28	45	23	69	73	35	46	49	75	107	202	83	49	133	101	110
Arf	PF00025.24	61	122	136	39	43	39	66	91	64	61	55	72	48	69	20	43	15	76	75	33	45	43	62	92	175	60	47	142	99	105
PPR_3	PF13812.9	38	44	42	7	10	10	19	16	20	20	12	20	9	24	6	13	5	4	5	12	9	10	21	117	60	39	14	13	17	30
adh_short	PF00106.28	28	62	82	37	71	71	51	84	41	40	56	56	65	97	30	50	23	56	54	100	29	28	46	84	161	74	36	108	103	84
Roc	PF08477.16	53	101	115	39	38	33	62	77	56	56	51	65	39	56	17	36	16	70	66	26	40	40	61	91	172	67	42	134	100	105
Myb_DNA-binding	PF00249.34	19	44	55	11	12	11	19	20	23	22	18	29	15	24	9	13	9	19	19	12	10	12	22	275	108	51	24	31	22	32
Homeodomain	PF00046.32	10	40	36	29	27	23	79	47	21	22	57	85	24	48	22	25	28	69	69	34	49	43	74	159	258	53	56	71	45	158
adh_short_C2	PF13561.9	23	52	75	33	64	69	45	78	37	37	46	48	58	89	24	46	20	49	50	91	25	25	40	76	137	64	26	92	88	76
Tyrosinase	PF00264.23	17	33	37	32	48	56	54	53	0	0	65	54	61	70	27	33	44	63	65	80	32	29	48	121	220	64	49	13	28	131
C2	PF00168.33	25	56	73	29	32	34	43	36	23	21	38	41	20	63	22	28	15	43	42	48	26	25	47	62	114	46	28	94	45	52
ResIII	PF04851.18	32	55	67	37	34	20	65	56	45	41	66	63	32	42	31	29	21	53	58	29	42	43	66	112	165	70	40	83	68	81
SH3_1	PF00018.31	30	56	60	31	28	28	47	52	49	52	51	54	28	56	23	29	18	46	49	30	28	27	47	61	108	54	28	115	63	61
AMP-binding	PF00501.31	47	62	119	24	48	47	45	80	29	32	31	44	46	66	25	29	22	32	35	66	21	23	35	43	108	42	26	72	51	76
EF-hand_5	PF13202.9	16	29	31	18	15	17	31	28	16	15	25	34	20	34	13	17	11	30	31	16	19	19	34	30	58	24	14	55	43	32
Ank_3	PF13606.9	21	17	33	17	18	17	26	37	34	31	34	34	17	36	11	21	10	31	29	20	16	16	23	48	90	41	22	119	57	60
Myb_DNA-bind_6	PF13921.9	13	37	53	7	11	8	16	16	17	17	13	18	13	20	7	11	6	13	13	12	8	9	16	264	86	44	17	19	17	24
Peptidase_S8	PF00082.25	13	72	57	28	46	31	36	12	18	20	32	37	28	49	15	19	22	46	50	51	31	36	42	152	299	84	54	29	30	74
PPR	PF01535.23	36	45	42	10	6	6	17	10	18	19	7	12	6	13	7	5	4	2	2	6	8	9	14	92	41	28	11	11	10	20
ABC_membrane	PF00664.26	12	34	56	20	22	37	40	44	20	19	41	29	39	32	20	18	16	38	37	42	26	22	40	56	96	47	17	55	41	44
zf-CCHC	PF00098.26	9	9	24	7	7	7	13	20	25	20	13	16	9	5	6	6	188	14	22	12	5	7	13	19	285	47	17	31	27	29
zf-C3HC4	PF00097.28	16	54	78	39	26	17	52	50	30	33	59	66	30	47	30	27	8	40	36	24	31	33	50	84	150	74	43	95	80	86
PH	PF00169.32	21	69	79	27	20	16	45	46	44	38	41	48	21	40	15	21	23	55	55	20	26	27	42	60	120	52	29	135	66	81
PPR_2	PF13041.9	38	45	42	10	6	5	12	14	17	17	5	9	5	10	6	7	2	1	2	6	5	7	12	100	57	34	13	8	10	22
LRR_8	PF13855.9	9	21	24	11	9	7	15	22	15	12	13	15	8	15	9	9	7	19	18	11	8	9	15	22	56	17	11	107	56	28
Epimerase	PF01370.24	27	58	59	28	28	23	61	60	24	18	37	41	30	38	18	26	20	32	34	39	34	35	55	63	187	59	28	45	51	89
SH3_9	PF14604.9	28	44	52	24	23	23	40	43	39	40	41	44	23	43	18	23	12	40	42	25	22	22	39	45	88	32	24	92	48	45
SH3_2	PF07653.20	26	42	42	27	23	25	41	41	36	41	43	44	23	40	21	23	16	43	44	25	24	22	42	44	83	40	21	102	49	47
Abhydrolase_1	PF00561.23	15	39	46	24	28	24	50	43	21	21	40	46	28	30	20	16	20	42	42	19	27	31	57	66	197	103	37	51	48	73
KR	PF08659.13	21	55	64	30	45	40	35	64	29	30	38	36	40	56	14	30	12	28	27	59	19	20	29	51	86	44	22	78	79	74
PUF	PF00806.22	8	12	9	5	5	5	11	12	13	13	9	12	5	9	4	5	3	10	10	4	6	6	11	10	26	8	5	12	10	16
Metallophos	PF00149.31	22	45	54	21	22	22	47	43	30	31	34	38	31	45	15	23	15	37	36	32	29	28	43	77	143	49	36	47	48	106
EF-hand_8	PF13833.9	19	27	27	18	17	16	27	31	17	15	23	35	18	35	14	20	10	28	29	16	18	18	30	28	46	18	12	51	44	32
Hydrolase	PF00702.29	37	76	65	20	33	21	37	71	36	36	32	25	32	37	16	27	15	31	31	33	23	23	27	68	109	39	27	57	44	62
E1-E2_ATPase	PF00122.23	34	74	68	21	34	26	41	76	31	31	37	30	33	34	17	26	12	36	39	31	25	25	36	61	111	43	29	49	36	53
Ank_5	PF13857.9	23	15	40	14	11	14	24	32	24	23	27	24	16	34	11	16	10	29	26	13	14	14	20	32	66	27	13	109	53	33
AAA_5	PF07728.17	20	36	39	19	20	24	36	39	25	26	29	35	16	30	13	20	13	27	28	19	22	22	31	43	97	34	20	44	31	44
Fungal_trans	PF04082.21	11	38	41	30	45	26	44	63	35	31	31	41	21	50	22	27	36	74	74	26	24	27	37	45	73	42	21	23	20	61
EF-hand_7	PF13499.9	22	33	34	18	15	15	27	30	20	18	24	37	20	37	12	19	11	28	29	15	19	19	31	34	58	23	15	56	49	32
zf-RING_2	PF13639.9	15	49	66	30	18	15	41	42	32	35	37	46	25	34	25	20	9	36	34	15	27	27	40	59	98	38	28	68	64	54
DUF4817	PF16087.8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1114	0	0	0	0	0	0	0	0	0	0	3	7	0
Methyltransf_11	PF08241.15	26	64	66	22	24	19	37	49	53	55	38	36	29	41	18	22	14	34	33	24	23	23	34	47	88	45	21	49	36	50
Methyltransf_25	PF13649.9	27	66	67	23	25	19	33	45	57	56	35	41	29	41	17	26	12	30	28	24	24	24	36	46	86	44	22	48	35	44
UDPGT	PF00201.21	1	9	10	28	41	39	39	44	9	8	37	36	22	38	22	23	11	36	36	40	28	24	38	65	180	37	40	30	35	105
DnaJ	PF00226.34	32	43	44	23	20	18	33	46	36	33	38	42	22	38	19	20	17	43	42	24	23	21	33	51	85	37	24	66	57	54
Thioredoxin	PF00085.23	15	26	28	17	18	17	33	32	17	17	34	35	22	31	15	14	8	23	22	32	17	17	30	43	95	29	18	47	45	52
EF-hand_1	PF00036.35	13	24	27	15	10	12	28	18	11	10	19	25	15	26	12	12	10	23	24	10	17	17	29	20	36	14	9	48	32	26
AAA_lid_3	PF17862.4	26	34	42	20	18	17	30	39	21	21	33	33	20	30	15	18	10	27	28	21	18	19	31	46	90	32	23	45	45	47
TPR_8	PF13181.9	17	33	38	14	16	13	27	40	21	22	23	18	17	36	9	21	8	23	22	18	11	16	21	34	35	14	10	55	35	30
KH_1	PF00013.32	14	16	27	8	7	7	16	14	12	13	11	13	7	17	6	7	4	15	13	7	7	9	16	21	35	18	10	35	28	21
Hydrolase_4	PF12146.11	12	29	33	21	26	17	31	32	18	16	27	36	23	26	13	15	17	30	29	19	19	21	37	51	169	83	41	41	32	46
Aa_trans	PF01490.21	31	48	55	14	18	20	27	40	24	26	24	21	24	24	12	13	6	24	22	18	13	13	21	76	117	54	29	74	44	63
Aminotran_1_2	PF00155.24	31	42	41	17	22	25	32	55	24	25	42	34	29	46	15	25	25	38	37	24	21	20	35	42	82	37	18	44	33	34
Glyco_hydro_18	PF00704.31	18	38	34	23	19	23	31	46	15	17	26	31	22	36	20	17	17	32	34	27	24	23	37	71	113	46	21	24	46	43
Kinase-like	PF14531.9	16	52	48	24	21	16	28	31	32	30	40	34	18	37	10	19	10	31	28	20	23	19	32	51	104	44	22	39	42	55
ANAPC4_WD40	PF12894.10	18	30	34	18	13	8	31	44	24	26	27	31	16	21	16	17	9	22	22	16	21	21	36	45	100	46	22	41	40	38
7tm_1	PF00001.24	0	1	5	22	47	8	25	11	0	0	24	45	15	21	20	8	10	35	33	12	26	17	35	83	198	39	38	46	37	106
zf-C3HC4_2	PF13923.9	13	39	55	21	19	15	36	40	20	23	43	38	19	30	18	21	4	23	19	17	27	25	38	46	84	44	24	57	42	46
