DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_CBS_931	Basidiobolus_ranarum_AG-B5	Conidiobolus_antarcticus__ARSEF_6913	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus__ARSEF_2731	Conidiobolus_heterosporus__ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_incongruus__NRRL_3022	Conidiobolus_incongruus__NRRL_3023	Conidiobolus_lamprauges__ARSEF_2338	Conidiobolus_lamprauges__NRRL_1229	Conidiobolus_megalotocus__ARSEF_8428	Conidiobolus_megalotocus__NRRL_3011	Conidiobolus_osmodes__ARSEF_79	Conidiobolus_polytocus__NRRL_1231	Conidiobolus_pumilus__ARSEF_6383	Conidiobolus_rhysosporus__ARSEF_448	Conidiobolus_rhysosporus__NRRL_1225	Conidiobolus_sp___NRRL_29146	Conidiobolus_thromboides_FSU_785	Conidiobolus_thromboides__ARSEF_4968	Conidiobolus_thromboides__NRRL_1224	Entomophaga_maimaiga_ARSEF_7190	Entomophthora_muscae_UCB	Entomophthora_muscae_UCB_Trinity	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
GT2	0	39	34	11	11	11	18	25	24	23	16	13	12	12	4	13	9	21	25	10	11	11	15	26	8	11	12	14	19	34
GT15	0	0	0	7	11	8	5	14	8	8	1	16	6	19	1	9	1	6	7	10	1	4	5	5	1	1	2	1	3	35
GH5	0	6	4	6	5	2	11	12	3	3	11	5	6	12	3	5	3	9	10	3	6	7	11	8	3	5	4	3	5	12
GH47	0	6	9	3	7	1	7	13	6	4	10	3	5	6	2	5	0	4	2	3	4	4	6	14	3	12	4	11	7	14
GT39	0	9	5	4	4	3	6	8	7	7	7	6	4	5	1	4	2	8	9	1	5	5	8	9	4	5	3	4	4	9
AA3	0	1	3	3	0	0	5	2	2	2	4	7	1	1	1	0	3	12	11	0	3	3	4	10	0	3	3	7	9	18
GH20	0	9	5	2	2	0	4	3	3	3	3	4	5	3	1	2	1	5	8	1	2	2	3	7	1	2	1	11	4	16
GT48	0	4	4	4	1	1	6	3	3	3	4	6	2	2	2	2	2	5	6	4	3	3	6	6	2	2	2	3	4	11
GH37	0	5	5	2	2	1	4	4	4	4	2	3	2	2	1	2	0	4	4	1	2	2	3	8	3	3	3	4	4	8
GH31	0	4	5	1	3	0	2	4	3	3	4	4	4	3	0	2	2	5	6	2	2	2	2	4	1	3	2	8	5	6
GT4	0	4	3	2	2	1	4	4	4	4	3	5	1	3	2	3	2	2	2	0	3	3	5	6	1	5	2	3	6	6
GH3	0	1	1	2	2	1	4	6	2	3	2	2	1	4	1	3	0	3	3	2	2	2	3	4	2	1	2	2	4	15
GT20+CBM20	0	6	5	2	2	1	3	3	2	2	3	3	2	1	1	1	0	4	4	2	1	2	2	4	0	1	1	5	3	7
GH72+CBM43	0	3	1	2	4	1	3	9	1	1	4	3	1	1	0	3	0	2	2	3	1	3	4	4	0	0	0	2	1	6
CBM39	0	4	0	2	0	1	0	2	0	0	5	2	1	4	0	1	1	3	3	1	0	0	0	5	0	1	2	2	2	16
GH38	0	1	0	1	2	2	4	2	2	2	2	2	2	2	1	2	0	2	2	1	2	2	2	2	0	2	1	5	4	4
GH18	0	1	2	0	1	0	0	6	2	3	1	1	3	2	0	1	0	1	1	1	2	1	2	1	2	6	1	0	10	4
GT57	0	2	2	0	1	0	1	2	2	2	1	2	2	3	0	2	0	0	2	0	2	0	3	4	1	1	2	1	4	4
GT1	0	2	2	1	1	1	2	2	2	2	1	2	1	1	0	1	1	2	2	0	1	1	1	2	0	2	1	1	8	2
CE4	0	0	2	0	0	0	0	0	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	4	2	0	0	0	1	0
GT3	0	2	3	1	1	1	1	2	2	2	2	1	1	1	1	1	2	2	2	0	1	1	1	2	2	1	1	2	2	3
GH13+CBM48	0	3	3	1	1	1	2	2	1	1	2	2	1	2	1	1	1	2	2	1	1	1	1	2	0	0	1	2	2	2
CE9	0	6	3	1	1	0	2	2	1	2	1	0	1	1	0	1	1	2	2	0	1	1	1	2	0	2	1	1	2	2
