DOMAIN	Basidiobolus_heterosporus_B8920	Basidiobolus_meristosporus_B9252	Basidiobolus_meristosporus_CBS_931	Conidiobolus_coronatus_NRRL_28638	Conidiobolus_firmipilleus_ARSEF_2731	Conidiobolus_firmipilleus_ARSEF_6384	Conidiobolus_heterosporus_ARSEF_6386	Conidiobolus_incongruus_B7586	Conidiobolus_lamprauges_ARSEF_2338	Conidiobolus_megalotocus_ARSEF_8428	Conidiobolus_osmodes_ARSEF_79	Conidiobolus_pumilus_ARSEF_6383	Conidiobolus_rhysosporus_ARSEF_448	Conidiobolus_thromboides_ARSEF_4968	Conidiobolus_thromboides_FSU_785	Entomophthora_muscae_Berkeley_v1	Entomophthora_muscae_isoH_Trinity	Pandora_formicae_Trinity	Strongwellsea_castrans_DrSc_Trinity	Zoophthora_radicans_ATCC_208865
S01A	6	10	19	70	76	79	89	38	92	96	65	54	82	57	59	90	54	63	119	146
S08A	9	21	68	45	61	39	56	10	55	49	43	25	55	33	29	97	48	23	24	35
S33	13	20	24	22	22	31	31	33	28	28	20	22	32	20	21	50	30	49	50	23
C19	20	27	26	17	14	11	14	26	23	13	17	8	19	9	10	15	11	62	36	11
S09X	6	14	25	20	22	22	18	27	13	21	8	7	13	16	11	12	9	49	40	6
T01A	17	15	16	12	16	13	21	26	18	15	16	13	26	13	14	20	13	29	32	13
M14A	3	8	7	27	36	25	17	34	17	31	10	11	20	9	11	19	13	6	27	7
S09C	7	15	17	15	22	19	18	28	15	23	11	11	12	10	10	8	5	20	11	5
C26	4	12	12	9	14	11	14	16	15	9	9	4	14	9	9	12	9	21	19	10
M16A	1	3	2	0	0	0	4	0	2	0	5	4	2	2	2	77	37	8	7	49
S28	2	3	3	11	8	9	16	14	12	10	9	7	21	10	12	12	9	9	11	12
M01	3	4	5	8	8	6	8	10	7	4	5	5	6	5	6	5	7	32	30	36
S10	6	5	9	11	14	5	6	14	15	5	8	3	4	4	4	28	11	6	9	16
M38	16	31	28	4	3	5	4	8	4	4	6	4	5	2	2	6	4	15	11	4
M36	1	3	1	9	11	29	2	0	1	50	1	1	2	1	1	5	6	3	1	16
S09A	3	5	4	4	6	10	6	14	4	15	7	3	10	4	5	18	9	7	5	3
C44	7	18	13	4	6	6	6	8	7	6	4	2	8	4	4	4	4	9	12	6
S12	2	2	2	2	3	4	10	12	6	5	4	6	14	6	4	19	11	6	7	8
M67A	4	7	6	5	5	6	7	9	9	6	3	4	9	4	5	5	5	18	9	4
M28A	11	9	16	7	7	7	8	12	8	6	5	4	4	4	4	5	2	2	4	3
T03	4	4	4	7	8	10	6	10	11	8	5	4	4	3	3	5	3	16	5	6
M20A	3	6	6	9	13	5	6	10	6	5	7	5	15	4	4	3	3	8	4	2
C14B	3	5	5	4	5	3	5	8	9	3	8	4	7	4	4	15	10	8	3	4
M28E	0	0	0	8	7	12	11	18	4	19	3	0	9	6	6	2	2	3	2	4
A01A	10	17	19	3	3	5	2	5	2	5	3	1	3	2	2	3	4	14	7	4
C56	7	13	35	2	2	3	5	2	7	1	4	1	2	3	3	4	2	6	4	2
M16B	7	7	7	3	5	4	6	7	6	3	4	1	7	3	3	5	3	8	6	3
M24B	4	5	5	3	4	4	3	7	6	3	4	3	5	3	3	4	3	7	7	3
M03A	5	4	3	2	4	3	8	4	6	5	9	3	3	3	3	4	4	5	4	2
M24A	3	4	4	5	5	3	4	6	5	3	4	4	4	3	3	5	3	6	6	3
S08B	3	4	5	1	1	1	4	2	3	1	3	2	4	2	2	20	9	7	7	2
S54	4	3	4	1	3	2	3	5	6	2	2	2	2	3	4	5	3	10	10	5
S09B	2	8	8	2	2	3	3	6	2	4	3	1	4	2	2	3	2	15	5	2
M13	2	13	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16	34	0
C48	2	4	8	3	2	2	4	6	6	2	1	3	6	1	3	6	3	7	6	3
M28X	2	3	3	5	5	3	5	6	1	2	1	3	7	2	3	5	2	5	9	2
M28D	0	1	1	5	5	7	6	12	6	8	5	1	4	3	3	0	0	1	0	0
M17	2	6	3	2	2	3	3	5	5	2	5	1	4	2	2	2	2	5	6	3
M18	2	4	3	4	11	5	2	10	3	4	2	1	2	1	1	1	1	2	1	1
M24X	3	4	3	2	2	2	4	4	4	2	2	1	4	2	2	1	2	5	5	3
M41	2	4	3	2	2	3	4	4	4	2	2	1	4	2	2	1	2	5	5	2
M20F	4	2	2	2	2	2	4	4	4	2	4	2	4	2	2	4	2	4	2	1
S01C	3	6	7	1	1	2	2	2	0	1	2	3	6	1	1	2	3	4	3	3
M16C	1	4	3	2	2	2	3	7	2	2	3	2	2	2	2	0	2	6	4	2
M67X	3	2	2	2	2	2	3	4	3	3	1	2	4	2	2	2	2	4	4	2
C85A	0	1	1	1	1	2	3	3	3	2	2	1	2	2	2	3	2	6	5	3
C12	2	1	2	1	1	1	4	2	3	1	1	2	2	2	2	3	2	5	5	2
M48A	1	2	3	7	4	1	2	2	1	1	1	1	2	1	2	2	1	3	2	4
S16	2	3	3	1	2	2	1	4	1	2	1	2	4	1	1	2	2	3	3	2
