# BUSCO version is: 5.2.2 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
494at4751	Complete	Chr06	39287339	39302407	-	2915.6	2903	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Complete	Chr09	29511581	29521813	+	1176.5	2042	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	Chr10	16204945	16211031	-	2997.6	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	Chr09	25211788	25217415	-	1625.2	1400	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Complete	Chr02	18504092	18511504	-	1056.5	1655	https://www.orthodb.org/v10?query=4409at4751	Armadillo-type fold
4466at4751	Complete	Chr07	33211965	33218474	+	1777.1	1814	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	Chr15	2130591	2138180	+	3100.0	1887	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Complete	Chr14	32967569	32970189	-	563.9	689	https://www.orthodb.org/v10?query=5995at4751	Protein kinase domain
6186at4751	Complete	Chr01	23990648	23996878	+	373.0	904	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Complete	Chr01	93612664	93616281	-	789.9	788	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Complete	Chr06	19739953	19744065	-	1138.4	905	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	Chr15	9647880	9654812	+	1786.8	1444	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	Chr01	121345092	121350426	+	633.1	998	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	Chr13	8639427	8640650	-	170.7	406	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Complete	Chr17	2382928	2385926	-	560.9	651	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Complete	Chr05	9802209	9807357	-	1966.2	1405	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Missing
10531at4751	Fragmented	Chr01	141502566	141504664	+	393.2	382	https://www.orthodb.org/v10?query=10531at4751	Rapamycin-insensitive companion of mTOR, domain 4
11140at4751	Missing
11636at4751	Missing
11879at4751	Missing
