Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
DFQ33|DFQ33_000093-T1	CAP81259.1|GT24|	34.1	1515	865	38	9	1463	15	1456	4.20e-267	812
DFQ33|DFQ33_000136-T1	CCA15473.1|GH72|	54.8	389	171	5	1	385	565	952	6.39e-137	419
DFQ33|DFQ33_000224-T1	CDS05746.1|GH5_9|	47.9	432	215	5	94	518	4	432	1.59e-147	434
DFQ33|DFQ33_000232-T1	CDS05746.1|GH5_9|	52.3	426	190	7	81	498	5	425	5.87e-170	491
DFQ33|DFQ33_000233-T1	CDS05746.1|GH5_9|	48.0	429	210	8	101	521	4	427	3.10e-157	459
DFQ33|DFQ33_000242-T1	QKX60855.1|GT22|	69.5	292	86	1	33	324	568	856	5.09e-133	404
DFQ33|DFQ33_000247-T1	CDS12794.1|GT39|	33.8	689	445	7	71	758	75	753	1.88e-133	417
DFQ33|DFQ33_000288-T1	AMJ52391.1|GH47|	41.0	478	244	9	67	508	89	564	1.38e-110	344
DFQ33|DFQ33_000327-T1	AWO98658.1|GH37|	68.9	402	124	1	19	419	69	470	4.28e-192	571
DFQ33|DFQ33_000422-T1	CDS05327.1|GT2|	43.9	1762	873	31	21	1716	25	1736	0.0	1338
DFQ33|DFQ33_000468-T1	QKX55086.1|GH55|	48.9	599	267	7	221	782	787	1383	2.67e-186	575
DFQ33|DFQ33_000503-T1	CED83340.1|GT31|	39.8	786	429	18	389	1139	1142	1918	1.40e-161	532
DFQ33|DFQ33_000532-T1	QCW79542.1|GH101|	55.4	457	196	2	97	545	612	1068	1.01e-169	513
DFQ33|DFQ33_000593-T1	VDC69778.1|CE8|	43.6	615	336	7	130	740	658	1265	2.62e-161	504
DFQ33|DFQ33_000667-T1	QKX56076.1|GH51|	42.2	450	247	6	78	516	901	1348	2.21e-107	358
DFQ33|DFQ33_000700-T1	SMQ49199.1|AA3|	36.7	622	331	15	55	636	37	635	2.54e-109	347
DFQ33|DFQ33_000807-T1	CDS05274.1|GT2|	52.4	909	392	14	2	884	75	968	3.12e-302	875
DFQ33|DFQ33_000816-T1	SVE85332.1|GH9|	46.9	918	460	9	6	907	418	1324	7.78e-109	370
DFQ33|DFQ33_000853-T1	BBN14963.1|CBM20|	49.6	403	192	7	11	406	397	795	5.75e-123	380
DFQ33|DFQ33_000871-T1	QEO24085.1|GH47|	50.1	371	176	4	29	394	838	1204	1.28e-119	379
DFQ33|DFQ33_000950-T1	QGI86474.1|GH125|	46.6	468	191	8	81	503	37	490	1.27e-127	400
DFQ33|DFQ33_000969-T1	QKD53806.1|AA3|	34.6	633	339	17	43	615	35	652	2.09e-103	333
DFQ33|DFQ33_001113-T1	ACZ81482.1|GT39|	47.3	744	347	9	64	799	58	764	1.01e-231	674
DFQ33|DFQ33_001125-T1	CDS09089.1|GT41|	50.6	1255	482	24	331	1491	291	1501	0.0	1063
DFQ33|DFQ33_001162-T1	ANB12754.1|GH5_9|	47.9	380	187	8	17	396	30	398	6.07e-122	364
DFQ33|DFQ33_001182-T1	CBX98352.1|GT48|	51.4	1779	744	23	177	1918	186	1880	0.0	1714
DFQ33|DFQ33_001282-T1	CDS09097.1|GH15|	59.5	677	248	8	13	673	63	729	1.02e-286	806
DFQ33|DFQ33_001348-T1	APF18717.1|GH3|	41.6	736	404	11	40	763	26	747	1.88e-189	562
DFQ33|DFQ33_001373-T1	AAX19736.1|GH37|	63.9	710	239	4	26	735	7	699	0.0	941
DFQ33|DFQ33_001504-T1	QKD55908.1|GH18|	32.1	847	480	23	306	1110	1393	2186	4.64e-104	367
DFQ33|DFQ33_001576-T1	QBZ54211.1|GH47|	49.7	841	361	13	7	802	631	1454	1.03e-222	672
DFQ33|DFQ33_001597-T1	BAA01021.1|CBM19|GH18|3.2.1.14	48.8	432	187	9	9	434	11	414	6.54e-115	352
DFQ33|DFQ33_001603-T1	AIE96983.1|GT7|	30.5	1251	667	32	37	1145	7	1196	4.22e-152	506
DFQ33|DFQ33_001647-T1	CDS08031.1|GT2|	44.9	1705	832	28	25	1649	11	1687	0.0	1384
DFQ33|DFQ33_001668-T1	CDS08031.1|GT2|	43.7	1708	850	27	24	1653	13	1687	0.0	1338
DFQ33|DFQ33_001691-T1	CDS02746.1|GT4|	62.6	425	157	1	8	432	2	424	1.09e-194	551
DFQ33|DFQ33_001721-T1	QKX53119.1|GH72|	47.5	478	235	6	13	477	8	482	1.15e-134	434
DFQ33|DFQ33_001771-T1	QKD52993.1|GT35|	57.4	855	358	6	19	872	32	881	0.0	991
DFQ33|DFQ33_001842-T1	CAN80640.1|GT47|	53.8	426	191	4	8	428	937	1361	4.19e-154	475
DFQ33|DFQ33_001938-T1	CDS09314.1|GT39|	49.9	713	343	4	13	720	85	788	1.85e-241	697
DFQ33|DFQ33_001954-T1	QBQ55251.1|CBM50|	37.2	844	444	18	18	848	21	791	3.98e-146	468
DFQ33|DFQ33_002101-T1	QBQ55251.1|CBM50|	34.1	998	541	19	7	998	24	910	1.51e-144	464
DFQ33|DFQ33_002206-T1	CAC9909034.1|GT8|	68.3	391	123	1	11	401	333	722	4.03e-184	533
DFQ33|DFQ33_002418-T1	CDS05640.1|GH20|	42.2	670	335	9	54	709	27	658	2.19e-170	516
DFQ33|DFQ33_002492-T1	AVI60826.1|GT22|	63.3	431	134	8	10	429	583	1000	2.25e-162	510
DFQ33|DFQ33_002754-T1	VUW72999.1|AA1|	45.4	447	225	8	338	772	182	621	3.31e-107	360
