# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Entmai1|Entmai1_222727	1905.3	1415
83779at2759	Complete	Entmai1|Entmai1_664511	225.9	227
87842at2759	Complete	Entmai1|Entmai1_532838	501.1	634
97116at2759	Complete	Entmai1|Entmai1_760016	1012.0	954
100698at2759	Duplicated	Entmai1|Entmai1_657942	787.2	501
100698at2759	Duplicated	Entmai1|Entmai1_726393	784.9	500
142542at2759	Complete	Entmai1|Entmai1_678773	464.6	643
156083at2759	Complete	Entmai1|Entmai1_220935	3615.4	1962
160593at2759	Missing
166920at2759	Complete	Entmai1|Entmai1_586386	620.5	753
176625at2759	Complete	Entmai1|Entmai1_736735	234.3	389
179362at2759	Complete	Entmai1|Entmai1_689740	601.1	1554
245208at2759	Complete	Entmai1|Entmai1_41038	1482.7	839
257318at2759	Complete	Entmai1|Entmai1_742219	289.2	295
261328at2759	Complete	Entmai1|Entmai1_695478	323.3	414
261419at2759	Missing
270107at2759	Complete	Entmai1|Entmai1_89322	451.1	514
271586at2759	Complete	Entmai1|Entmai1_706335	175.9	346
290630at2759	Complete	Entmai1|Entmai1_673430	696.5	611
293315at2759	Complete	Entmai1|Entmai1_1071144	567.5	618
296129at2759	Complete	Entmai1|Entmai1_1074849	1073.2	703
299766at2759	Missing
306227at2759	Complete	Entmai1|Entmai1_699789	499.0	480
320059at2759	Complete	Entmai1|Entmai1_574017	870.1	451
324863at2759	Complete	Entmai1|Entmai1_696402	562.0	514
325552at2759	Complete	Entmai1|Entmai1_654305	392.0	526
330169at2759	Complete	Entmai1|Entmai1_628473	209.1	290
331411at2759	Complete	Entmai1|Entmai1_75009	225.0	323
341721at2759	Complete	Entmai1|Entmai1_547987	232.3	394
345441at2759	Complete	Entmai1|Entmai1_689647	472.2	383
355408at2759	Complete	Entmai1|Entmai1_625710	726.2	547
369837at2759	Complete	Entmai1|Entmai1_124261	291.2	371
375960at2759	Complete	Entmai1|Entmai1_634963	218.5	339
383503at2759	Fragmented	Entmai1|Entmai1_743547	299.6	253
388820at2759	Complete	Entmai1|Entmai1_688073	547.2	619
390348at2759	Complete	Entmai1|Entmai1_650018	1174.1	759
392369at2759	Complete	Entmai1|Entmai1_623725	406.4	342
396755at2759	Missing
418107at2759	Complete	Entmai1|Entmai1_505541	437.5	344
426305at2759	Complete	Entmai1|Entmai1_709807	439.1	493
450058at2759	Complete	Entmai1|Entmai1_601810	142.4	226
453044at2759	Missing
457861at2759	Complete	Entmai1|Entmai1_1092877	30.4	126
464990at2759	Complete	Entmai1|Entmai1_643590	348.7	384
491869at2759	Complete	Entmai1|Entmai1_579032	199.9	251
513979at2759	Complete	Entmai1|Entmai1_728269	106.9	218
543764at2759	Complete	Entmai1|Entmai1_579547	210.4	256
549762at2759	Complete	Entmai1|Entmai1_598176	444.1	404
551907at2759	Complete	Entmai1|Entmai1_670643	245.2	354
570797at2759	Complete	Entmai1|Entmai1_739940	126.1	342
582756at2759	Complete	Entmai1|Entmai1_521756	234.0	346
598949at2759	Complete	Entmai1|Entmai1_741508	286.9	331
604979at2759	Complete	Entmai1|Entmai1_717454	432.5	284
621827at2759	Complete	Entmai1|Entmai1_734224	321.1	329
625387at2759	Complete	Entmai1|Entmai1_653214	265.0	326
655400at2759	Complete	Entmai1|Entmai1_738800	218.3	270
664730at2759	Complete	Entmai1|Entmai1_660571	652.2	352
671536at2759	Complete	Entmai1|Entmai1_604507	496.5	365
671846at2759	Complete	Entmai1|Entmai1_694827	158.9	302
673132at2759	Complete	Entmai1|Entmai1_596527	313.6	275
674160at2759	Complete	Entmai1|Entmai1_549110	580.7	1081
674169at2759	Complete	Entmai1|Entmai1_605649	101.8	234
679187at2759	Complete	Entmai1|Entmai1_737320	302.7	433
679771at2759	Complete	Entmai1|Entmai1_148859	94.1	150
687505at2759	Complete	Entmai1|Entmai1_605839	160.3	241
692986at2759	Fragmented	Entmai1|Entmai1_612050	72.8	138
