Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
EC987|EC987_000076-T1	EAU38131.1|GH5_31|	68.7	377	118	0	1	377	411	787	3.97e-193	557
EC987|EC987_000328-T1	AIE96983.1|GT7|	32.0	1235	666	36	71	1176	7	1196	2.74e-162	535
EC987|EC987_000382-T1	QKX55195.1|GT2|	49.7	1101	443	21	66	1132	412	1435	0.0	988
EC987|EC987_001133-T1	CDS05327.1|GT2|	36.4	1902	959	47	57	1932	35	1712	0.0	1071
EC987|EC987_001212-T1	SVE85332.1|GH9|	42.3	920	486	10	7	892	418	1326	1.79e-113	382
EC987|EC987_001273-T1	CCA14548.1|GT2|	52.7	313	145	2	4	315	443	753	1.00e-109	340
EC987|EC987_001280-T1	SDS23379.1|GH3|	40.3	746	412	11	36	767	28	754	2.93e-189	562
EC987|EC987_001281-T1	QEC79975.1|GH3|	42.1	737	396	11	34	759	30	746	2.41e-188	560
EC987|EC987_001328-T1	QKX55086.1|GH55|	50.8	597	254	7	219	778	790	1383	3.82e-197	604
EC987|EC987_001334-T1	CDS05327.1|GT2|	41.8	1735	906	32	17	1690	23	1714	0.0	1241
EC987|EC987_001389-T1	CDS04937.1|GH18|	34.2	1584	894	34	1672	3228	1673	3135	4.97e-234	800
EC987|EC987_001391-T1	CBA03971.1|GT30|	62.8	393	144	2	7	398	4	395	3.94e-168	502
EC987|EC987_001430-T1	CDS08047.1|GT15|	57.1	317	125	4	82	391	71	383	1.81e-129	382
EC987|EC987_001431-T1	AOW28224.1|GT15|	51.5	324	145	5	60	381	136	449	7.40e-117	352
EC987|EC987_001432-T1	CDS08047.1|GT15|	57.2	313	123	4	92	396	69	378	9.95e-127	375
EC987|EC987_001433-T1	CDS10110.1|GT15|	57.1	308	126	3	91	395	70	374	5.98e-130	382
EC987|EC987_001434-T1	CDS08047.1|GT15|	55.7	314	126	5	88	392	69	378	2.28e-124	369
EC987|EC987_001435-T1	AJV03058.1|GT15|	51.4	317	137	3	68	376	120	427	6.72e-114	343
EC987|EC987_001560-T1	CDS05746.1|GH5_9|	45.1	435	222	8	100	529	3	425	8.24e-140	415
EC987|EC987_001561-T1	CDS05746.1|GH5_9|	44.1	435	226	6	123	552	3	425	4.60e-137	409
EC987|EC987_001562-T1	EGX49587.1|GT2|	47.3	1042	460	17	157	1137	144	1157	2.11e-297	874
EC987|EC987_001695-T1	AHX26717.1|GT2|	33.1	747	431	15	98	795	15	741	2.91e-107	384
EC987|EC987_001786-T1	QGI58483.1|AA2|	66.5	272	89	1	104	373	83	354	4.31e-130	381
EC987|EC987_001979-T1	CDS05746.1|GH5_9|	45.3	435	225	7	98	529	1	425	1.45e-140	417
EC987|EC987_001980-T1	CDS05746.1|GH5_9|	43.8	436	226	7	123	552	3	425	5.93e-135	403
EC987|EC987_001981-T1	EGX49587.1|GT2|	47.5	1042	458	17	158	1138	144	1157	5.48e-298	876
EC987|EC987_002031-T1	AHX26715.1|GT2|	33.7	783	436	20	78	795	36	800	3.42e-112	406
EC987|EC987_002275-T1	QBZ62451.1|AA3|	36.0	642	336	17	30	611	17	643	1.70e-105	337
EC987|EC987_002387-T1	CAP97490.1|GT20|	64.8	472	165	1	7	478	2	472	6.21e-235	657
EC987|EC987_002420-T1	CDS05327.1|GT2|	37.8	1678	892	37	107	1708	85	1687	0.0	983
EC987|EC987_002449-T1	CDS12794.1|GT39|	46.5	681	354	6	95	768	74	751	5.97e-222	645
EC987|EC987_002551-T1	QKD55908.1|GH18|	32.4	1245	614	35	15	1094	999	2180	1.14e-156	522
EC987|EC987_002590-T1	AMJ52391.1|GH47|	40.8	466	242	9	45	479	101	563	7.71e-105	328
EC987|EC987_002780-T1	EAA31326.1|GH71|	38.0	639	332	11	99	721	626	1216	1.42e-124	408
EC987|EC987_002815-T1	BAA34296.1|GT4|	49.3	442	219	4	4	440	6	447	6.10e-147	431
EC987|EC987_002883-T1	QDI60973.1|GH13_5|	58.4	485	200	2	1	484	1	484	4.84e-218	614
EC987|EC987_003021-T1	CDS06367.1|GH38|	44.6	1102	549	17	9	1075	26	1100	0.0	941
EC987|EC987_003084-T1	AHX26717.1|GT2|	33.3	739	432	13	106	797	17	741	4.04e-107	384
EC987|EC987_003213-T1	CDS08031.1|GT2|	38.2	1295	713	24	16	1246	3	1274	6.87e-277	838
EC987|EC987_003522-T1	CAC9909034.1|GT8|	63.9	377	135	1	18	394	347	722	2.99e-171	500
EC987|EC987_003626-T1	ANM05880.1|CBM50|	36.4	538	313	9	24	553	24	540	1.93e-111	354
EC987|EC987_003627-T1	ASS55757.1|CBM50|	37.2	481	283	6	24	498	24	491	9.38e-106	335
EC987|EC987_003631-T1	AOO94665.1|CBM50|	39.1	478	272	6	26	497	26	490	3.49e-109	349
EC987|EC987_003839-T1	AMJ52391.1|GH47|	36.6	506	267	7	9	470	67	562	1.14e-105	330
EC987|EC987_003840-T1	AMJ52391.1|GH47|	40.5	472	243	10	43	482	98	563	1.00e-103	325
EC987|EC987_004169-T1	SDU44743.1|CBM51|GH31|	51.0	655	297	9	34	669	52	701	1.99e-225	669
EC987|EC987_004232-T1	ADV24562.1|GH13_25|GH133|	43.8	1579	798	23	17	1539	48	1592	0.0	1267
EC987|EC987_004248-T1	CDS05640.1|GH20|	40.9	416	228	5	69	470	57	468	1.82e-113	357
EC987|EC987_004342-T1	AKU79211.1|GH20|	38.5	616	288	15	24	553	22	632	6.30e-135	411
EC987|EC987_004343-T1	SPT17241.1|GH20|	37.9	560	308	13	21	552	33	580	2.21e-125	384
EC987|EC987_004349-T1	CED83340.1|GT31|	34.3	977	500	21	415	1263	949	1911	8.13e-146	493
EC987|EC987_004378-T1	QKX56076.1|GH51|	54.1	772	319	9	337	1082	833	1595	9.20e-253	764
EC987|EC987_004404-T1	ACY64759.1|CBM43|GH72|	41.7	453	243	7	7	445	16	461	4.54e-120	366
EC987|EC987_004409-T1	CDS08047.1|GT15|	49.2	333	158	4	50	374	51	380	2.16e-114	343
EC987|EC987_004410-T1	CDS08047.1|GT15|	55.7	314	126	5	88	392	69	378	3.69e-123	365
EC987|EC987_004411-T1	CDS10110.1|GT15|	55.8	308	130	3	79	383	70	374	3.61e-128	377
EC987|EC987_004412-T1	CDS08047.1|GT15|	56.2	317	128	4	94	402	65	378	2.47e-126	374
EC987|EC987_004413-T1	CDS08699.1|GT15|	47.2	386	167	10	17	397	17	370	3.74e-117	350
EC987|EC987_004414-T1	CDS08047.1|GT15|	57.5	313	122	4	89	393	69	378	1.36e-128	379
EC987|EC987_004438-T1	CDS13093.1|GT57|	49.4	429	206	3	62	486	2	423	4.63e-136	404
EC987|EC987_004441-T1	SMR50199.1|AA3|	38.1	633	327	18	25	618	31	637	1.09e-122	381
