Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
ZOOFUN|ZOORAD_000100-T1	CDS08047.1|GT15|	57.1	319	130	2	68	381	66	382	3.99e-135	395
ZOOFUN|ZOORAD_000225-T1	CDS02746.1|GT4|	64.5	425	149	1	8	432	2	424	1.60e-198	561
ZOOFUN|ZOORAD_000431-T1	SMR56934.1|GT22|	54.9	534	221	8	10	528	608	1136	9.00e-191	572
ZOOFUN|ZOORAD_000459-T1	CDS04796.1|CE9|	52.5	421	170	6	26	417	13	432	7.99e-152	441
ZOOFUN|ZOORAD_000519-T1	AWP04987.1|GT13|	41.9	852	446	16	91	926	100	918	4.22e-205	637
ZOOFUN|ZOORAD_000523-T1	AOW02859.1|GH16_2|	49.4	413	194	5	78	478	248	657	2.42e-134	407
ZOOFUN|ZOORAD_000608-T1	CDS08031.1|GT2|	52.4	855	371	14	99	937	853	1687	1.19e-287	862
ZOOFUN|ZOORAD_000746-T1	ABE82127.1|GH20|	41.3	523	268	13	51	546	54	564	3.54e-128	391
ZOOFUN|ZOORAD_000841-T1	ADK37842.1|GH16_19|	51.7	269	125	2	61	327	18	283	9.86e-103	309
ZOOFUN|ZOORAD_000845-T1	ADK37842.1|GH16_19|	57.4	258	107	2	53	310	48	302	9.94e-112	332
ZOOFUN|ZOORAD_000974-T1	ADK37844.1|GH16_4|	73.7	323	85	0	49	371	1	323	9.58e-196	546
ZOOFUN|ZOORAD_001076-T1	AFK25797.1|GT2|	46.9	836	344	16	424	1204	90	880	6.00e-225	683
ZOOFUN|ZOORAD_001222-T1	ADK37849.1|CBM18|CE4|	63.6	272	96	3	25	295	21	290	9.53e-122	357
ZOOFUN|ZOORAD_001224-T1	ADK37849.1|CBM18|CE4|	57.6	276	114	3	21	295	17	290	7.14e-108	322
ZOOFUN|ZOORAD_001225-T1	ADK37849.1|CBM18|CE4|	63.4	276	98	3	21	295	17	290	1.69e-122	358
ZOOFUN|ZOORAD_001226-T1	ADK37849.1|CBM18|CE4|	56.0	284	116	3	20	303	16	290	1.24e-109	326
ZOOFUN|ZOORAD_001299-T1	CDS04078.1|GH15|	54.8	662	260	7	14	654	22	665	3.04e-255	723
ZOOFUN|ZOORAD_001488-T1	QDS71450.1|GH47|	60.9	322	114	4	8	327	1044	1355	4.16e-130	410
ZOOFUN|ZOORAD_001639-T1	CDS11918.1|CBM43|GH72|	49.9	445	198	9	10	433	12	452	3.19e-138	410
ZOOFUN|ZOORAD_001641-T1	CDS11918.1|CBM43|GH72|	49.1	446	202	9	9	433	11	452	4.14e-136	405
ZOOFUN|ZOORAD_001647-T1	CDS11918.1|CBM43|GH72|	47.0	438	216	6	13	436	15	450	6.86e-132	399
ZOOFUN|ZOORAD_001847-T1	CDS08031.1|GT2|	39.3	1711	889	32	19	1614	13	1689	0.0	1126
ZOOFUN|ZOORAD_001967-T1	CDS05274.1|GT2|	54.7	953	385	15	6	927	85	1021	0.0	938
ZOOFUN|ZOORAD_001998-T1	CDS10110.1|GT15|	52.4	307	143	2	75	380	69	373	2.07e-116	347
