Orthogroup	Conidiobolus_thromboides_FSU_785.Conth1.v1.aa	Entomophaga_maimaiga_ARSEF_7190.v1.aa	Entomophthora_muscae_UCB.v3_longest.aa	Zoophthora_radicans_ATCC_208865.aa	Total	CAZY	MEROPS	Pfam
OG0000000	0	0	479	0	479			zf-CCHC:1,Integrase_H2C2:1
OG0000001	0	0	358	0	358			
OG0000002	0	0	357	0	357			RVP_2:1
OG0000003	0	0	306	0	306			Chromo:1,Integrase_H2C2:1
OG0000004	0	1	295	0	296			Retrotrans_gag:2
OG0000005	0	0	294	0	294			RT_RNaseH:1,RT_RNaseH_2:1,Integrase_H2C2:1,Retrotrans_gag:1
OG0000006	0	0	292	0	292			Chromo:4
OG0000007	0	0	280	0	280			
OG0000008	0	0	240	0	240			
OG0000009	0	0	222	2	224		MER0030081:4	RVP_2:2,Peptidase_A2B:2,dUTPase:18,Asp_protease_2:57,gag-asp_proteas:69,Asp_protease:72
OG0000010	0	0	221	0	221			RVP_2:1
OG0000011	0	0	211	0	211			
OG0000012	0	0	201	0	201			RVP_2:3,Peptidase_A2B:7,Asp_protease_2:12,gag-asp_proteas:12,zf-CCHC:13,Asp_protease:24
OG0000013	0	0	199	0	199			
OG0000014	0	0	195	0	195			
OG0000015	0	1	175	0	176			RT_RNaseH_2:1,RT_RNaseH:3,Integrase_H2C2:22
OG0000016	0	2	171	1	174			zf-CCHC:1
OG0000017	0	0	166	1	167			Peptidase_A2B:1,Retrotrans_gag:1,RT_RNaseH_2:1,RVT_1:1,Asp_protease_2:4
OG0000018	0	0	150	0	150			Retrotrans_gag:1
OG0000019	0	0	148	0	148			
OG0000020	0	0	143	0	143			
OG0000021	0	0	139	0	139			Chromo:26
OG0000022	0	0	123	0	123			Chromo:1,Asp_protease_2:1,gag-asp_proteas:1,RVP_2:1,zf-H2C2:1,Integrase_H2C2:3
OG0000023	0	122	0	0	122			
OG0000024	0	0	122	0	122			zf-CCHC:2,RVP_2:3,Peptidase_A2B:3,dUTPase:24,gag-asp_proteas:31,Asp_protease_2:34,Asp_protease:44
OG0000025	0	0	120	0	120			zf-CCHC:21
OG0000026	0	117	1	0	118			Myb_DNA-bind_6:239,Myb_DNA-binding:263
OG0000027	0	0	118	0	118			
OG0000028	0	0	114	0	114			Integrase_H2C2:5
OG0000029	0	0	112	0	112			RT_RNaseH:1,RT_RNaseH_2:1
OG0000030	0	111	0	0	111			
OG0000031	0	0	111	0	111			Asp_protease:1,Peptidase_A2B:1,zf-CCHC:60
OG0000032	0	0	104	1	105			dUTPase:3,gag-asp_proteas:26,Asp_protease_2:27,Asp_protease:28
OG0000033	0	0	104	0	104			
OG0000034	0	25	38	38	101			7TM_GPCR_Srt:1,7tm_1:53
OG0000035	0	0	101	0	101			
OG0000036	0	0	99	0	99			
OG0000037	0	0	99	0	99			Chromo:8
OG0000038	0	0	99	0	99			
OG0000039	0	0	94	0	94			
OG0000040	0	93	0	0	93			
OG0000041	0	0	93	0	93			
OG0000042	0	1	89	0	90		MER0030081:1	gag-asp_proteas:11,Asp_protease_2:12,Peptidase_A2B:12,Asp_protease:13
OG0000043	0	0	90	0	90			DDE_3:1
OG0000044	0	89	0	0	89			
OG0000045	0	0	88	0	88			
OG0000046	0	0	86	0	86			
OG0000047	0	0	85	0	85			Ty3_capsid:5,Retrotrans_gag:6,gag-asp_proteas:13,Asp_protease_2:16
OG0000048	0	0	85	0	85			
OG0000049	0	0	84	0	84			
OG0000050	0	1	81	0	82			
OG0000051	0	0	81	0	81			
OG0000052	0	79	0	0	79			
OG0000053	78	0	0	0	78			F-box:2
OG0000054	0	0	77	0	77			
OG0000055	0	0	77	0	77			Integrase_H2C2:1
OG0000056	0	0	76	0	76			
OG0000057	0	0	75	0	75			Retrotrans_gag:1
OG0000058	0	0	73	0	73			
OG0000059	0	0	73	0	73			Chromo:1
OG0000060	0	1	69	0	70			
OG0000061	0	0	68	0	68			zf-CCHC:2
OG0000062	0	1	65	1	67			Asp_protease_2:1,gag-asp_proteas:1,FLYWCH:6
OG0000063	0	1	65	0	66			
OG0000064	0	0	65	0	65			Integrase_H2C2:1
OG0000065	0	0	65	0	65			
OG0000066	0	0	63	1	64			Ty3_capsid:5,Retrotrans_gag:6
OG0000067	0	62	0	0	62			
OG0000068	0	2	60	0	62			Ty3_capsid:6,Retrotrans_gag:15
OG0000069	0	12	36	13	61			Glyco_tran_28_C:49,UDPGT:54
OG0000070	0	0	61	0	61			zf-CCHC:7
OG0000071	0	0	0	61	61			
OG0000072	0	0	60	0	60			
OG0000073	0	59	0	0	59			
OG0000074	0	0	57	0	57			
OG0000075	0	0	57	0	57			
OG0000076	0	0	56	1	57			
OG0000077	0	0	57	0	57			RVT_1:2
OG0000078	0	0	55	0	55			
OG0000079	0	0	54	0	54			
OG0000080	0	0	54	0	54			
OG0000081	1	0	0	52	53			
OG0000082	0	0	53	0	53			
OG0000083	0	0	53	0	53			
OG0000084	0	0	0	53	53			
OG0000085	0	52	0	0	52			PPR_1:7,PPR_long:27,PPR_2:66,PPR_3:113,PPR:195
OG0000086	0	0	52	0	52			
OG0000087	0	0	0	52	52			
OG0000088	0	0	51	0	51			
OG0000089	0	0	50	0	50			Fungal_trans:2,Zn_clus:40
OG0000090	0	46	3	0	49			
OG0000091	0	0	0	49	49			CBM_19:1
OG0000092	0	48	0	0	48			
OG0000093	0	0	48	0	48			
OG0000094	0	0	48	0	48			
OG0000095	0	0	48	0	48			Ty3_capsid:1,Retrotrans_gag:4
OG0000096	0	0	0	48	48			
OG0000097	0	0	47	0	47			Integrase_H2C2:1
OG0000098	6	7	24	9	46	AA3:17,AA3+AA3:21		GIDA:1,HI0933_like:1,NAD_binding_8:1,FAD_binding_2:5,GMC_oxred_C:45,GMC_oxred_N:63
OG0000099	0	0	46	0	46			
OG0000100	0	0	46	0	46			
