#	promoter	start	end	length
1	MCIC6FC_018459+MCIC6FC_018460	1151	1560	410
2	MCIC6FC_018461	2878	3016	139
3	MCIC6FC_018462+MCIC6FC_018463	4920	5267	348
4	MCIC6FC_018464	7173	7352	180
5	MCIC6FC_018465+MCIC6FC_018466	9805	10158	354
6	MCIC6FC_018467+MCIC6FC_018468	12669	12913	245
7	MCIC6FC_018469	13254	13398	145
8	MCIC6FC_018470+MCIC6FC_018471	17103	17473	371
9	MCIC6FC_018472+MCIC6FC_018473	20861	21466	606
10	MCIC6FC_018474	31151	31351	201
11	MCIC6FC_018475	34243	34363	121
12	MCIC6FC_018476	35135	35213	79
13	MCIC6FC_018477	36842	37051	210
14	MCIC6FC_018478+MCIC6FC_018479	39116	39325	210
15	MCIC6FC_018480+MCIC6FC_018481	41226	41737	512
16	MCIC6FC_018482+MCIC6FC_018483	46098	46311	214
17	MCIC6FC_018484	49563	49634	72
18	MCIC6FC_018485+MCIC6FC_018486	50944	51183	240
19	MCIC6FC_018487	52031	52217	187
20	MCIC6FC_018488+MCIC6FC_018489	55401	55602	202
21	MCIC6FC_018490+MCIC6FC_018491	57283	57506	224
22	MCIC6FC_018492	62624	62865	242
23	MCIC6FC_018493	87273	87575	303
24	MCIC6FC_018494+MCIC6FC_018495	89152	89389	238
25	MCIC6FC_018496+MCIC6FC_018497	93788	94089	302
26	MCIC6FC_018498	95693	95897	205
27	MCIC6FC_018499	116445	116593	149
28	MCIC6FC_018500	129045	129176	132
29	MCIC6FC_018501	131504	131556	53
30	MCIC6FC_018502	132857	132965	109
31	MCIC6FC_018503+MCIC6FC_018504	134146	134478	333
32	MCIC6FC_018505+MCIC6FC_018506	136756	136960	205
33	MCIC6FC_018507	138267	138495	229
34	MCIC6FC_018508	143178	143237	60
35	MCIC6FC_018509+MCIC6FC_018510	147415	147587	173
36	MCIC6FC_018511+MCIC6FC_018512	152664	153005	342
37	MCIC6FC_018513+MCIC6FC_018514	161412	161700	289
38	MCIC6FC_018515	163170	163539	370
39	MCIC6FC_018516	167546	167643	98
40	MCIC6FC_018517	168403	168804	402
41	MCIC6FC_018518	169550	169616	67
42	MCIC6FC_018519+MCIC6FC_018520	171670	171984	315
43	MCIC6FC_018521	173975	174038	64
44	MCIC6FC_018522+MCIC6FC_018523	177265	177440	176
45	MCIC6FC_018524+MCIC6FC_018525	182250	182457	208
46	MCIC6FC_018526	183194	183323	130
47	MCIC6FC_018527	186183	186285	103
48	MCIC6FC_018528	191539	191654	116
49	MCIC6FC_018529+MCIC6FC_018530	192788	192981	194
50	MCIC6FC_018531+MCIC6FC_018532	196632	196898	267
51	MCIC6FC_018533+MCIC6FC_018534	201318	201591	274
52	MCIC6FC_018535+MCIC6FC_018536	202920	203037	118
53	MCIC6FC_018537	204887	205041	155
54	MCIC6FC_018538+MCIC6FC_018539	205875	206113	239
55	MCIC6FC_018540	211609	211694	86
56	MCIC6FC_018541+MCIC6FC_018542	215637	215858	222
57	MCIC6FC_018543	222768	223190	423
58	MCIC6FC_018544+MCIC6FC_018545	224233	224423	191
59	MCIC6FC_018546+MCIC6FC_018547	226886	227545	660
60	MCIC6FC_018548	228342	228537	196
61	MCIC6FC_018549	233101	233292	192
62	MCIC6FC_018550	235787	236420	634
63	MCIC6FC_018551+MCIC6FC_018552	238319	238618	300
64	MCIC6FC_018553	239885	240147	263
65	MCIC6FC_018554	241102	241177	76
66	MCIC6FC_018555	242652	242737	86
67	MCIC6FC_018556+MCIC6FC_018557	246680	246889	210
68	MCIC6FC_018558+MCIC6FC_018559	250765	251126	362
69	MCIC6FC_018560	252778	252978	201
70	MCIC6FC_018561	259362	259593	232
71	MCIC6FC_018562	259814	260008	195
72	MCIC6FC_018563+MCIC6FC_018564	262439	263225	787
73	MCIC6FC_018565	265538	265899	362
74	MCIC6FC_018566	272679	272816	138
75	MCIC6FC_018567	276444	276603	160
76	MCIC6FC_018568+MCIC6FC_018569	284225	284644	420
77	MCIC6FC_018570	285099	285185	87
78	MCIC6FC_018571	291128	291214	87
79	MCIC6FC_018572	293349	293505	157
80	MCIC6FC_018573	294305	294379	75
81	MCIC6FC_018574+MCIC6FC_018575	307316	308284	969
82	MCIC6FC_018576+MCIC6FC_018577	311351	311595	245
83	MCIC6FC_018578	316579	316692	114
84	MCIC6FC_018579	317204	317285	82
85	MCIC6FC_018580	318995	319111	117
86	MCIC6FC_018581	319647	319901	255
87	MCIC6FC_018582+MCIC6FC_018583	321759	322265	507
88	MCIC6FC_018584	323500	323560	61
89	MCIC6FC_018585	332437	332490	54
90	MCIC6FC_018586+MCIC6FC_018587	333659	333834	176
91	MCIC6FC_018588	337003	337199	197
92	MCIC6FC_018589	337997	338447	451
93	MCIC6FC_018590	341646	341848	203
94	MCIC6FC_018591	343926	344820	895
95	MCIC6FC_018592	346289	346439	151
96	MCIC6FC_018593+MCIC6FC_018594	352086	352401	316
97	MCIC6FC_018595+MCIC6FC_018596	354935	355230	296
98	MCIC6FC_018597+MCIC6FC_018598	359185	359346	162
99	MCIC6FC_018599+MCIC6FC_018600	363444	363674	231
100	MCIC6FC_018601	365323	365395	73
101	MCIC6FC_018602	366969	367254	286
102	MCIC6FC_018603	370579	370881	303
103	MCIC6FC_018604+MCIC6FC_018605	372491	372780	290
104	MCIC6FC_018606	374124	374184	61
105	MCIC6FC_018607+MCIC6FC_018608	375860	376049	190
106	MCIC6FC_018609	379190	379358	169
107	MCIC6FC_018610+MCIC6FC_018611	380853	381277	425
108	MCIC6FC_018612+MCIC6FC_018613	386191	386352	162
109	MCIC6FC_018614+MCIC6FC_018615	388391	388719	329
110	MCIC6FC_018616+MCIC6FC_018617	390413	390612	200
111	MCIC6FC_018618+MCIC6FC_018619	392061	392317	257
112	MCIC6FC_018620+MCIC6FC_018621	394331	394564	234
113	MCIC6FC_018622	397760	397908	149
114	MCIC6FC_018623+MCIC6FC_018624	399309	399515	207
115	MCIC6FC_018625+MCIC6FC_018626	404203	404462	260
116	MCIC6FC_018627	406470	406803	334
117	MCIC6FC_018628	407416	407562	147
118	MCIC6FC_018629	408583	408821	239
119	MCIC6FC_018630+MCIC6FC_018631	419544	419731	188
120	MCIC6FC_018632	427311	427386	76
121	MCIC6FC_018633	428574	428719	146
122	MCIC6FC_018634+MCIC6FC_018635	435832	436186	355
123	MCIC6FC_018636	438758	439039	282
124	MCIC6FC_018637+MCIC6FC_018638	440792	440982	191
125	MCIC6FC_018639	441792	442842	1051
126	MCIC6FC_018640	444134	444263	130
127	MCIC6FC_018641	456987	457096	110
128	MCIC6FC_018642	459474	459830	357
129	MCIC6FC_018643	462641	462703	63
