Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
EmuscRNA|TRINITY_DN100066_c1_g1_i1.p1	CBQ70430.1|GT3|	66.4	693	218	5	47	724	7	699	0.0	941
EmuscRNA|TRINITY_DN100213_c1_g1_i1.p1	AET38277.1|GT15|	58.5	318	128	2	53	368	86	401	9.97e-141	410
EmuscRNA|TRINITY_DN100412_c3_g3_i1.p1	AVI60826.1|GT22|	62.0	424	143	7	9	420	583	1000	1.56e-161	507
EmuscRNA|TRINITY_DN100412_c3_g3_i2.p1	AVI60826.1|GT22|	62.0	424	143	7	9	420	583	1000	1.56e-161	507
EmuscRNA|TRINITY_DN100412_c3_g3_i3.p1	AVI60826.1|GT22|	62.0	424	143	7	9	420	583	1000	1.56e-161	507
EmuscRNA|TRINITY_DN100443_c1_g1_i1.p1	CDS11918.1|CBM43|GH72|	46.1	462	225	8	12	451	5	464	1.31e-148	437
EmuscRNA|TRINITY_DN100509_c1_g2_i1.p1	QKX64719.1|GT31|	38.2	531	281	13	16	517	12	524	2.79e-103	335
EmuscRNA|TRINITY_DN100513_c1_g1_i20.p1	CDS12794.1|GT39|	43.1	480	254	5	1	471	281	750	2.36e-124	384
EmuscRNA|TRINITY_DN100513_c1_g1_i8.p1	CDS12794.1|GT39|	49.2	488	230	5	68	545	55	534	5.22e-146	442
EmuscRNA|TRINITY_DN100645_c1_g1_i1.p1	QKD53806.1|AA3|	37.2	658	306	14	39	629	32	649	5.53e-127	394
EmuscRNA|TRINITY_DN100775_c1_g1_i1.p1	CAN65674.1|GH28|	37.5	560	314	10	121	671	97	629	8.17e-109	363
EmuscRNA|TRINITY_DN100812_c0_g1_i1.p1	BAA34296.1|GT4|	52.1	430	194	8	1	421	6	432	8.96e-147	430
EmuscRNA|TRINITY_DN100812_c0_g1_i2.p1	BAA34296.1|GT4|	52.1	430	194	8	1	421	6	432	8.96e-147	430
EmuscRNA|TRINITY_DN101304_c2_g1_i1.p1	QDS71101.1|GT1|	35.8	651	389	13	43	672	1384	2026	8.94e-104	357
EmuscRNA|TRINITY_DN101507_c0_g1_i1.p1	VWO94258.1|CBM1|GH5_5|	47.0	576	219	14	1	501	482	1046	4.22e-141	436
EmuscRNA|TRINITY_DN101507_c0_g1_i2.p1	VWO94258.1|CBM1|GH5_5|	47.7	667	256	16	34	622	395	1046	5.74e-173	524
EmuscRNA|TRINITY_DN101993_c3_g1_i1.p1	CDS07286.1|GT50|	48.0	469	213	9	9	450	7	471	4.33e-131	392
EmuscRNA|TRINITY_DN102093_c2_g1_i1.p1	QKX53450.1|GH81|	53.5	383	146	3	35	388	967	1346	9.73e-114	365
EmuscRNA|TRINITY_DN102360_c0_g1_i1.p1	AWP12516.1|GT29|	39.7	620	346	10	33	639	472	1076	5.22e-138	447
EmuscRNA|TRINITY_DN102462_c1_g1_i1.p1	CDS12483.1|GH16_4|	48.0	342	158	8	37	375	43	367	3.89e-117	349
EmuscRNA|TRINITY_DN102462_c1_g1_i2.p1	CDS12483.1|GH16_4|	48.5	342	156	9	37	375	43	367	1.19e-118	353
EmuscRNA|TRINITY_DN102632_c0_g1_i1.p1	EGX47988.1|GH16_2|	50.6	350	156	8	73	410	278	622	2.05e-112	349
EmuscRNA|TRINITY_DN102790_c1_g1_i1.p1	CDS06898.1|GH18|	45.4	392	195	11	16	391	25	413	8.02e-104	327
EmuscRNA|TRINITY_DN102918_c0_g1_i1.p1	CDS06611.1|GT20|	54.4	487	214	5	16	499	393	874	2.65e-176	522
EmuscRNA|TRINITY_DN102934_c5_g1_i1.p1	AGB49579.1|GH13_5|	48.7	483	240	5	4	486	3	477	9.27e-174	501
EmuscRNA|TRINITY_DN103042_c0_g2_i1.p1	CDS07813.1|GH37|	45.2	420	201	8	13	429	28	421	2.44e-112	347
EmuscRNA|TRINITY_DN103042_c0_g2_i2.p1	CDS07813.1|GH37|	43.5	485	242	10	13	494	28	483	1.65e-124	380
EmuscRNA|TRINITY_DN103224_c0_g1_i2.p1	CDS03326.1|GH47|	50.6	429	200	8	98	514	134	562	1.87e-135	411
EmuscRNA|TRINITY_DN103797_c0_g1_i1.p1	CAP64662.1|GH5_12|	37.2	707	375	16	12	664	15	706	8.05e-145	446
EmuscRNA|TRINITY_DN104310_c5_g1_i2.p1	CDS04796.1|CE9|	53.8	431	171	5	18	420	2	432	2.60e-161	465
EmuscRNA|TRINITY_DN104310_c5_g1_i3.p1	CDS04796.1|CE9|	53.8	431	171	5	18	420	2	432	2.60e-161	465
EmuscRNA|TRINITY_DN104355_c1_g1_i1.p1	QKX55086.1|GH55|	48.2	598	271	7	222	782	787	1382	3.02e-183	567
EmuscRNA|TRINITY_DN104499_c1_g2_i1.p1	VBB76690.1|AA3|	39.1	627	300	13	19	575	27	641	1.03e-134	411
EmuscRNA|TRINITY_DN104679_c2_g1_i1.p1	CDS13578.1|GH5_12|	45.9	697	335	13	217	882	9	694	1.39e-201	599
EmuscRNA|TRINITY_DN104855_c0_g1_i1.p1	QLI66121.1|AA3|	37.5	630	324	15	1	568	26	647	2.67e-117	366
EmuscRNA|TRINITY_DN104952_c1_g2_i1.p1	AWP12516.1|GT29|	40.3	630	344	15	69	689	472	1078	3.52e-132	432
EmuscRNA|TRINITY_DN104958_c1_g1_i1.p1	CDS05640.1|GH20|	49.2	675	309	10	18	679	5	658	1.38e-219	640
EmuscRNA|TRINITY_DN105356_c0_g1_i1.p1	CDS11918.1|CBM43|GH72|	45.6	456	231	8	17	457	2	455	2.22e-134	404
EmuscRNA|TRINITY_DN105402_c3_g1_i1.p1	AGP40408.1|GH81|	38.7	661	379	11	53	698	52	701	5.34e-145	444
EmuscRNA|TRINITY_DN105501_c0_g1_i1.p1	ADK37848.1|AA11|	77.4	186	41	1	7	192	7	191	2.87e-108	316
EmuscRNA|TRINITY_DN105501_c0_g1_i3.p1	ADK37848.1|AA11|	78.5	186	39	1	7	192	7	191	1.23e-109	320
EmuscRNA|TRINITY_DN105514_c2_g1_i1.p1	CDS13455.1|GH63|	42.8	846	400	18	20	842	20	804	2.34e-226	661
EmuscRNA|TRINITY_DN105581_c2_g1_i1.p1	CDS11103.1|GT66|	62.8	724	250	4	7	712	7	729	0.0	921
EmuscRNA|TRINITY_DN105737_c3_g1_i1.p1	QKX60855.1|GT22|	69.0	306	92	1	33	338	567	869	8.37e-139	419
EmuscRNA|TRINITY_DN105821_c8_g1_i1.p1	ADK37846.1|GH18|	74.8	294	72	1	29	322	1	292	7.68e-162	462
EmuscRNA|TRINITY_DN105821_c8_g1_i2.p1	ADK37846.1|GH18|	75.5	294	70	1	29	322	1	292	1.29e-163	469
EmuscRNA|TRINITY_DN106157_c3_g1_i8.p1	CDS12794.1|GT39|	41.0	559	313	7	1	545	194	749	7.34e-133	409
EmuscRNA|TRINITY_DN106157_c3_g1_i9.p1	CDS12794.1|GT39|	40.2	569	313	8	1	555	194	749	6.91e-130	401
EmuscRNA|TRINITY_DN106173_c0_g1_i1.p1	CDS05274.1|GT2|	49.0	680	301	14	16	662	82	748	5.32e-203	607
EmuscRNA|TRINITY_DN106216_c0_g2_i2.p1	CDS02746.1|GT4|	60.1	281	110	1	4	284	146	424	2.20e-111	333
EmuscRNA|TRINITY_DN106216_c0_g2_i3.p1	CDS02746.1|GT4|	60.1	281	110	1	4	284	146	424	2.20e-111	333
EmuscRNA|TRINITY_DN106216_c0_g2_i4.p1	CDS02746.1|GT4|	60.1	281	110	1	4	284	146	424	7.45e-112	335
EmuscRNA|TRINITY_DN106233_c1_g2_i2.p1	BAL46041.1|GH5_12|3.2.1.45	35.1	713	356	21	1	617	1	702	1.09e-122	387
EmuscRNA|TRINITY_DN106233_c1_g2_i3.p1	BAL46041.1|GH5_12|3.2.1.45	35.1	713	356	21	1	617	1	702	1.09e-122	387
EmuscRNA|TRINITY_DN106233_c1_g2_i4.p1	BAL46041.1|GH5_12|3.2.1.45	34.9	713	357	21	1	617	1	702	8.42e-122	384
EmuscRNA|TRINITY_DN106358_c1_g1_i1.p1	CDS05700.1|GT33|	45.5	446	220	12	18	452	53	486	7.38e-111	340
EmuscRNA|TRINITY_DN106405_c3_g1_i1.p1	VUW72999.1|AA1|	43.4	454	238	7	349	790	175	621	1.21e-103	351
EmuscRNA|TRINITY_DN106452_c1_g2_i1.p1	ABE82127.1|GH20|	43.6	417	208	6	22	413	154	568	5.93e-120	365
EmuscRNA|TRINITY_DN106546_c2_g1_i1.p1	EGX49587.1|GT2|	41.4	727	304	12	115	735	194	904	1.37e-168	521
EmuscRNA|TRINITY_DN106570_c2_g1_i1.p1	QBQ55251.1|CBM50|	30.6	918	543	18	51	948	31	874	3.32e-103	353
EmuscRNA|TRINITY_DN106570_c2_g1_i2.p1	QBQ55251.1|CBM50|	30.6	918	543	18	42	939	31	874	2.79e-103	353
EmuscRNA|TRINITY_DN106588_c3_g1_i1.p1	EAA65303.1|GT0|	47.6	871	423	7	40	899	731	1579	1.60e-267	795
EmuscRNA|TRINITY_DN106637_c2_g1_i1.p1	CCE88726.1|CBM43|GH72|	46.2	476	241	10	40	512	24	487	1.91e-135	408
EmuscRNA|TRINITY_DN106671_c0_g1_i1.p1	QKX53119.1|GH72|	46.1	518	256	7	24	520	7	522	4.83e-138	442
EmuscRNA|TRINITY_DN106671_c0_g1_i3.p1	QKX53119.1|GH72|	55.2	368	151	3	24	377	7	374	1.47e-129	406
EmuscRNA|TRINITY_DN106687_c2_g1_i1.p1	AIE96983.1|GT7|	31.9	1274	698	27	117	1308	7	1192	1.85e-187	608
EmuscRNA|TRINITY_DN106918_c1_g1_i1.p1	QKD62991.1|GH12|	36.9	586	359	4	245	830	1087	1661	1.20e-113	385
EmuscRNA|TRINITY_DN106934_c0_g1_i1.p1	AQS91769.1|GT2|	92.8	307	22	0	1	307	67	373	4.02e-208	595
EmuscRNA|TRINITY_DN106934_c0_g1_i3.p1	AQS91769.1|GT2|	92.8	307	22	0	1	307	67	373	4.02e-208	595
EmuscRNA|TRINITY_DN106934_c0_g2_i1.p1	AQS91769.1|GT2|	94.1	490	29	0	1	490	366	855	0.0	951
EmuscRNA|TRINITY_DN106934_c0_g2_i2.p1	AQS91769.1|GT2|	95.2	313	15	0	1	313	366	678	3.69e-216	616
EmuscRNA|TRINITY_DN106934_c0_g2_i4.p1	AQS91769.1|GT2|	92.6	513	38	0	1	513	366	878	0.0	969
EmuscRNA|TRINITY_DN107071_c1_g6_i1.p1	ADK37845.1|GH18|	72.1	301	82	2	97	395	1	301	2.98e-158	451
EmuscRNA|TRINITY_DN107071_c1_g6_i2.p1	ADK37845.1|GH18|	73.8	301	77	2	97	395	1	301	2.47e-164	467
EmuscRNA|TRINITY_DN107071_c1_g6_i3.p1	ADK37845.1|GH18|	70.9	247	71	1	97	342	1	247	3.44e-127	370
EmuscRNA|TRINITY_DN107071_c1_g6_i4.p1	ADK37845.1|GH18|	73.4	301	78	2	97	395	1	301	1.42e-163	465
EmuscRNA|TRINITY_DN107071_c1_g6_i5.p1	ADK37845.1|GH18|	72.1	301	82	2	97	395	1	301	1.04e-158	452
EmuscRNA|TRINITY_DN107071_c1_g6_i6.p1	ADK37845.1|GH18|	73.4	301	78	2	32	330	1	301	1.19e-164	465
EmuscRNA|TRINITY_DN107135_c1_g1_i2.p1	EAA31326.1|GH71|	46.9	399	201	3	25	420	832	1222	8.85e-109	352
EmuscRNA|TRINITY_DN107135_c1_g1_i3.p1	EAA31326.1|GH71|	46.2	511	256	6	1	500	720	1222	2.06e-138	434
EmuscRNA|TRINITY_DN107135_c1_g1_i4.p1	EAA31326.1|GH71|	46.9	399	201	3	25	420	832	1222	8.85e-109	352
EmuscRNA|TRINITY_DN107135_c1_g1_i9.p1	EAA31326.1|GH71|	46.3	588	297	6	130	706	643	1222	7.16e-164	508
EmuscRNA|TRINITY_DN107286_c2_g1_i1.p1	CDS12794.1|GT39|	51.1	380	165	3	1	380	179	537	7.94e-120	369
EmuscRNA|TRINITY_DN107286_c2_g1_i2.p1	CDS12794.1|GT39|	50.7	483	216	4	1	483	179	639	2.94e-159	474
EmuscRNA|TRINITY_DN107286_c2_g1_i3.p1	CDS12794.1|GT39|	50.8	706	325	4	70	775	68	751	5.06e-249	715
EmuscRNA|TRINITY_DN107286_c2_g1_i4.p1	QGA19288.1|GT39|	49.1	336	144	4	1	335	315	624	2.65e-104	327
EmuscRNA|TRINITY_DN107286_c2_g1_i6.p1	CDS12794.1|GT39|	51.1	380	165	3	1	380	179	537	2.22e-119	368
EmuscRNA|TRINITY_DN107444_c0_g1_i1.p1	AEO59893.1|GT48|	55.8	312	111	4	19	304	199	509	3.09e-110	356
EmuscRNA|TRINITY_DN107656_c2_g1_i1.p1	CDS08390.1|GH31|	47.9	944	433	10	15	918	21	945	0.0	937
EmuscRNA|TRINITY_DN107657_c2_g1_i1.p1	CDS09314.1|GT39|	49.1	684	341	3	43	721	107	788	4.90e-231	671
EmuscRNA|TRINITY_DN107657_c2_g1_i3.p1	CDS09314.1|GT39|	49.6	577	284	3	43	614	107	681	6.01e-196	577
EmuscRNA|TRINITY_DN107708_c0_g1_i1.p1	AMJ52391.1|GH47|	43.2	486	260	7	97	579	96	568	2.19e-124	382
EmuscRNA|TRINITY_DN107708_c0_g1_i4.p1	AMJ52391.1|GH47|	43.2	486	260	7	95	577	96	568	7.31e-125	383
EmuscRNA|TRINITY_DN107708_c0_g1_i5.p1	AMJ52391.1|GH47|	42.2	424	234	5	95	516	96	510	1.84e-106	334
EmuscRNA|TRINITY_DN107779_c1_g1_i1.p1	EGX46445.1|GT35|	56.5	872	348	6	3	870	26	870	0.0	981
EmuscRNA|TRINITY_DN108010_c3_g1_i1.p1	QKD62991.1|GH12|	35.9	627	392	5	199	824	1044	1661	1.67e-110	376
EmuscRNA|TRINITY_DN108135_c3_g1_i1.p1	QBZ54211.1|GH47|	48.6	840	362	14	7	790	631	1456	5.55e-225	678
EmuscRNA|TRINITY_DN108135_c3_g1_i2.p1	QBZ54211.1|GH47|	53.0	543	234	7	3	535	738	1269	1.52e-163	509
EmuscRNA|TRINITY_DN108152_c1_g1_i1.p1	CDS03326.1|GH47|	52.9	482	211	7	65	538	127	600	4.06e-161	480
EmuscRNA|TRINITY_DN108240_c2_g1_i1.p1	CED83340.1|GT31|	36.1	972	494	22	259	1118	962	1918	1.40e-175	570
EmuscRNA|TRINITY_DN108376_c0_g1_i1.p1	CDS09089.1|GT41|	50.7	1229	464	20	300	1417	290	1487	0.0	1049
EmuscRNA|TRINITY_DN108425_c1_g1_i1.p1	QBQ55251.1|CBM50|	37.3	890	510	14	10	865	19	894	6.21e-157	493
EmuscRNA|TRINITY_DN108654_c0_g4_i2.p1	AQS92209.1|GT4|	93.1	160	11	0	1	160	247	406	6.05e-104	308
EmuscRNA|TRINITY_DN108666_c0_g1_i1.p1	AWP04987.1|GT13|	40.8	951	481	23	3	922	139	1038	3.23e-210	645
EmuscRNA|TRINITY_DN108666_c0_g1_i2.p1	AWP04987.1|GT13|	40.4	1010	508	26	24	995	85	1038	3.68e-221	677
EmuscRNA|TRINITY_DN108850_c2_g2_i1.p1	CDS05465.1|GH47|	52.1	516	231	2	12	511	1	516	2.01e-184	537
EmuscRNA|TRINITY_DN108850_c2_g2_i3.p1	CDS05465.1|GH47|	52.1	516	231	2	12	511	1	516	4.04e-184	536
EmuscRNA|TRINITY_DN108850_c2_g2_i4.p1	CDS05465.1|GH47|	52.1	516	231	2	36	535	1	516	6.52e-184	537
EmuscRNA|TRINITY_DN108850_c2_g2_i7.p1	CDS05465.1|GH47|	57.7	430	182	0	36	465	1	430	1.17e-178	517
EmuscRNA|TRINITY_DN108850_c2_g2_i8.p1	CDS05465.1|GH47|	52.1	516	231	2	12	511	1	516	4.04e-184	536
EmuscRNA|TRINITY_DN109020_c21_g1_i1.p1	VUW72999.1|AA1|	51.6	645	258	9	161	764	20	651	4.21e-197	597
EmuscRNA|TRINITY_DN109271_c0_g1_i1.p1	QBQ55243.1|CBM50|	34.7	787	440	19	43	811	27	757	1.80e-112	376
EmuscRNA|TRINITY_DN109271_c0_g1_i2.p1	QBQ55243.1|CBM50|	34.7	787	440	19	43	811	27	757	1.61e-112	376
EmuscRNA|TRINITY_DN109473_c2_g1_i1.p1	AWP04987.1|GT13|	48.7	894	443	10	73	957	80	966	4.85e-300	879
EmuscRNA|TRINITY_DN109507_c3_g1_i1.p1	CDS12806.1|GH31|	45.9	691	346	7	27	689	34	724	2.08e-221	645
EmuscRNA|TRINITY_DN109507_c3_g1_i2.p1	CDS12806.1|GH31|	45.9	691	346	7	27	689	34	724	7.36e-222	647
EmuscRNA|TRINITY_DN109709_c0_g3_i1.p1	AED99905.1|GT48|	68.3	246	76	1	6	251	186	429	1.28e-114	344
