# BUSCO version is: 5.3.0 
# The lineage dataset is: fungi_odb10 (Creation date: 2020-09-10, number of genomes: 549, number of BUSCOs: 758)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
494at4751	Fragmented	Scas|Scas_11714	615.8	1335	https://www.orthodb.org/v10?query=494at4751	Midasin
771at4751	Fragmented	Scas|Scas_20617	372.4	665	https://www.orthodb.org/v10?query=771at4751	PIK-related kinase
1866at4751	Complete	Scas|Scas_12747	2995.0	1783	https://www.orthodb.org/v10?query=1866at4751	Glutamate synthase
3534at4751	Complete	Scas|Scas_8163	1631.0	1343	https://www.orthodb.org/v10?query=3534at4751	SNF2-related, N-terminal domain
4409at4751	Missing
4466at4751	Complete	Scas|Scas_19115	1773.1	1716	https://www.orthodb.org/v10?query=4466at4751	Ribosomal protein L19
4523at4751	Complete	Scas|Scas_20316	3120.5	1893	https://www.orthodb.org/v10?query=4523at4751	Pre-mRNA-processing-splicing factor 8
5995at4751	Missing
6186at4751	Complete	Scas|Scas_2152	265.1	815	https://www.orthodb.org/v10?query=6186at4751	Armadillo-type fold
6272at4751	Fragmented	Scas|Scas_10406	655.4	545	https://www.orthodb.org/v10?query=6272at4751	WD40-repeat-containing domain
6377at4751	Fragmented	Scas|Scas_20808	341.6	340	https://www.orthodb.org/v10?query=6377at4751	L-aminoadipate-semialdehyde dehydrogenase
6592at4751	Missing
6812at4751	Complete	Scas|Scas_10055	1785.1	1371	https://www.orthodb.org/v10?query=6812at4751	DNA polymerase epsilon catalytic subunit
7423at4751	Complete	Scas|Scas_16393	586.0	879	https://www.orthodb.org/v10?query=7423at4751	CCR4-NOT transcription complex subunit 1, CAF1-binding domain
7545at4751	Fragmented	Scas|Scas_19879	441.2	461	https://www.orthodb.org/v10?query=7545at4751	Anaphase-promoting complex subunit 1
8406at4751	Fragmented	Scas|Scas_26221	264.1	227	https://www.orthodb.org/v10?query=8406at4751	Transcription initiation factor TFIID subunit 2
8818at4751	Duplicated	Scas|Scas_17927	2043.1	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
8818at4751	Duplicated	Scas|Scas_7918	2042.8	1402	https://www.orthodb.org/v10?query=8818at4751	Clathrin heavy chain
10168at4751	Fragmented	Scas|Scas_25237	412.2	258	https://www.orthodb.org/v10?query=10168at4751	Nitrite/Sulfite reductase ferredoxin-like domain
