# BUSCO version is: 5.4.4 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Conco1|Conco1_76831	1897.5	1525
83779at2759	Complete	Conco1|Conco1_16474	237.4	244
87842at2759	Complete	Conco1|Conco1_61678	479.5	642
97116at2759	Complete	Conco1|Conco1_15074	1043.5	936
100698at2759	Duplicated	Conco1|Conco1_82799	794.1	497
100698at2759	Duplicated	Conco1|Conco1_75688	782.2	495
142542at2759	Complete	Conco1|Conco1_78694	462.3	592
156083at2759	Complete	Conco1|Conco1_20705	3452.7	1865
160593at2759	Missing
166920at2759	Complete	Conco1|Conco1_16741	585.4	744
176625at2759	Complete	Conco1|Conco1_79331	210.3	384
179362at2759	Complete	Conco1|Conco1_37845	562.4	566
245208at2759	Complete	Conco1|Conco1_3183	1464.4	879
257318at2759	Complete	Conco1|Conco1_17262	258.1	311
261328at2759	Complete	Conco1|Conco1_77372	333.7	383
261419at2759	Complete	Conco1|Conco1_87239	214.6	319
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	Conco1|Conco1_80183	721.8	544
293315at2759	Complete	Conco1|Conco1_121837	600.1	622
296129at2759	Complete	Conco1|Conco1_44894	1069.6	711
299766at2759	Missing
306227at2759	Complete	Conco1|Conco1_34660	493.3	469
320059at2759	Complete	Conco1|Conco1_37670	880.5	452
324863at2759	Complete	Conco1|Conco1_15065	436.4	541
325552at2759	Complete	Conco1|Conco1_78390	394.9	476
330169at2759	Missing
331411at2759	Complete	Conco1|Conco1_78532	319.7	390
341721at2759	Complete	Conco1|Conco1_10262	196.5	380
345441at2759	Complete	Conco1|Conco1_88450	456.2	379
355408at2759	Complete	Conco1|Conco1_9785	697.7	544
369837at2759	Complete	Conco1|Conco1_78043	274.2	421
375960at2759	Complete	Conco1|Conco1_79433	152.7	301
383503at2759	Complete	Conco1|Conco1_77466	301.0	393
388820at2759	Complete	Conco1|Conco1_38272	542.5	621
390348at2759	Complete	Conco1|Conco1_54637	1184.2	762
392369at2759	Complete	Conco1|Conco1_37396	409.4	340
396755at2759	Missing
418107at2759	Complete	Conco1|Conco1_78842	440.5	346
426305at2759	Complete	Conco1|Conco1_53061	491.4	524
450058at2759	Complete	Conco1|Conco1_79328	143.2	239
453044at2759	Missing
457861at2759	Fragmented	Conco1|Conco1_77569	49.9	97
464990at2759	Complete	Conco1|Conco1_55125	327.0	293
491869at2759	Complete	Conco1|Conco1_86893	186.4	227
513979at2759	Complete	Conco1|Conco1_80676	84.1	198
543764at2759	Complete	Conco1|Conco1_80134	198.3	247
549762at2759	Complete	Conco1|Conco1_83788	458.4	398
551907at2759	Complete	Conco1|Conco1_36769	284.9	356
570797at2759	Complete	Conco1|Conco1_72065	83.2	389
582756at2759	Complete	Conco1|Conco1_60480	211.3	320
598949at2759	Complete	Conco1|Conco1_80314	357.8	450
604979at2759	Complete	Conco1|Conco1_50367	415.2	252
621827at2759	Complete	Conco1|Conco1_58797	270.7	331
625387at2759	Complete	Conco1|Conco1_19810	199.6	307
655400at2759	Complete	Conco1|Conco1_57542	222.6	224
664730at2759	Complete	Conco1|Conco1_47801	645.9	351
