Species,Metric,Mean,Difference,Min,Max
E. schizophorae,Length,20,1.1,18,23
E. scatophaga,Length,28.55,0.15,27,31
E. syrphi,Length,29.9,2.4,24,36
E. grandis,Length,30.8,1.2,27,35
E. ferdinandii,Length,24.65,1.95,21,30
E. muscae,Length,29,2.1,24,35
ARSEF 13514,Length,24.8,1.3,19.2,31.8
kvl14-117,Length,27.8,0.45,,
ARSEF 6918,Length,25,0.87,24.3,25.7
ARSEF 6716,Length,29,0.22,25.2,31.5
E. schizophorae,Width,16,1.1,13,19
E. scatophaga,Width,22.8,0.4,20,28
E. syrphi,Width,24,3.3,18,30
E. grandis,Width,24.9,1.3,20,29
E. ferdinandii,Width,20.3,2.4,16,27
E. muscae,Width,22.3,1.9,16,29
ARSEF 13514,Width,19.45,1.05,14.6,26.7
kvl14-117,Width,22.5,0.3,,
ARSEF 6918,Width,20.2,0.66,19.3,21.1
ARSEF 6716,Width,23.1,0.17,21.1,25.2
