Orthogroup	Conidiobolus_thromboides_FSU_785.Conth1.v1.aa	Entomophaga_maimaiga_ARSEF_7190.v1.aa	Entomophthora_muscae_UCB.v3_longest.aa	Zoophthora_radicans_ATCC_208865.aa	Total
OG0000000	0	0	479	0	479
OG0000001	0	0	358	0	358
OG0000002	0	0	357	0	357
OG0000003	0	0	306	0	306
OG0000004	0	1	295	0	296
OG0000005	0	0	294	0	294
OG0000006	0	0	292	0	292
OG0000007	0	0	280	0	280
OG0000008	0	0	240	0	240
OG0000009	0	0	222	2	224
OG0000010	0	0	221	0	221
OG0000011	0	0	211	0	211
OG0000012	0	0	201	0	201
OG0000013	0	0	199	0	199
OG0000014	0	0	195	0	195
OG0000015	0	1	175	0	176
OG0000016	0	2	171	1	174
OG0000017	0	0	166	1	167
OG0000018	0	0	150	0	150
OG0000019	0	0	148	0	148
OG0000020	0	0	143	0	143
OG0000021	0	0	139	0	139
OG0000022	0	0	123	0	123
OG0000023	0	122	0	0	122
OG0000024	0	0	122	0	122
OG0000025	0	0	120	0	120
OG0000026	0	117	1	0	118
OG0000027	0	0	118	0	118
OG0000028	0	0	114	0	114
OG0000029	0	0	112	0	112
OG0000030	0	111	0	0	111
OG0000031	0	0	111	0	111
OG0000032	0	0	104	1	105
OG0000033	0	0	104	0	104
OG0000034	0	25	38	38	101
OG0000035	0	0	101	0	101
OG0000036	0	0	99	0	99
OG0000037	0	0	99	0	99
OG0000038	0	0	99	0	99
OG0000039	0	0	94	0	94
OG0000040	0	93	0	0	93
OG0000041	0	0	93	0	93
OG0000042	0	1	89	0	90
OG0000043	0	0	90	0	90
OG0000044	0	89	0	0	89
OG0000045	0	0	88	0	88
OG0000046	0	0	86	0	86
OG0000047	0	0	85	0	85
OG0000048	0	0	85	0	85
OG0000049	0	0	84	0	84
OG0000050	0	1	81	0	82
OG0000051	0	0	81	0	81
OG0000052	0	79	0	0	79
OG0000053	78	0	0	0	78
OG0000054	0	0	77	0	77
OG0000055	0	0	77	0	77
OG0000056	0	0	76	0	76
OG0000057	0	0	75	0	75
OG0000058	0	0	73	0	73
OG0000059	0	0	73	0	73
OG0000060	0	1	69	0	70
OG0000061	0	0	68	0	68
OG0000062	0	1	65	1	67
OG0000063	0	1	65	0	66
OG0000064	0	0	65	0	65
OG0000065	0	0	65	0	65
OG0000066	0	0	63	1	64
OG0000067	0	62	0	0	62
OG0000068	0	2	60	0	62
OG0000069	0	12	36	13	61
OG0000070	0	0	61	0	61
OG0000071	0	0	0	61	61
OG0000072	0	0	60	0	60
OG0000073	0	59	0	0	59
OG0000074	0	0	57	0	57
OG0000075	0	0	57	0	57
OG0000076	0	0	56	1	57
OG0000077	0	0	57	0	57
OG0000078	0	0	55	0	55
OG0000079	0	0	54	0	54
OG0000080	0	0	54	0	54
OG0000081	1	0	0	52	53
OG0000082	0	0	53	0	53
OG0000083	0	0	53	0	53
OG0000084	0	0	0	53	53
OG0000085	0	52	0	0	52
OG0000086	0	0	52	0	52
OG0000087	0	0	0	52	52
OG0000088	0	0	51	0	51
OG0000089	0	0	50	0	50
OG0000090	0	46	3	0	49
OG0000091	0	0	0	49	49
OG0000092	0	48	0	0	48
OG0000093	0	0	48	0	48
OG0000094	0	0	48	0	48
OG0000095	0	0	48	0	48
OG0000096	0	0	0	48	48
OG0000097	0	0	47	0	47
OG0000098	6	7	24	9	46
OG0000099	0	0	46	0	46
OG0000100	0	0	46	0	46
OG0000101	0	0	0	46	46
OG0000102	0	0	0	46	46
OG0000103	0	0	0	46	46
OG0000104	45	0	0	0	45
OG0000105	45	0	0	0	45
OG0000106	0	44	0	0	44
OG0000107	0	44	0	0	44
OG0000108	0	2	42	0	44
OG0000109	0	0	44	0	44
OG0000110	0	0	44	0	44
OG0000111	0	0	44	0	44
OG0000112	0	0	0	44	44
OG0000113	0	43	0	0	43
OG0000114	0	1	42	0	43
OG0000115	0	2	41	0	43
OG0000116	0	0	43	0	43
OG0000117	0	0	2	41	43
OG0000118	0	40	2	0	42
OG0000119	0	2	38	2	42
OG0000120	0	0	42	0	42
OG0000121	12	3	7	19	41
OG0000122	0	41	0	0	41
OG0000123	0	0	41	0	41
OG0000124	0	0	41	0	41
OG0000125	0	40	0	0	40
OG0000126	0	0	40	0	40
OG0000127	0	0	0	40	40
OG0000128	0	38	0	1	39
OG0000129	0	0	39	0	39
OG0000130	0	0	39	0	39
OG0000131	0	0	0	39	39
OG0000132	0	0	0	39	39
OG0000133	0	0	0	39	39
OG0000134	0	38	0	0	38
OG0000135	0	38	0	0	38
OG0000136	0	38	0	0	38
OG0000137	0	1	37	0	38
OG0000138	0	0	38	0	38
OG0000139	0	0	38	0	38
OG0000140	0	0	0	38	38
OG0000141	0	0	0	38	38
OG0000142	0	0	0	37	37
OG0000143	0	0	0	37	37
OG0000144	9	10	8	9	36
OG0000145	14	8	5	9	36
OG0000146	0	9	8	19	36
OG0000147	0	36	0	0	36
OG0000148	0	1	35	0	36
OG0000149	0	0	36	0	36
OG0000150	0	0	36	0	36
OG0000151	0	0	36	0	36
OG0000152	0	0	36	0	36
OG0000153	0	0	36	0	36
OG0000154	35	0	0	0	35
OG0000155	1	5	26	3	35
OG0000156	0	35	0	0	35
OG0000157	0	35	0	0	35
OG0000158	0	2	32	1	35
OG0000159	0	1	34	0	35
OG0000160	0	0	35	0	35
OG0000161	0	0	35	0	35
OG0000162	0	0	35	0	35
OG0000163	0	0	0	35	35
OG0000164	0	34	0	0	34
OG0000165	0	0	34	0	34
OG0000166	0	0	34	0	34
OG0000167	0	0	34	0	34
OG0000168	0	0	34	0	34
OG0000169	0	0	0	34	34
OG0000170	8	12	8	5	33
OG0000171	0	7	26	0	33
OG0000172	0	0	33	0	33
OG0000173	0	0	33	0	33
OG0000174	0	0	33	0	33
OG0000175	0	0	33	0	33
OG0000176	0	0	0	33	33
OG0000177	0	1	31	0	32
OG0000178	0	8	24	0	32
OG0000179	0	0	32	0	32
OG0000180	0	0	32	0	32
OG0000181	0	0	32	0	32
OG0000182	0	0	0	32	32
OG0000183	31	0	0	0	31
OG0000184	31	0	0	0	31
OG0000185	7	8	7	9	31
OG0000186	0	31	0	0	31
OG0000187	0	10	10	11	31
OG0000188	0	2	29	0	31
OG0000189	0	0	31	0	31
OG0000190	0	0	31	0	31
OG0000191	0	0	30	1	31
OG0000192	0	30	0	0	30
OG0000193	0	5	25	0	30
OG0000194	0	22	0	8	30
OG0000195	0	1	29	0	30
OG0000196	0	0	30	0	30
OG0000197	0	0	30	0	30
OG0000198	0	0	30	0	30
OG0000199	29	0	0	0	29
OG0000200	0	4	18	7	29
OG0000201	0	0	29	0	29
OG0000202	0	0	29	0	29
OG0000203	0	0	29	0	29
OG0000204	0	0	29	0	29
OG0000205	0	0	29	0	29
OG0000206	0	0	0	29	29
OG0000207	0	0	0	29	29
OG0000208	0	0	0	29	29
OG0000209	11	1	2	14	28
OG0000210	0	1	27	0	28
OG0000211	0	6	19	3	28
OG0000212	0	6	22	0	28
OG0000213	0	0	28	0	28
OG0000214	0	0	0	28	28
OG0000215	0	0	0	28	28
OG0000216	0	0	0	28	28
OG0000217	6	5	6	10	27
OG0000218	14	7	0	6	27
OG0000219	10	11	6	0	27
OG0000220	0	27	0	0	27
OG0000221	0	20	6	1	27
OG0000222	0	27	0	0	27
OG0000223	0	8	14	5	27
OG0000224	0	1	26	0	27
OG0000225	0	0	27	0	27
OG0000226	0	0	27	0	27
OG0000227	0	0	27	0	27
OG0000228	0	0	0	27	27
OG0000229	2	6	12	6	26
OG0000230	0	26	0	0	26
OG0000231	0	26	0	0	26
OG0000232	0	0	26	0	26
OG0000233	0	0	26	0	26
OG0000234	0	0	26	0	26
OG0000235	0	0	26	0	26
OG0000236	0	0	26	0	26
OG0000237	0	0	26	0	26
OG0000238	0	0	0	26	26
OG0000239	0	0	0	26	26
OG0000240	0	0	0	26	26
OG0000241	12	6	4	3	25
OG0000242	24	0	0	1	25
OG0000243	3	4	17	1	25
OG0000244	4	7	7	7	25
OG0000245	0	1	24	0	25
OG0000246	0	2	23	0	25
OG0000247	0	0	25	0	25
OG0000248	0	0	25	0	25
OG0000249	0	0	25	0	25
