Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
Emusc_isoH|Emusc_isoH_210	AWP09643.1|CBM13|GT27|	50.5	388	188	2	14	397	574	961	3.12e-131	409
Emusc_isoH|Emusc_isoH_795	QET95489.1|CE4|	52.1	338	137	5	1	338	1	313	2.97e-111	330
Emusc_isoH|Emusc_isoH_798	ADK37849.1|CBM18|CE4|	57.0	291	119	2	1	291	6	290	6.21e-120	352
Emusc_isoH|Emusc_isoH_1395	QCE13289.1|CE8|	54.0	413	163	5	6	395	409	817	4.86e-136	427
Emusc_isoH|Emusc_isoH_1637	ADK37846.1|GH18|	71.1	294	83	1	26	319	1	292	3.65e-155	445
Emusc_isoH|Emusc_isoH_1638	ADK37843.1|CBM18|GH16_19|	72.8	243	65	1	8	250	1	242	1.03e-132	380
Emusc_isoH|Emusc_isoH_1736	QDS71450.1|GH47|	54.1	329	149	2	3	331	1037	1363	1.39e-119	380
Emusc_isoH|Emusc_isoH_1814	QGI86474.1|GH125|	57.3	300	124	2	54	351	196	493	4.12e-117	366
Emusc_isoH|Emusc_isoH_1908	QKX53632.1|AA2|	56.6	334	140	5	6	336	15	346	5.13e-125	367
Emusc_isoH|Emusc_isoH_2098	AIT83212.1|GT4|	68.3	300	93	1	9	308	17	314	2.09e-141	422
Emusc_isoH|Emusc_isoH_2105	ADK37849.1|CBM18|CE4|	57.2	290	105	2	1	271	1	290	1.22e-116	341
Emusc_isoH|Emusc_isoH_2126	QEO24085.1|GH47|	53.2	372	165	4	7	373	837	1204	1.17e-121	384
Emusc_isoH|Emusc_isoH_2408	ADK37844.1|GH16_4|	69.1	324	99	1	63	386	1	323	1.08e-175	496
Emusc_isoH|Emusc_isoH_2496	QDS71450.1|GH47|	53.6	319	139	3	8	325	1044	1354	5.98e-107	346
Emusc_isoH|Emusc_isoH_2858	VBB76690.1|AA3|	41.2	633	295	18	4	567	16	640	8.96e-137	416
Emusc_isoH|Emusc_isoH_3017	CCA15473.1|GH72|	52.2	389	182	3	1	386	565	952	9.34e-130	400
Emusc_isoH|Emusc_isoH_3080	QEO24085.1|GH47|	52.2	366	167	3	27	388	833	1194	1.63e-117	374
Emusc_isoH|Emusc_isoH_3105	ADK37849.1|CBM18|CE4|	69.7	290	88	0	1	290	1	290	2.47e-151	431
Emusc_isoH|Emusc_isoH_3169	AAH68840.1|GT2|	75.8	236	57	0	3	238	30	265	2.92e-128	367
Emusc_isoH|Emusc_isoH_3339	SMR56934.1|GT22|	54.7	536	229	5	9	532	603	1136	2.38e-195	584
Emusc_isoH|Emusc_isoH_3368	VDD19117.1|GT95|	79.2	298	59	3	17	313	81	376	3.12e-157	460
Emusc_isoH|Emusc_isoH_3501	ADK37847.1|GH18|	86.7	285	38	0	119	403	1	285	1.16e-182	513
Emusc_isoH|Emusc_isoH_3648	ADV22545.1|GH5_9|	42.2	398	205	9	14	398	35	420	3.55e-113	342
Emusc_isoH|Emusc_isoH_3754	AWO98658.1|GH37|	69.3	401	122	1	24	423	70	470	5.10e-195	578
Emusc_isoH|Emusc_isoH_3912	QGI79035.1|GH43_30|	71.3	411	117	1	4	413	459	869	4.45e-200	605
Emusc_isoH|Emusc_isoH_3998	EGX49587.1|GT2|	75.9	295	69	2	1	293	862	1156	3.65e-147	453
Emusc_isoH|Emusc_isoH_4028	CBA03971.1|GT30|	68.0	394	123	2	7	399	4	395	4.32e-183	541
Emusc_isoH|Emusc_isoH_4042	ADK37843.1|CBM18|GH16_19|	54.5	290	122	3	8	294	5	287	2.82e-111	328
Emusc_isoH|Emusc_isoH_4263	ADK37842.1|GH16_19|	86.1	303	38	1	4	306	5	303	9.36e-203	561
Emusc_isoH|Emusc_isoH_4322	ADK37845.1|GH18|	72.3	282	76	2	2	281	20	301	5.64e-149	423
