Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
N168|N168.mRNA.100.1	GH13_8(91-321)	GH13+CBM48+GH13+CBM48	CBM48+GH13_8+2.4.1.18	N	3
N168|N168.mRNA.10056.1	GT5(11-493)	N	GT0	N	2
N168|N168.mRNA.1006.1	GT2_Chitin_synth_2(415-733)	N	N	N	1
N168|N168.mRNA.10063.1	GH5_9(148-464)	GH5+GH5	GH5_9	N	3
N168|N168.mRNA.1007.1	PL38(55-323)	N	N	N	1
N168|N168.mRNA.1008.1	GT34(1-130)	N	N	N	1
N168|N168.mRNA.1023.1	GH24(107-245)	N	N	N	1
N168|N168.mRNA.1025.1	PL38(101-374)	N	N	N	1
N168|N168.mRNA.1084.1	GT2_Glyco_tranf_2_3(52-285)	N	GT2	N	2
N168|N168.mRNA.1216.1	CE4(33-124)	CE4+CE4	N	N	2
N168|N168.mRNA.127.1	GT2_Chitin_synth_1(167-330)	GT2+GT2	GT2+2.4.1.16	N	3
N168|N168.mRNA.1280.1	CE16(2-258)	N	N	N	1
N168|N168.mRNA.1292.1	GT48(891-1401)	GT48+GT48	GT48	N	3
N168|N168.mRNA.1437.1	GH18(28-283)	GH18+CBM1+GH18+CBM1	CBM19+GH18+3.2.1.14	Y(1-18)	3
N168|N168.mRNA.1476.1	AA11(22-176)	N	N	Y(1-24)	1
N168|N168.mRNA.1500.1	GH31(276-806)	N	GH31	N	2
N168|N168.mRNA.1501.1	CE4(34-156)	CE4+CBM18+CE4+CBM18	N	Y(1-24)	2
N168|N168.mRNA.1502.1	CE4(34-156)	CE4+CBM18+CE4+CBM18	N	N	2
N168|N168.mRNA.1520.1	GT2_Chitin_synth_1(266-362)	N	N	N	1
N168|N168.mRNA.1521.1	GT2_Chitin_synth_1(37-180)	GT2+GT2	GT2	N	3
N168|N168.mRNA.1528.1	GH16_19(189-340)	N	N	N	1
N168|N168.mRNA.1541.1	GH18(29-269)	N	N	Y(1-22)	1
N168|N168.mRNA.1577.1	GH152(45-266)	N	N	Y(1-38)	1
N168|N168.mRNA.1579.1	GT4(188-329)	N	GT4	N	2
N168|N168.mRNA.1584.1	AA5_1(21-522)	N	AA5_1	N	2
N168|N168.mRNA.1620.1	GH46(77-290)	N	N	N	1
N168|N168.mRNA.1650.1	CE4(215-346)	N	N	Y(1-24)	1
N168|N168.mRNA.168.1	GH152(33-254)	GH152+GH152	N	Y(1-21)	2
N168|N168.mRNA.1806.1	PL14(84-291)	N	N	Y(1-30)	1
N168|N168.mRNA.1808.1	PL14(73-280)	PL14+PL14	N	Y(1-20)	2
N168|N168.mRNA.1834.1	CE4(2-84)	N	N	N	1
N168|N168.mRNA.1960.1	GH46(2-138)	N	N	N	1
N168|N168.mRNA.2154.1	GH47(19-327)	N	N	N	1
N168|N168.mRNA.2156.1	GH152(34-255)	GH152+GH152	N	Y(1-22)	2
N168|N168.mRNA.2168.1	GT2_Chitin_synth_2(246-614)	GT2+GT2	GT2	N	3
N168|N168.mRNA.2174.1	GT2_Chitin_synth_2(1-498)	GT2+GT2	GT2	N	3
N168|N168.mRNA.2222.1	GT17(1-166)	GT17+GT17	N	N	2
N168|N168.mRNA.2268.1	CE9(25-362)	CE9+CE9	CE9	N	3
N168|N168.mRNA.2523.1	AA11(23-159)	N	N	N	1
N168|N168.mRNA.2529.1	GH31(245-728)	GH31+GH31	GH31	Y(1-22)	3
N168|N168.mRNA.256.1	GT2_Chitin_synth_2(414-728)	GT2+GT2	GT2	N	3
N168|N168.mRNA.2561.1	CBM21(167-279)	N	N	N	1
N168|N168.mRNA.2597.1	GH16_2(36-227)	N	N	N	1
N168|N168.mRNA.2621.1	GT20(52-506)	GT20+CBM20+GT20+CBM20	GT20	N	3
N168|N168.mRNA.2674.1	GH89(113-617)	N	GH89	N	2
N168|N168.mRNA.2825.1	CBM5(85-122)	N	N	N	1
N168|N168.mRNA.2828.1	CE4(115-245)	N	N	Y(1-26)	1
N168|N168.mRNA.2850.1	CE4(35-152)	N	N	Y(1-22)	1
N168|N168.mRNA.2899.1	GT21(1-160)	GT21+GT21	N	N	2
N168|N168.mRNA.2923.1	AA6(4-161)	N	N	N	1
