Gene ID	CAZy ID	% Identical	Length	Mismatches	Gap Open	Gene Start	Gene End	CAZy Start	CAZy End	E Value	Bit Score
EC936|EC936_000004-T1	QEC79975.1|GH3|	41.2	777	415	13	8	772	5	751	8.98e-194	574
EC936|EC936_000005-T1	AFH50282.1|GH3|	40.9	766	409	15	12	764	8	742	1.03e-181	543
EC936|EC936_000006-T1	QEC79975.1|GH3|	40.5	735	406	11	36	759	32	746	4.81e-182	544
EC936|EC936_000011-T1	CCA14548.1|GT2|	56.4	312	133	2	4	314	443	752	5.65e-119	364
EC936|EC936_000012-T1	CCA14548.1|GT2|	53.1	309	142	2	6	313	443	749	2.01e-108	337
EC936|EC936_000014-T1	QKX64719.1|GT31|	39.8	495	261	12	38	507	42	524	3.98e-103	334
EC936|EC936_000109-T1	AXA39879.1|CBM50|	35.6	526	316	8	26	542	26	537	4.81e-110	350
EC936|EC936_000114-T1	AOO94665.1|CBM50|	36.5	531	315	8	26	547	26	543	1.45e-110	352
EC936|EC936_000276-T1	QIW95535.1|GT22|	39.4	574	285	15	29	584	24	552	1.25e-109	345
EC936|EC936_000322-T1	CAN80640.1|GT47|	55.2	424	184	4	5	423	940	1362	1.28e-159	489
EC936|EC936_000352-T1	CDS05327.1|GT2|	42.0	1735	922	29	17	1696	23	1727	0.0	1259
EC936|EC936_000355-T1	CDS05327.1|GT2|	40.3	1863	962	33	18	1790	23	1824	0.0	1252
EC936|EC936_000359-T1	QKX55086.1|GH55|	50.6	607	254	8	213	779	783	1383	5.54e-197	603
EC936|EC936_000473-T1	QEO24085.1|GH47|	50.4	393	183	5	7	394	819	1204	4.73e-121	383
EC936|EC936_000476-T1	QEO24085.1|GH47|	52.2	370	168	4	28	392	839	1204	1.03e-124	392
EC936|EC936_000549-T1	QCD96124.1|GH20|	37.5	558	311	12	17	549	31	575	3.27e-127	389
EC936|EC936_000628-T1	AHX26717.1|GT2|	34.1	739	425	15	106	796	17	741	6.78e-107	383
EC936|EC936_000771-T1	AFK25797.1|GT2|	45.6	837	355	15	647	1429	90	880	1.25e-209	646
EC936|EC936_000822-T1	CDS09580.1|GH20|	35.7	585	312	9	36	559	25	606	8.02e-123	379
EC936|EC936_000999-T1	QHG77622.1|CBM50|	76.3	224	52	1	37	259	56	279	4.09e-121	355
EC936|EC936_001042-T1	SMR50199.1|AA3|	38.6	638	325	16	10	595	14	636	6.04e-119	371
EC936|EC936_001044-T1	QIW94644.1|AA3_2|	36.8	650	324	15	16	594	2	635	6.87e-117	365
EC936|EC936_001112-T1	ADK37846.1|GH18|	52.8	290	135	1	40	329	1	288	1.03e-110	332
EC936|EC936_001144-T1	CDS12794.1|GT39|	46.1	681	357	5	92	765	74	751	2.69e-222	646
EC936|EC936_001181-T1	AAH68840.1|GT2|	73.6	235	62	0	3	237	30	264	1.14e-127	366
EC936|EC936_001206-T1	CDS13093.1|GT57|	44.9	432	197	5	59	458	1	423	1.91e-119	361
EC936|EC936_001209-T1	SMR50199.1|AA3|	37.8	650	321	21	15	617	24	637	1.06e-122	381
EC936|EC936_001210-T1	SMR50199.1|AA3|	38.2	639	318	21	24	617	31	637	4.61e-121	377
EC936|EC936_001253-T1	QBZ62451.1|AA3|	37.7	639	340	17	57	657	25	643	1.28e-117	371
EC936|EC936_001261-T1	CAN65674.1|GH28|	37.6	559	317	11	131	680	94	629	1.66e-106	357
EC936|EC936_001352-T1	CDS14033.1|GT4|	43.8	438	237	7	48	481	43	475	8.75e-116	353
EC936|EC936_001516-T1	SAM76392.1|GT3|	66.7	708	216	7	1	691	1	705	0.0	949
EC936|EC936_001546-T1	SVE85332.1|GH9|	43.3	915	493	8	7	903	418	1324	2.59e-103	354
EC936|EC936_001568-T1	QDS71450.1|GH47|	60.2	324	124	2	1	319	1032	1355	4.81e-132	414
EC936|EC936_001690-T1	SMY20320.1|GT39|	46.9	783	374	13	5	755	7	779	5.17e-225	654
EC936|EC936_001751-T1	QKX56076.1|GH51|	53.4	773	325	9	332	1081	835	1595	2.09e-250	758
EC936|EC936_001810-T1	QKX53460.1|AA4|	47.7	375	194	2	2	374	657	1031	9.51e-118	370
EC936|EC936_001824-T1	QIW95080.1|GH47|	24.3	1667	1102	44	588	2156	995	2599	9.81e-117	420
EC936|EC936_001833-T1	CAC9909034.1|GT8|	64.8	372	130	1	18	389	347	717	3.86e-169	499
EC936|EC936_001857-T1	AKU79211.1|GH20|	36.9	637	310	15	1	551	1	631	6.67e-130	398
EC936|EC936_001858-T1	AKU79211.1|GH20|	38.0	623	295	16	14	550	15	632	4.04e-135	412
EC936|EC936_001909-T1	AOW02859.1|GH16_2|	48.0	410	202	4	99	500	247	653	3.40e-130	397
EC936|EC936_002010-T1	VDD19117.1|GT95|	82.0	289	51	1	8	296	81	368	6.37e-163	474
EC936|EC936_002043-T1	CDS09169.1|GH35|	40.2	1018	525	26	54	1057	39	986	4.99e-247	733
EC936|EC936_002083-T1	CDS06114.1|GT2|	44.1	1956	939	46	13	1875	2	1895	0.0	1472
