Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
EC936|EC936_000002-T1	AA11(49-182)	N	N	N	1
EC936|EC936_000003-T1	AA11(47-208)	N	N	N	1
EC936|EC936_000004-T1	GH3(122-337)	GH3	GH3	N	3
EC936|EC936_000005-T1	GH3(119-335)	GH3	GH3	N	3
EC936|EC936_000006-T1	GH3(119-345)	GH3	GH3	Y(1-20)	3
EC936|EC936_000025-T1	AA7(55-487)	N	N	N	1
EC936|EC936_000026-T1	AA7(57-487)	N	N	N	1
EC936|EC936_000276-T1	GT22(29-458)	GT22	GT22	N	3
EC936|EC936_000343-T1	GH17(48-301)	N	N	N	1
EC936|EC936_000346-T1	GH17(35-310)	N	N	N	1
EC936|EC936_000348-T1	GH17(29-294)	N	N	Y(1-18)	1
EC936|EC936_000352-T1	GT2_Chitin_synth_2(1177-1679)	GT2	GT2	N	3
EC936|EC936_000355-T1	GT2_Chitin_synth_2(1183-1685)	GT2	GT2	N	3
EC936|EC936_000504-T1	GH16_19(105-272)	N	N	N	1
EC936|EC936_000529-T1	GT22(8-401)	N	N	N	1
EC936|EC936_000544-T1	GT71(220-501)	N	N	N	1
EC936|EC936_000549-T1	GH20(161-501)	N	GH20	N	2
EC936|EC936_000550-T1	GH20(2-140)	N	N	N	1
EC936|EC936_000552-T1	GH16_3(8-252)	N	N	N	1
EC936|EC936_000714-T1	GH16_4(88-320)	N	N	N	1
EC936|EC936_000771-T1	GT2_Chitin_synth_2(966-1463)	GT2	GT2	N	3
EC936|EC936_000822-T1	GH20(172-512)	GH20	GH20	N	3
EC936|EC936_000872-T1	GH16_19(68-211)	N	N	Y(1-20)	1
EC936|EC936_000887-T1	AA11(14-156)	N	N	N	1
EC936|EC936_000946-T1	GH16_19(112-280)	N	N	Y(1-26)	1
EC936|EC936_001042-T1	AA3_2(243-595)	N	AA3	N	2
EC936|EC936_001044-T1	AA3_2(243-595)	N	AA3_2	N	2
EC936|EC936_001062-T1	GH18(8-387)	GH18+CBM2	N	N	2
EC936|EC936_001112-T1	GH18(32-415)	GH18+CBM12+CBM5	GH18	N	3
EC936|EC936_001113-T1	GH18(26-409)	GH18+CBM12+CBM5	N	N	2
EC936|EC936_001144-T1	GT39(92-330)	GT39	GT39	N	3
EC936|EC936_001181-T1	GT2_Glycos_transf_2(6-174)	GT2	GT2	N	3
EC936|EC936_001206-T1	GT57(212-453)	GT57	GT57	N	3
EC936|EC936_001209-T1	AA3_2(23-617)	N	AA3	N	2
EC936|EC936_001210-T1	AA3_2(23-617)	N	AA3	N	2
EC936|EC936_001253-T1	AA3(18-656)	N	AA3	N	2
EC936|EC936_001256-T1	GT1(238-435)	N	N	N	1
EC936|EC936_001262-T1	GT1(153-428)	N	N	N	1
EC936|EC936_001264-T1	GT1(243-435)	N	N	N	1
EC936|EC936_001296-T1	GH16_19(105-269)	N	N	Y(1-20)	1
EC936|EC936_001352-T1	GT4(289-449)	GT4	GT4	N	3
EC936|EC936_001368-T1	GT8(7-280)	N	N	N	1
EC936|EC936_001516-T1	GT3(22-638)	GT3	GT3	N	3
EC936|EC936_001518-T1	CE4(38-158)	N	N	Y(1-25)	1
EC936|EC936_001534-T1	GH5_9(132-417)	GH5	N	Y(1-24)	2
EC936|EC936_001573-T1	GH5_9(131-416)	GH5	N	N	2
EC936|EC936_001585-T1	GH132(67-304)	N	N	N	1
EC936|EC936_001602-T1	GH132(88-335)	GH132	N	Y(1-32)	2
EC936|EC936_001690-T1	GT39(57-299)	GT39	GT39	N	3
EC936|EC936_001697-T1	CE1(1-250)	N	N	N	1
EC936|EC936_001698-T1	CE1(21-277)	N	N	N	1
EC936|EC936_001770-T1	CBM21(116-228)	N	N	Y(1-26)	1
EC936|EC936_001822-T1	CBM63(137-208)	N	N	N	1
EC936|EC936_001857-T1	GH20(165-504)	N	GH20	N	2
EC936|EC936_001858-T1	GH20(162-502)	N	GH20	N	2
EC936|EC936_001909-T1	GH16_2(126-452)	N	GH16_2	N	2
EC936|EC936_001972-T1	CE16(54-286)	N	N	N	1
EC936|EC936_001982-T1	AA7(18-204)	N	N	N	1
EC936|EC936_002043-T1	GH35(71-447)	GH35	GH35	N	3
EC936|EC936_002083-T1	GT2_Chitin_synth_2(1155-1661)	GT2	GT2	N	3
EC936|EC936_002093-T1	GT15(65-333)	GT15	GT15	N	3
EC936|EC936_002094-T1	GT15(85-354)	GT15	GT15	N	3
EC936|EC936_002095-T1	GT15(85-354)	GT15	GT15	N	3
EC936|EC936_002097-T1	GT15(59-329)	GT15	GT15	N	3
EC936|EC936_002100-T1	GT15(76-344)	GT15	GT15	N	3
EC936|EC936_002316-T1	GT20(8-479)	GT20	GT20+2.4.1.15	N	3
EC936|EC936_002365-T1	GT2_Chitin_synth_2(431-625)	N	N	N	1
EC936|EC936_002369-T1	GT20(6-489)	GT20+CBM20	GT20	N	3
EC936|EC936_002513-T1	AA11(38-163)	N	N	N	1
EC936|EC936_002641-T1	GH18(114-487)	GH18+CBM12+CBM55	GH18	N	3
EC936|EC936_002764-T1	GT1(260-453)	N	N	Y(1-22)	1
EC936|EC936_002791-T1	GT15(48-321)	GT15	GT15	N	3
EC936|EC936_002840-T1	GT69(2-220)	N	N	N	1
EC936|EC936_002843-T1	GT2_Chitin_synth_2(1213-1699)	GT2	GT2	N	3
EC936|EC936_002860-T1	GT1(254-437)	N	N	N	1
EC936|EC936_002861-T1	GT1(233-443)	N	N	N	1
EC936|EC936_002873-T1	GH13_25(1072-1520)	GH133	GH13_25+GH133	N	3
EC936|EC936_002879-T1	GH17(38-288)	N	N	Y(1-21)	1
EC936|EC936_002880-T1	GH17(37-288)	N	N	Y(1-20)	1
EC936|EC936_002890-T1	GH20(152-470)	GH20	GH20	N	3
EC936|EC936_002948-T1	GT57(45-516)	GT57	GT57	N	3
EC936|EC936_003035-T1	GT1(625-1032)	GT1	GT1	N	3
EC936|EC936_003092-T1	GH18(47-301)	CBM19	N	Y(1-23)	2
EC936|EC936_003125-T1	AA7(48-263)	N	N	N	1
EC936|EC936_003126-T1	AA7(54-490)	N	N	Y(1-27)	1
EC936|EC936_003203-T1	GT1(272-450)	N	N	N	1
EC936|EC936_003250-T1	GH15(22-294)	N	GH0	N	2
EC936|EC936_003268-T1	GT2_Chitin_synth_2(358-739)	GT2	GT2	N	3
EC936|EC936_003305-T1	GH31(353-585)	GH31	GH31	N	3
EC936|EC936_003306-T1	GH31(350-583)	GH31+CBM32+CBM51	GH31	Y(1-22)	3
EC936|EC936_003377-T1	GT2_Chitin_synth_2(1411-1936)	GT2	GT2	N	3
EC936|EC936_003405-T1	GT39(89-327)	GT39	GT39	N	3
EC936|EC936_003475-T1	AA2(116-354)	N	AA2	N	2
EC936|EC936_003546-T1	GH132(150-473)	GH132	N	N	2
EC936|EC936_003656-T1	GH18(23-362)	GH18	N	Y(1-22)	2
EC936|EC936_003693-T1	GH5_12(25-557)	GH5	GH5_12	N	3
EC936|EC936_003780-T1	GT2_Chitin_synth_2(614-1128)	GT2	GT2	N	3
EC936|EC936_003793-T1	GH18(28-405)	N	N	Y(1-22)	1
EC936|EC936_003835-T1	GT24(1108-1355)	GT24	GT24	N	3
EC936|EC936_004076-T1	GH15(291-667)	GH15	GH15	N	3
EC936|EC936_004099-T1	GT48(846-1627)	GT48	GT48	N	3
EC936|EC936_004126-T1	AA11(20-183)	N	N	N	1
EC936|EC936_004162-T1	GT33(2-430)	GT33	N	N	2
