# BUSCO version is: 5.2.2 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Conth1|Conth1_366802	1855.0	1424
83779at2759	Complete	Conth1|Conth1_365425	221.6	238
87842at2759	Complete	Conth1|Conth1_293809	457.7	648
97116at2759	Complete	Conth1|Conth1_365900	986.8	954
100698at2759	Duplicated	Conth1|Conth1_325083	795.9	496
100698at2759	Duplicated	Conth1|Conth1_292033	755.4	504
142542at2759	Complete	Conth1|Conth1_346691	433.4	630
156083at2759	Complete	Conth1|Conth1_303660	3584.8	1944
160593at2759	Complete	Conth1|Conth1_345312	1196.0	1243
166920at2759	Complete	Conth1|Conth1_315333	549.0	726
176625at2759	Complete	Conth1|Conth1_344288	181.7	449
179362at2759	Fragmented	Conth1|Conth1_334194	196.2	99
245208at2759	Complete	Conth1|Conth1_363405	1450.0	879
257318at2759	Complete	Conth1|Conth1_291712	272.4	299
261328at2759	Complete	Conth1|Conth1_325146	296.1	444
261419at2759	Complete	Conth1|Conth1_322593	167.7	349
270107at2759	Complete	Conth1|Conth1_301183	532.9	649
271586at2759	Missing
290630at2759	Complete	Conth1|Conth1_367653	721.9	618
293315at2759	Fragmented	Conth1|Conth1_288019	583.3	534
296129at2759	Complete	Conth1|Conth1_325921	1071.9	702
299766at2759	Fragmented	Conth1|Conth1_89725	157.8	278
306227at2759	Complete	Conth1|Conth1_365593	479.6	481
320059at2759	Complete	Conth1|Conth1_326108	779.7	408
324863at2759	Complete	Conth1|Conth1_323169	525.5	526
325552at2759	Complete	Conth1|Conth1_306869	362.9	468
330169at2759	Complete	Conth1|Conth1_361753	237.6	339
331411at2759	Complete	Conth1|Conth1_291871	259.7	383
341721at2759	Complete	Conth1|Conth1_293549	218.6	391
345441at2759	Complete	Conth1|Conth1_323311	467.8	378
355408at2759	Complete	Conth1|Conth1_368860	715.4	547
369837at2759	Complete	Conth1|Conth1_309046	293.6	392
375960at2759	Complete	Conth1|Conth1_287969	200.5	328
383503at2759	Complete	Conth1|Conth1_325487	286.2	382
388820at2759	Complete	Conth1|Conth1_322934	544.5	592
390348at2759	Complete	Conth1|Conth1_325553	1202.9	759
392369at2759	Complete	Conth1|Conth1_364384	404.7	342
396755at2759	Missing
418107at2759	Complete	Conth1|Conth1_323430	434.7	338
426305at2759	Complete	Conth1|Conth1_343451	463.3	512
450058at2759	Complete	Conth1|Conth1_322941	145.5	222
453044at2759	Missing
457861at2759	Complete	Conth1|Conth1_351857	42.5	140
464990at2759	Complete	Conth1|Conth1_324747	349.4	375
491869at2759	Complete	Conth1|Conth1_348538	170.2	254
513979at2759	Complete	Conth1|Conth1_340183	94.4	186
543764at2759	Complete	Conth1|Conth1_319719	202.4	264
549762at2759	Complete	Conth1|Conth1_362795	432.5	388
551907at2759	Complete	Conth1|Conth1_83679	231.2	349
570797at2759	Fragmented	Conth1|Conth1_346655	49.8	173
582756at2759	Complete	Conth1|Conth1_312092	186.5	359
598949at2759	Complete	Conth1|Conth1_289421	350.6	405
604979at2759	Complete	Conth1|Conth1_290329	431.3	275
621827at2759	Complete	Conth1|Conth1_325935	236.2	286
625387at2759	Complete	Conth1|Conth1_329896	227.1	296
655400at2759	Complete	Conth1|Conth1_298091	227.9	275
664730at2759	Complete	Conth1|Conth1_337112	635.5	347
671536at2759	Complete	Conth1|Conth1_335081	462.7	363
671846at2759	Complete	Conth1|Conth1_366385	147.6	357
673132at2759	Complete	Conth1|Conth1_365399	305.6	275
674160at2759	Complete	Conth1|Conth1_364846	564.8	1038
674169at2759	Missing
679187at2759	Complete	Conth1|Conth1_307113	236.9	404
679771at2759	Complete	Conth1|Conth1_305032	72.0	250
687505at2759	Missing
692986at2759	Fragmented	Conth1|Conth1_70489	64.9	118
708105at2759	Missing
719531at2759	Complete	Conth1|Conth1_362229	409.3	284
720340at2759	Complete	Conth1|Conth1_344774	86.9	180
721605at2759	Complete	Conth1|Conth1_310687	279.4	258
722805at2759	Complete	Conth1|Conth1_316454	287.4	397
734341at2759	Complete	Conth1|Conth1_290312	104.2	162
734666at2759	Complete	Conth1|Conth1_316881	495.3	396
736068at2759	Complete	Conth1|Conth1_367305	188.7	315
751335at2759	Complete	Conth1|Conth1_363160	243.5	262
759498at2759	Complete	Conth1|Conth1_290417	560.2	421
761109at2759	Missing
768809at2759	Complete	Conth1|Conth1_319773	281.1	267
774318at2759	Complete	Conth1|Conth1_312664	271.2	277
777920at2759	Complete	Conth1|Conth1_336854	392.0	344
779909at2759	Complete	Conth1|Conth1_305531	255.5	226
801857at2759	Complete	Conth1|Conth1_313197	243.1	219
814241at2759	Complete	Conth1|Conth1_325862	229.0	271
817008at2759	Complete	Conth1|Conth1_367575	484.9	298
834694at2759	Complete	Conth1|Conth1_298078	399.5	340
836599at2759	Complete	Conth1|Conth1_368539	386.5	332
844748at2759	Complete	Conth1|Conth1_341754	203.2	336
