# BUSCO version is: 5.3.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length
39650at2759	Complete	Scas|Scas_10055	1899.2	1407
83779at2759	Duplicated	Scas|Scas_12454	228.9	249
83779at2759	Duplicated	Scas|Scas_2274	212.6	227
87842at2759	Complete	Scas|Scas_18801	475.7	667
97116at2759	Complete	Scas|Scas_20356	1270.6	970
100698at2759	Duplicated	Scas|Scas_14969	851.3	498
100698at2759	Duplicated	Scas|Scas_10243	784.1	500
100698at2759	Duplicated	Scas|Scas_5040	783.0	503
142542at2759	Fragmented	Scas|Scas_1737	334.1	286
156083at2759	Complete	Scas|Scas_20316	3636.0	1958
160593at2759	Complete	Scas|Scas_15744	1650.4	1200
166920at2759	Duplicated	Scas|Scas_758	587.3	813
166920at2759	Duplicated	Scas|Scas_19592	585.8	645
176625at2759	Complete	Scas|Scas_620	215.4	353
179362at2759	Complete	Scas|Scas_18219	594.2	1501
245208at2759	Duplicated	Scas|Scas_21002	1547.5	877
245208at2759	Duplicated	Scas|Scas_12557	1486.9	888
257318at2759	Duplicated	Scas|Scas_8681	304.9	296
257318at2759	Duplicated	Scas|Scas_10476	294.9	352
261328at2759	Complete	Scas|Scas_18741	438.2	447
261419at2759	Complete	Scas|Scas_17354	183.2	283
270107at2759	Complete	Scas|Scas_9067	509.5	584
271586at2759	Complete	Scas|Scas_15048	188.9	403
290630at2759	Complete	Scas|Scas_9326	647.8	465
293315at2759	Complete	Scas|Scas_20297	561.1	575
296129at2759	Complete	Scas|Scas_7110	1067.1	707
299766at2759	Fragmented	Scas|Scas_18527	166.3	319
306227at2759	Complete	Scas|Scas_10540	493.5	514
320059at2759	Duplicated	Scas|Scas_16021	895.9	449
320059at2759	Duplicated	Scas|Scas_2507	872.3	451
324863at2759	Complete	Scas|Scas_9247	534.5	524
325552at2759	Complete	Scas|Scas_11594	490.7	516
330169at2759	Complete	Scas|Scas_11112	346.2	334
331411at2759	Complete	Scas|Scas_9609	419.1	400
341721at2759	Complete	Scas|Scas_9517	289.1	395
345441at2759	Duplicated	Scas|Scas_601	463.0	379
345441at2759	Duplicated	Scas|Scas_10572	459.3	391
355408at2759	Duplicated	Scas|Scas_15157	812.6	545
355408at2759	Duplicated	Scas|Scas_3799	725.2	544
369837at2759	Complete	Scas|Scas_6066	284.1	372
375960at2759	Complete	Scas|Scas_13909	205.6	322
383503at2759	Complete	Scas|Scas_1176	347.3	340
388820at2759	Duplicated	Scas|Scas_13219	585.7	531
388820at2759	Duplicated	Scas|Scas_17603	523.9	575
390348at2759	Duplicated	Scas|Scas_19352	1206.2	711
390348at2759	Duplicated	Scas|Scas_20989	1148.0	734
392369at2759	Duplicated	Scas|Scas_21435	406.0	344
392369at2759	Duplicated	Scas|Scas_13975	377.2	374
