Gene ID	HMMER	Hotpep	DIAMOND	Signalp	#ofTools
Scas|Scas_1002	GT50(152-456)	GT50	GT50	N	3
Scas|Scas_10052	GT15(66-338)	GT15	GT15	N	3
Scas|Scas_1006	GH72(19-311)	GH72+CBM43	N	N	2
Scas|Scas_1016	GH17(72-327)	N	N	Y(1-22)	1
Scas|Scas_10269	GT1(121-442)	N	N	Y(1-28)	1
Scas|Scas_10270	GT1(277-457)	GT1	GT1	N	3
Scas|Scas_10371	GT8(50-296)	GT8	GT8	N	3
Scas|Scas_10485	GT76(15-427)	N	N	N	1
Scas|Scas_10490	GT27(55-353)	GT27+CBM13	CBM13+GT27+2.4.1.41	N	3
Scas|Scas_1054	GH18(30-433)	GH18	GH18	Y(1-24)	3
Scas|Scas_10548	GT1(132-443)	GT1	GT1	N	3
Scas|Scas_10606	GH37(1-429)	GH37	N	N	2
Scas|Scas_10642	GT2_Glycos_transf_2(6-175)	GT2	GT2	N	3
Scas|Scas_10690	GH16_4(93-407)	N	CBM39+GH16	N	2
Scas|Scas_10953	GH5_9(74-375)	GH5	GH5_9	N	3
Scas|Scas_11044	GT2_Chitin_synth_2(556-750)	N	GT2	N	2
Scas|Scas_11112	GT22(3-377)	GT22	GT22	N	3
Scas|Scas_11252	GH5_9(76-387)	GH5	N	N	2
Scas|Scas_11339	GT31(153-273)	GT31	GT31	N	3
Scas|Scas_11359	AA3_2(56-612)	AA3	AA3_2	N	3
Scas|Scas_11382	GT66(1-311)	GT66	GT66	N	3
Scas|Scas_11383	GT66(26-358)	GT66	GT66	N	3
Scas|Scas_11446	GH31(244-727)	GH31	GH31	N	3
Scas|Scas_116	GH16_4(55-375)	CBM39	GH16_4	N	3
Scas|Scas_11648	GT39(63-304)	GT39	GT39	N	3
Scas|Scas_11810	AA11(37-172)	N	N	Y(1-24)	1
Scas|Scas_11824	GH72(2-200)	CBM43	N	N	2
Scas|Scas_11826	GH72(16-118)	N	N	N	1
Scas|Scas_11842	AA3(29-619)	N	AA3	N	2
Scas|Scas_11862	GH18(23-420)	GH18	GH18	N	3
Scas|Scas_11863	GH18(23-420)	GH18	GH18	Y(1-20)	3
Scas|Scas_11891	GT2_Chitin_synth_2(352-786)	N	N	N	1
Scas|Scas_11920	GT20(9-487)	GT20+CBM20	GT20	N	3
Scas|Scas_11999	GT47(94-373)+GT64(450-695)	GT47+GT64	GT47+GT64	N	3
Scas|Scas_12064	CE4(64-183)	N	N	N	1
Scas|Scas_12184	GT4(222-385)	GT4	GT4	N	3
Scas|Scas_12188	GH30_1(18-448)	GH30	GH30_1	N	3
Scas|Scas_12204	GT76(20-449)	N	N	N	1
Scas|Scas_12433	GT13(107-465)	GT13	GT13+2.4.1.101	N	3
Scas|Scas_125	GH16_4(104-448)	N	GH16_4	N	2
Scas|Scas_12513	GT92(4-240)	N	N	N	1
Scas|Scas_12533	GH18(26-423)	GH18	GH18	Y(1-22)	3
Scas|Scas_12632	GT1(218-466)	N	N	N	1
Scas|Scas_12650	GT15(78-349)	GT15	GT15	N	3
Scas|Scas_12675	GT76(17-229)	N	N	N	1
Scas|Scas_12676	GT76(2-198)	N	N	N	1
Scas|Scas_12677	GT76(17-447)	N	N	N	1
Scas|Scas_1273	GT20(6-474)	GT20+CBM20	GT20+2.4.1.15	N	3
Scas|Scas_12772	GH22(27-147)	N	N	N	1
Scas|Scas_12959	GH72(16-313)	GH72+CBM43	CBM43+GH72	N	3
Scas|Scas_13014	GT22(36-497)	N	N	N	1
Scas|Scas_1306	AA3_2(1-329)	AA3	AA3_2	N	3
Scas|Scas_13153	GH20(215-436)	GH20	GH20	N	3
Scas|Scas_13188	GT7(54-274)	GT7	GT7+2.4.1.133	N	3
Scas|Scas_13240	GT27(127-425)	GT27+CBM13	CBM13+GT27+2.4.1.41	N	3
Scas|Scas_13257	GH3(123-349)	GH3	GH3	N	3
Scas|Scas_13287	GT1(288-448)	N	GT1	N	2
Scas|Scas_13304	GT33(9-444)	GT33	GT33	N	3
Scas|Scas_13352	GH17(73-325)	N	N	Y(1-35)	1
Scas|Scas_13365	GT57(67-524)	GT57	GT57	N	3
Scas|Scas_13379	GH5_12(299-807)	GH5	GH5_12	N	3
Scas|Scas_13419	GT2_Chitin_synth_2(1317-1681)	GT2	GT2	N	3
Scas|Scas_13566	GT27(165-474)	GT27+CBM13	CBM13+GT27	N	3
Scas|Scas_13600	GH18(60-338)	GH18+CBM1+CBM19	N	N	2
Scas|Scas_13678	GH18(22-267)	GH18+CBM19	GH18	N	3
Scas|Scas_13705	GT50(175-448)	GT50	GT50	N	3
Scas|Scas_13747	GT92(1-218)	N	N	N	1
Scas|Scas_13772	GT15(83-363)	GT15	N	N	2
Scas|Scas_13786	GT8(3-221)	GT8	GT8	N	3
Scas|Scas_13810	GH47(53-488)	GH47	GH47	N	3
Scas|Scas_13820	GT27(155-455)	GT27+CBM13	CBM13+GT27	N	3
Scas|Scas_13847	GH13_25(1084-1522)	GH133	GH13_25+GH133	N	3
Scas|Scas_13871	GH13_17(44-401)	GH13	GH13_17	Y(1-19)	3
Scas|Scas_13886	GT2_Chitin_synth_2(1140-1646)	GT2	GT2	N	3
Scas|Scas_13954	GT2_Glycos_transf_2(71-251)	N	GT2	N	2
Scas|Scas_14005	AA3_2(85-631)	AA3	AA3_2	Y(1-22)	3
Scas|Scas_14055	GH18(124-460)	N	GH18	N	2
Scas|Scas_14085	GH20(148-489)	GH20	GH20	N	3
Scas|Scas_14089	GT2_Chitin_synth_1(6-168)	GT2	GT2+2.4.1.16	N	3
Scas|Scas_14394	GT76(12-450)	GT76	GT76	N	3
Scas|Scas_14414	GT69(123-380)	N	N	N	1
Scas|Scas_14428	GH47(34-463)	GH47	N	N	2
Scas|Scas_14526	GH38(271-522)	GH38	GH38	N	3
Scas|Scas_14595	GH16_3(43-302)	CBM6	N	N	2
Scas|Scas_1465	GH13_5(33-367)	GH13+CBM20	GH13_5	N	3
Scas|Scas_14727	AA3_2(53-613)	AA3	AA3_2	N	3
Scas|Scas_14734	AA11(41-190)	N	N	Y(1-23)	1
Scas|Scas_14799	GT1(703-1109)	GT1	GT1	N	3
Scas|Scas_14851	GT92(4-239)	N	N	N	1
Scas|Scas_14861	GH13_25(1036-1474)	GH133	GH13_25+GH133	N	3
Scas|Scas_14998	GT3(33-668)	GT3	GT3	N	3
Scas|Scas_14999	GH5_9(77-382)	GH5	GH5_9	N	3
Scas|Scas_15009	GT4(280-422)	GT4	GT4	N	3
Scas|Scas_15028	GH27(129-321)	GH27	GH27	N	3
